Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,130.85
0.0,0.0,100.0,100.0,100.0
94.0,0.0,100.0,100.0,100.0
94.0,0.0,100.0,100.0,0.05
135.0,27.0,100.0,100.0,0.05
135.0,27.0,100.0,100.0,102.85
149.0,41.0,100.0,100.0,102.85
149.0,41.0,100.0,100.0,102.85
421.0,0.0,100.0,100.0,102.85
421.0,0.0,100.0,100.0,109.65
672.0,0.0,100.0,100.0,109.65
672.0,0.0,100.0,100.0,116.45
904.0,0.0,100.0,100.0,116.45
904.0,0.0,100.0,100.0,123.65
1092.0,0.0,100.0,100.0,123.65
1092.0,0.0,100.0,100.0,107.65
1308.0,0.0,100.0,100.0,107.65
1308.0,0.0,100.0,100.0,114.45
1591.0,0.0,100.0,100.0,114.45
1591.0,0.0,100.0,100.0,121.25
1893.0,0.0,100.0,100.0,121.25
1893.0,0.0,100.0,100.0,128.45
2133.0,0.0,100.0,100.0,128.45
2133.0,0.0,100.0,100.0,135.25
2344.0,0.0,100.0,100.0,135.25
2344.0,0.0,100.0,100.0,142.05
2353.0,8.0,100.0,100.0,142.05
2353.0,8.0,100.0,100.0,106.05
2366.0,5.0,100.0,100.0,106.05
2366.0,5.0,100.0,100.0,112.05
2392.0,2.0,100.0,100.0,112.05
2392.0,2.0,100.0,100.0,118.85
2423.0,2.0,100.0,100.0,118.85
2423.0,2.0,100.0,100.0,125.25
2467.0,1.0,100.0,100.0,125.25
2467.0,1.0,100.0,100.0,132.05
2523.0,1.0,100.0,100.0,132.05
2523.0,1.0,100.0,100.0,138.85
2597.0,1.0,100.0,100.0,138.85
2597.0,1.0,100.0,100.0,107.25
2632.0,4.0,100.0,100.0,107.25
2632.0,4.0,100.0,100.0,113.65
2672.0,4.0,100.0,100.0,113.65
2672.0,4.0,100.0,100.0,119.65
5466.0,0.0,100.0,100.0,119.65
5466.0,0.0,100.0,100.0,126.85
5505.0,5.0,100.0,100.0,126.85
5505.0,5.0,100.0,100.0,132.85
5535.0,5.0,100.0,100.0,132.85
5535.0,5.0,100.0,100.0,138.85
5582.0,2.0,100.0,100.0,138.85
5582.0,2.0,100.0,100.0,107.25
5625.0,3.0,100.0,100.0,107.25
5625.0,3.0,100.0,100.0,113.65
5676.0,2.0,100.0,100.0,113.65
5676.0,2.0,100.0,100.0,120.05
5707.0,5.0,100.0,100.0,120.05
5707.0,5.0,100.0,100.0,126.05
5716.0,20.0,100.0,100.0,126.05
5716.0,20.0,100.0,100.0,129.65
5727.0,18.0,100.0,100.0,129.65
5727.0,18.0,100.0,100.0,133.65
5749.0,7.0,100.0,100.0,133.65
5749.0,7.0,100.0,100.0,106.45
5751.0,28.0,100.0,100.0,106.45
5751.0,28.0,100.0,100.0,108.45
5757.0,13.0,100.0,100.0,108.45
5757.0,13.0,100.0,100.0,113.25
5770.0,5.0,100.0,100.0,113.25
5770.0,5.0,100.0,100.0,119.25
5792.0,2.0,100.0,100.0,119.25
5792.0,2.0,100.0,100.0,125.65
5845.0,1.0,100.0,100.0,125.65
5845.0,1.0,100.0,100.0,132.45
5870.0,4.0,100.0,100.0,132.45
5870.0,4.0,100.0,100.0,106.85
5899.0,4.0,100.0,100.0,106.85
5899.0,4.0,100.0,100.0,113.25
5932.0,4.0,100.0,100.0,113.25
5932.0,4.0,100.0,100.0,119.25
5964.0,3.0,100.0,100.0,119.25
5964.0,3.0,100.0,100.0,125.65
5985.0,5.0,100.0,100.0,125.65
5985.0,5.0,100.0,100.0,131.65
6010.0,5.0,100.0,100.0,131.65
6010.0,5.0,100.0,100.0,137.65
6035.0,5.0,100.0,100.0,137.65
