Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,102.45
0.0,0.0,100.0,100.0,100.0
75.0,0.0,100.0,100.0,100.0
75.0,0.0,100.0,100.0,0.05
109.0,33.0,100.0,100.0,0.05
109.0,33.0,100.0,100.0,100.85
120.0,48.0,100.0,100.0,100.85
120.0,48.0,100.0,100.0,100.45
186.0,2.0,100.0,100.0,100.45
186.0,2.0,100.0,100.0,102.85
334.0,1.0,100.0,100.0,102.85
334.0,1.0,100.0,100.0,104.85
456.0,0.0,100.0,100.0,104.85
456.0,0.0,100.0,100.0,107.25
590.0,0.0,100.0,100.0,107.25
590.0,0.0,100.0,100.0,102.85
711.0,0.0,100.0,100.0,102.85
711.0,0.0,100.0,100.0,105.25
716.0,19.0,100.0,100.0,105.25
716.0,19.0,100.0,100.0,106.45
717.0,62.0,100.0,100.0,106.45
717.0,62.0,100.0,100.0,105.25
718.0,66.0,100.0,100.0,105.25
718.0,66.0,100.0,100.0,103.65
720.0,58.0,100.0,100.0,103.65
720.0,58.0,100.0,100.0,102.45
721.0,40.0,100.0,100.0,102.45
721.0,40.0,100.0,100.0,100.45
722.0,36.0,100.0,100.0,100.45
722.0,36.0,100.0,100.0,100.85
723.0,36.0,100.0,100.0,100.85
723.0,36.0,100.0,100.0,101.25
724.0,36.0,100.0,100.0,101.25
724.0,36.0,100.0,100.0,101.25
725.0,39.0,100.0,100.0,101.25
725.0,39.0,100.0,100.0,101.25
726.0,39.0,100.0,100.0,101.25
726.0,39.0,100.0,100.0,101.25
727.0,35.0,100.0,100.0,101.25
727.0,35.0,100.0,100.0,100.85
728.0,38.0,100.0,100.0,100.85
728.0,38.0,100.0,100.0,100.85
729.0,39.0,100.0,100.0,100.85
729.0,39.0,100.0,100.0,101.25
730.0,39.0,100.0,100.0,101.25
730.0,39.0,100.0,100.0,101.25
731.0,39.0,100.0,100.0,101.25
731.0,39.0,100.0,100.0,101.25
739.0,28.0,101.56,100.0,101.25
739.0,28.0,101.56,100.0,101.25
959.0,2.0,101.56,100.0,101.25
959.0,2.0,101.56,100.0,102.05
1015.0,1.0,101.56,100.0,102.05
1015.0,1.0,101.56,100.0,104.45
1090.0,1.0,101.56,100.0,104.45
1090.0,1.0,101.56,100.0,106.45
1384.0,0.0,101.56,100.0,106.45
1384.0,0.0,101.56,100.0,102.85
1510.0,1.0,101.56,100.0,102.85
1510.0,1.0,101.56,100.0,105.25
1529.0,29.0,101.56,100.0,105.25
1529.0,29.0,101.56,100.0,105.65
1545.0,29.0,101.56,100.0,105.65
1545.0,29.0,101.56,100.0,106.45
1550.0,40.0,101.56,100.0,106.45
1550.0,40.0,101.56,100.0,106.45
1558.0,58.0,101.56,100.0,106.45
1558.0,58.0,101.56,100.0,105.25
1581.0,21.0,101.56,100.0,105.25
1581.0,21.0,101.56,100.0,101.65
1599.0,8.0,101.56,100.0,101.65
1599.0,8.0,101.56,100.0,103.65
1608.0,43.0,101.56,100.0,103.65
1608.0,43.0,101.56,100.0,103.25
1617.0,49.0,101.56,100.0,103.25
1617.0,49.0,101.56,100.0,102.85
1631.0,29.0,101.56,100.0,102.85
1631.0,29.0,101.56,100.0,103.65
1656.0,24.0,101.56,100.0,103.65
1656.0,24.0,101.56,100.0,104.45
1690.0,17.0,101.56,100.0,104.45
1690.0,17.0,101.56,100.0,102.05
1708.0,37.0,101.56,100.0,102.05
1708.0,37.0,101.56,100.0,102.05
1734.0,16.0,101.56,100.0,102.05
1734.0,16.0,101.56,100.0,103.65
1796.0,0.0,145.31,12.5,103.65
1796.0,0.0,145.31,12.5,103.65
1805.0,207.0,145.31,100.0,103.65
1805.0,207.0,145.31,100.0,81.65
1847.0,19.0,145.31,100.0,81.65
1847.0,19.0,145.31,100.0,82.85
1862.0,45.0,145.31,100.0,82.85
1862.0,45.0,145.31,100.0,100.45
1881.0,35.0,145.31,100.0,100.45
1881.0,35.0,145.31,100.0,100.45
1905.0,25.0,145.31,100.0,100.45
1905.0,25.0,145.31,100.0,101.65
1930.0,17.0,145.31,100.0,101.65
1930.0,17.0,145.31,100.0,102.85
1957.0,12.0,145.31,100.0,102.85
1957.0,12.0,145.31,100.0,104.45
1973.0,17.0,145.31,100.0,104.45
1973.0,17.0,145.31,100.0,105.65
2016.0,25.0,167.19,100.0,105.65
2016.0,25.0,167.19,100.0,105.65
2028.0,219.0,167.19,12.5,105.65
2028.0,219.0,167.19,12.5,91.25
2046.0,10.0,167.19,100.0,91.25
2046.0,10.0,167.19,100.0,92.85
2064.0,20.0,167.19,100.0,92.85
2064.0,20.0,167.19,100.0,94.05
2082.0,18.0,167.19,100.0,94.05
2082.0,18.0,167.19,100.0,95.25
2095.0,31.0,167.19,100.0,95.25
2095.0,31.0,167.19,100.0,96.05
2107.0,27.0,167.19,100.0,96.05
2107.0,27.0,167.19,100.0,101.25
2115.0,56.0,167.19,100.0,101.25
2115.0,56.0,167.19,100.0,100.45
2125.0,67.0,167.19,100.0,100.45
2125.0,67.0,167.19,100.0,98.85
2169.0,0.0,239.06,12.5,98.85
2169.0,0.0,239.06,12.5,98.85
2180.0,354.0,239.06,100.0,98.85
2180.0,354.0,239.06,100.0,70.05
2195.0,38.0,239.06,100.0,70.05
2195.0,38.0,239.06,100.0,70.05
2208.0,42.0,239.06,100.0,70.05
2208.0,42.0,239.06,100.0,100.45
2224.0,46.0,239.06,100.0,100.45
2224.0,46.0,239.06,100.0,100.05
2282.0,0.0,278.91,100.0,100.05
2282.0,0.0,278.91,100.0,100.05
2293.0,468.0,278.91,100.0,100.05
2293.0,468.0,278.91,100.0,68.85
2310.0,37.0,278.91,100.0,68.85
2310.0,37.0,278.91,100.0,68.85
2360.0,30.0,289.84,100.0,68.85
2360.0,30.0,289.84,100.0,68.85
2377.0,251.0,289.84,12.5,68.85
2377.0,251.0,289.84,12.5,88.45
2399.0,32.0,289.84,12.5,88.45
2399.0,32.0,289.84,12.5,88.85
2477.0,0.0,332.03,100.0,88.85
2477.0,0.0,332.03,100.0,88.85
2495.0,369.0,332.03,100.0,88.85
2495.0,369.0,332.03,100.0,76.05
2574.0,0.0,336.72,100.0,76.05
2574.0,0.0,336.72,100.0,76.05
2588.0,500.0,336.72,100.0,76.05
2588.0,500.0,336.72,100.0,74.05
2656.0,37.0,342.97,100.0,74.05
2656.0,37.0,342.97,100.0,74.05
2670.0,423.0,342.97,100.0,74.05
2670.0,423.0,342.97,100.0,72.85
2691.0,85.0,342.97,100.0,72.85
2691.0,85.0,342.97,100.0,70.45
2770.0,34.0,402.34,100.0,70.45
2770.0,34.0,402.34,100.0,70.45
2792.0,325.0,402.34,100.0,70.45
2792.0,325.0,402.34,100.0,76.45
2880.0,33.0,410.16,100.0,76.45
2880.0,33.0,410.16,100.0,76.45
2901.0,394.0,410.16,100.0,76.45
2901.0,394.0,410.16,100.0,80.45
2993.0,34.0,416.41,100.0,80.45
2993.0,34.0,416.41,100.0,80.45
3094.0,0.0,417.97,100.0,80.45
3094.0,0.0,417.97,100.0,80.45
3097.0,3003.0,417.97,100.0,80.45
3097.0,3003.0,417.97,100.0,10.05
3141.0,25.0,417.97,100.0,10.05
3141.0,25.0,417.97,100.0,10.05
3221.0,19.0,419.53,100.0,10.05
3221.0,19.0,419.53,100.0,10.05
3350.0,18.0,421.09,100.0,10.05
3350.0,18.0,421.09,100.0,10.05
3387.0,194.0,421.09,12.5,10.05
3387.0,194.0,421.09,12.5,90.45
3423.0,10.0,421.09,12.5,90.45
3423.0,10.0,421.09,12.5,92.05
3561.0,0.0,432.03,100.0,92.05
3561.0,0.0,432.03,100.0,92.05
3651.0,88.0,432.03,12.5,92.05
3651.0,88.0,432.03,12.5,91.25
0.0,0.0,100.0,100.0,108.05
0.0,0.0,100.0,100.0,100.0
95.0,0.0,100.0,100.0,100.0
95.0,0.0,100.0,100.0,0.05
130.0,36.0,100.0,100.0,0.05
130.0,36.0,100.0,100.0,100.85
143.0,41.0,100.0,100.0,100.85
143.0,41.0,100.0,100.0,100.85
201.0,2.0,100.0,100.0,100.85
201.0,2.0,100.0,100.0,102.85
364.0,1.0,100.0,100.0,102.85
364.0,1.0,100.0,100.0,105.25
477.0,0.0,100.0,100.0,105.25
477.0,0.0,100.0,100.0,107.65
601.0,0.0,100.0,100.0,107.65
601.0,0.0,100.0,100.0,102.85
709.0,0.0,100.0,100.0,102.85
709.0,0.0,100.0,100.0,105.25
736.0,2.0,100.0,100.0,105.25
736.0,2.0,100.0,100.0,107.25
738.0,72.0,100.0,100.0,107.25
738.0,72.0,100.0,100.0,105.65
739.0,59.0,100.0,100.0,105.65
739.0,59.0,100.0,100.0,104.45
740.0,62.0,100.0,100.0,104.45
740.0,62.0,100.0,100.0,103.25
741.0,50.0,100.0,100.0,103.25
741.0,50.0,100.0,100.0,100.05
743.0,34.0,100.0,100.0,100.05
743.0,34.0,100.0,100.0,100.45
744.0,34.0,100.0,100.0,100.45
744.0,34.0,100.0,100.0,100.85
745.0,34.0,100.0,100.0,100.85
745.0,34.0,100.0,100.0,101.25
746.0,36.0,100.0,100.0,101.25
746.0,36.0,100.0,100.0,101.25
747.0,37.0,100.0,100.0,101.25
747.0,37.0,100.0,100.0,101.65
748.0,36.0,100.0,100.0,101.65
748.0,36.0,100.0,100.0,100.85
749.0,36.0,100.0,100.0,100.85
749.0,36.0,100.0,100.0,101.25
750.0,36.0,100.0,100.0,101.25
750.0,36.0,100.0,100.0,101.25
751.0,35.0,100.0,100.0,101.25
751.0,35.0,100.0,100.0,101.65
752.0,38.0,100.0,100.0,101.65
752.0,38.0,100.0,100.0,101.65
753.0,40.0,100.0,100.0,101.65
753.0,40.0,100.0,100.0,101.65
754.0,40.0,100.0,100.0,101.65
