Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
6.0,85.0,100,100,100
266.0,38.0,100,100,100
370.0,67.0,100,100,100
477.0,67.0,100,100,100
513.0,192.0,100,100,100
560.0,71.0,100,100,100
660.0,198.0,100,100,100
733.0,247.0,100,100,100
798.0,73.0,100,100,100
917.0,76.0,100,100,100
1043.0,67.0,100,100,100
1106.0,71.0,100,100,100
1169.0,179.0,100,100,100
1203.0,79.0,100,100,100
1289.0,250.0,100,100,100
1332.0,237.0,100,100,100
1414.0,235.0,100,100,100
1545.0,258.0,100,100,100
1609.0,281.0,100,100,100
1687.0,226.0,100,100,100
0.0,0.0,100,100,100
6.0,30.0,100,100,100
200.0,41.0,100,100,100
298.0,34.0,100,100,100
435.0,36.0,100,100,100
487.0,78.0,100,100,100
526.0,108.0,100,100,100
668.0,111.0,100,100,100
715.0,87.0,100,100,100
794.0,36.0,100,100,100
911.0,38.0,100,100,100
1048.0,39.0,100,100,100
1204.0,42.0,100,100,100
1356.0,37.0,100,100,100
1495.0,38.0,100,100,100
1637.0,40.0,100,100,100
1795.0,36.0,100,100,100
0.0,0.0,100,100,100
5.0,64.0,100,100,100
201.0,123.0,100,100,100
294.0,51.0,100,100,100
440.0,65.0,100,100,100
486.0,195.0,100,100,100
533.0,68.0,100,100,100
598.0,63.0,100,100,100
702.0,184.0,100,100,100
742.0,180.0,100,100,100
792.0,57.0,100,100,100
891.0,62.0,100,100,100
1012.0,55.0,100,100,100
1161.0,65.0,100,100,100
1286.0,63.0,100,100,100
1416.0,65.0,100,100,100
1522.0,71.0,100,100,100
1658.0,69.0,100,100,100
0.0,0.0,100,100,100
6.0,65.0,100,100,100
196.0,37.0,100,100,100
298.0,39.0,100,100,100
412.0,41.0,100,100,100
454.0,95.0,100,100,100
530.0,150.0,100,100,100
614.0,158.0,100,100,100
690.0,171.0,100,100,100
763.0,53.0,100,100,100
923.0,53.0,100,100,100
1052.0,173.0,100,100,100
1103.0,204.0,100,100,100
1173.0,69.0,100,100,100
1340.0,60.0,100,100,100
1466.0,60.0,100,100,100
1594.0,71.0,100,100,100
1736.0,123.0,100,100,100
0.0,0.0,100,100,100
6.0,65.0,100,100,100
198.0,46.0,100,100,100
314.0,40.0,100,100,100
481.0,45.0,100,100,100
528.0,67.0,100,100,100
580.0,41.0,100,100,100
668.0,36.0,100,100,100
786.0,39.0,100,100,100
886.0,45.0,100,100,100
996.0,41.0,100,100,100
1109.0,44.0,100,100,100
1242.0,40.0,100,100,100
1382.0,42.0,100,100,100
1493.0,42.0,100,100,100
1634.0,36.0,100,100,100
1773.0,42.0,100,100,100
0.0,0.0,100,100,100
6.0,44.0,100,100,100
225.0,39.0,100,100,100
304.0,36.0,100,100,100
442.0,36.0,100,100,100
474.0,92.0,100,100,100
513.0,116.0,100,100,100
619.0,42.0,100,100,100
727.0,36.0,100,100,100
848.0,39.0,100,100,100
959.0,38.0,100,100,100
1098.0,46.0,100,100,100
1258.0,50.0,100,100,100
1386.0,54.0,100,100,100
1545.0,57.0,100,100,100
1694.0,48.0,100,100,100
0.0,0.0,100,100,100
14.0,79.0,100,100,100
316.0,43.0,100,100,100
394.0,38.0,100,100,100
502.0,39.0,100,100,100
541.0,75.0,100,100,100
609.0,126.0,100,100,100
733.0,112.0,100,100,100
790.0,83.0,100,100,100
864.0,120.0,100,100,100
1029.0,38.0,100,100,100
1174.0,39.0,100,100,100
1226.0,93.0,100,100,100
1268.0,132.0,100,100,100
1393.0,133.0,100,100,100
1468.0,91.0,100,100,100
1546.0,124.0,100,100,100
1747.0,41.0,100,100,100
1909.0,44.0,100,100,100
0.0,0.0,100,100,100
5.0,85.0,100,100,100
197.0,67.0,100,100,100
263.0,57.0,100,100,100
402.0,219.0,100,100,100
449.0,165.0,100,100,100
498.0,210.0,100,100,100
638.0,66.0,100,100,100
780.0,60.0,100,100,100
888.0,62.0,100,100,100
1006.0,195.0,100,100,100
1075.0,180.0,100,100,100
1172.0,60.0,100,100,100
1304.0,60.0,100,100,100
1475.0,59.0,100,100,100
1551.0,204.0,100,100,100
1647.0,59.0,100,100,100
1818.0,77.0,100,100,100
0.0,0.0,100,100,100
0.0,0.0,100,100,100
6.0,51.0,100,100,100
201.0,31.0,100,100,100
298.0,38.0,100,100,100
450.0,38.0,100,100,100
499.0,79.0,100,100,100
557.0,37.0,100,100,100
635.0,36.0,100,100,100
738.0,121.0,100,100,100
778.0,96.0,100,100,100
837.0,40.0,100,100,100
949.0,34.0,100,100,100
1088.0,32.0,100,100,100
1259.0,39.0,100,100,100
1408.0,39.0,100,100,100
1524.0,41.0,100,100,100
1664.0,39.0,100,100,100
1848.0,36.0,100,100,100
0.0,0.0,100,100,100
6.0,46.0,100,100,100
197.0,37.0,100,100,100
277.0,41.0,100,100,100
419.0,41.0,100,100,100
488.0,86.0,100,100,100
540.0,129.0,100,100,100
653.0,124.0,100,100,100
696.0,78.0,100,100,100
764.0,40.0,100,100,100
894.0,43.0,100,100,100
1034.0,50.0,100,100,100
1108.0,87.0,100,100,100
1167.0,156.0,100,100,100
1303.0,44.0,100,100,100
1374.0,160.0,100,100,100
1460.0,141.0,100,100,100
1613.0,50.0,100,100,100
1673.0,180.0,100,100,100
1739.0,158.0,100,100,100
0.0,0.0,100,100,100
6.0,37.0,100,100,100
195.0,35.0,100,100,100
287.0,40.0,100,100,100
453.0,43.0,100,100,100
510.0,126.0,100,100,100
557.0,48.0,100,100,100
645.0,43.0,100,100,100
758.0,48.0,100,100,100
866.0,46.0,100,100,100
988.0,48.0,100,100,100
1097.0,47.0,100,100,100
1217.0,51.0,100,100,100
1332.0,56.0,100,100,100
1445.0,61.0,100,100,100
1555.0,52.0,100,100,100
1712.0,55.0,100,100,100
0.0,0.0,100,100,100
5.0,55.0,100,100,100
209.0,41.0,100,100,100
287.0,40.0,100,100,100
441.0,43.0,100,100,100
477.0,150.0,100,100,100
540.0,52.0,100,100,100
603.0,52.0,100,100,100
703.0,171.0,100,100,100
749.0,121.0,100,100,100
812.0,50.0,100,100,100
945.0,56.0,100,100,100
1042.0,51.0,100,100,100
1174.0,54.0,100,100,100
1300.0,49.0,100,100,100
1436.0,49.0,100,100,100
1582.0,47.0,100,100,100
0.0,0.0,100,100,100
6.0,41.0,100,100,100
207.0,42.0,100,100,100
303.0,75.0,100,100,100
426.0,56.0,100,100,100
460.0,201.0,100,100,100
530.0,56.0,100,100,100
648.0,181.0,100,100,100
714.0,209.0,100,100,100
789.0,55.0,100,100,100
931.0,107.0,100,100,100
1080.0,52.0,100,100,100
1228.0,55.0,100,100,100
1286.0,158.0,100,100,100
1368.0,61.0,100,100,100
1473.0,173.0,100,100,100
1543.0,225.0,100,100,100
1613.0,179.0,100,100,100
1761.0,72.0,100,100,100
