Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,100
3.0,45.0,100.0,100.0,100
752.0,34.0,100.0,25.0,100
1005.0,11.0,100.0,37.5,100
4022.0,28.0,100.0,37.5,100
4196.0,24.0,100.0,37.5,100
4328.0,26.0,100.0,37.5,100
4425.0,7.0,100.0,37.5,100
4489.0,6.0,100.0,37.5,100
4554.0,24.0,100.0,37.5,100
4609.0,15.0,100.0,37.5,100
4652.0,13.0,100.0,37.5,100
4704.0,28.0,100.0,37.5,100
4739.0,28.0,100.0,37.5,100
4772.0,9.0,100.0,37.5,100
4799.0,5.0,100.0,37.5,100
4864.0,5.0,100.0,37.5,100
4894.0,26.0,100.0,50.0,100
4929.0,24.0,100.0,37.5,100
4982.0,26.0,100.0,37.5,100
5047.0,24.0,100.0,37.5,100
5157.0,23.0,100.0,37.5,100
5258.0,31.0,100.0,25.0,100
5343.0,57.0,100.0,25.0,100
5429.0,47.0,100.0,12.5,100
5510.0,24.0,100.0,12.5,100
5597.0,49.0,100.0,37.5,100
5680.0,25.0,100.0,37.5,100
5765.0,32.0,100.0,37.5,100
5834.0,68.0,100.0,37.5,100
0.0,0.0,100.0,100.0,100
3.0,104.0,100.0,100.0,100
734.0,0.0,100.0,25.0,100
962.0,4.0,100.0,37.5,100
3838.0,53.0,100.0,50.0,100
4020.0,29.0,100.0,50.0,100
4140.0,11.0,100.0,37.5,100
4245.0,55.0,100.0,50.0,100
4321.0,9.0,100.0,37.5,100
4369.0,4.0,100.0,37.5,100
4399.0,4.0,100.0,37.5,100
4419.0,3.0,100.0,37.5,100
4475.0,43.0,100.0,25.0,100
4541.0,155.0,100.0,12.5,100
4581.0,194.0,100.0,12.5,100
4611.0,174.0,100.0,12.5,100
4670.0,0.0,100.0,12.5,100
4741.0,198.0,100.0,12.5,100
4760.0,0.0,100.0,25.0,100
4779.0,0.0,100.0,25.0,100
4823.0,31.0,100.0,25.0,100
4916.0,31.0,100.0,12.5,100
5023.0,30.0,100.0,12.5,100
5108.0,30.0,100.0,12.5,100
5208.0,35.0,100.0,25.0,100
5292.0,83.0,100.0,25.0,100
5381.0,45.0,100.0,25.0,100
5463.0,0.0,100.78,25.0,100
5488.0,44.0,100.78,25.0,100
5512.0,44.0,100.78,25.0,100
5531.0,56.0,100.78,25.0,100
0.0,0.0,100.0,100.0,100
3.0,63.0,100.0,100.0,100
708.0,29.0,100.0,12.5,100
934.0,37.0,100.0,25.0,100
3868.0,9.0,100.0,37.5,100
4037.0,26.0,100.0,50.0,100
4174.0,30.0,100.0,50.0,100
4289.0,59.0,100.0,50.0,100
4371.0,93.0,100.0,25.0,100
4420.0,0.0,100.0,25.0,100
4476.0,142.0,100.0,12.5,100
4514.0,55.0,100.0,25.0,100
4566.0,267.0,100.0,12.5,100
4599.0,148.0,100.0,12.5,100
4641.0,41.0,100.0,12.5,100
4682.0,166.0,100.0,12.5,100
4748.0,0.0,100.0,25.0,100
4767.0,318.0,100.0,12.5,100
4797.0,0.0,100.0,12.5,100
4852.0,0.0,100.0,25.0,100
4921.0,0.0,100.78,25.0,100
4921.0,0.0,100.78,25.0,100
5036.0,0.0,100.78,25.0,100
5124.0,2.0,100.78,37.5,100
5146.0,0.0,100.78,25.0,100
5146.0,0.0,100.78,25.0,100
5236.0,456.0,100.78,12.5,100
5324.0,4.0,100.78,25.0,100
5329.0,307.0,100.78,25.0,100
5417.0,2.0,100.78,25.0,100
5429.0,86.0,100.78,12.5,100
5429.0,86.0,100.78,12.5,100
5530.0,0.0,100.78,25.0,100
5530.0,0.0,100.78,25.0,100
5629.0,89.0,100.78,25.0,100
5629.0,89.0,100.78,25.0,100
5718.0,0.0,100.78,25.0,100
5833.0,1.0,100.78,37.5,100
5837.0,4.0,100.78,37.5,100
0.0,0.0,100.0,100.0,100
2.0,102.0,100.0,100.0,100
722.0,22.0,100.0,12.5,100
949.0,18.0,100.0,25.0,100
3858.0,19.0,100.0,25.0,100
4014.0,30.0,100.0,37.5,100
4132.0,32.0,100.0,37.5,100
4254.0,26.0,100.0,37.5,100
4343.0,27.0,100.0,37.5,100
4394.0,5.0,100.0,25.0,100
4458.0,0.0,100.0,25.0,100
4516.0,68.0,100.0,25.0,100
4548.0,0.0,100.0,25.0,100
4587.0,24.0,100.0,37.5,100
4635.0,29.0,100.0,25.0,100
4718.0,32.0,100.0,25.0,100
4745.0,5.0,100.0,25.0,100
4782.0,30.0,100.0,25.0,100
4782.0,30.0,100.0,25.0,100
4812.0,7.0,100.0,25.0,100
4890.0,25.0,100.0,37.5,100
4890.0,25.0,100.0,37.5,100
5028.0,28.0,100.0,37.5,100
5028.0,28.0,100.0,37.5,100
5077.0,31.0,100.0,37.5,100
5077.0,31.0,100.0,37.5,100
5115.0,24.0,100.0,37.5,100
5115.0,24.0,100.0,37.5,100
5136.0,35.0,100.0,37.5,100
5156.0,21.0,100.0,37.5,100
5163.0,57.0,100.0,37.5,100
5163.0,57.0,100.0,37.5,100
5193.0,46.0,100.0,37.5,100
5193.0,46.0,100.0,37.5,100
5212.0,5.0,100.0,25.0,100
5230.0,18.0,100.0,25.0,100
5232.0,7.0,100.0,25.0,100
5911.0,0.0,100.0,37.5,100
5914.0,6.0,100.0,25.0,100
0.0,0.0,100.0,100.0,100
3.0,103.0,100.0,100.0,100
717.0,6.0,100.0,25.0,100
958.0,5.0,100.0,25.0,100
3960.0,9.0,100.0,50.0,100
4104.0,30.0,100.0,62.5,100
4232.0,29.0,100.0,62.5,100
4337.0,28.0,100.0,75.0,100
4434.0,29.0,100.0,62.5,100
4486.0,12.0,100.0,50.0,100
4536.0,6.0,100.0,37.5,100
4576.0,21.0,100.0,37.5,100
4649.0,42.0,100.0,50.0,100
4688.0,48.0,100.0,37.5,100
4737.0,33.0,100.0,37.5,100
4737.0,33.0,100.0,37.5,100
4824.0,32.0,100.0,37.5,100
4850.0,31.0,100.0,37.5,100
4886.0,26.0,100.0,37.5,100
4918.0,5.0,100.0,25.0,100
4992.0,27.0,100.0,25.0,100
5109.0,26.0,100.0,25.0,100
5164.0,25.0,100.0,12.5,100
5204.0,0.0,100.0,25.0,100
5227.0,35.0,100.0,25.0,100
5249.0,51.0,100.0,25.0,100
5267.0,0.0,100.0,25.0,100
5292.0,24.0,100.0,25.0,100
5310.0,48.0,100.0,25.0,100
5328.0,4.0,100.0,37.5,100
0.0,0.0,100.0,100.0,100
3.0,32.0,100.0,100.0,100
743.0,35.0,100.0,25.0,100
1000.0,22.0,100.0,25.0,100
3929.0,41.0,100.0,25.0,100
4088.0,22.0,100.0,25.0,100
4119.0,27.0,100.0,37.5,100
4253.0,50.0,100.0,37.5,100
4354.0,4.0,100.0,37.5,100
4431.0,38.0,100.0,25.0,100
4496.0,30.0,100.0,25.0,100
4548.0,39.0,100.0,25.0,100
4603.0,0.0,100.0,25.0,100
4636.0,30.0,100.0,25.0,100
4656.0,23.0,100.0,25.0,100
4683.0,17.0,100.0,25.0,100
4727.0,39.0,100.0,25.0,100
4794.0,0.0,100.0,25.0,100
4812.0,22.0,100.0,25.0,100
4833.0,28.0,100.0,25.0,100
4852.0,0.0,100.0,25.0,100
4863.0,5.0,100.0,25.0,100
4940.0,36.0,100.0,25.0,100
4965.0,23.0,100.0,25.0,100
5088.0,34.0,100.0,12.5,100
5088.0,34.0,100.0,12.5,100
5179.0,9.0,100.0,25.0,100
5225.0,13.0,100.0,25.0,100
5246.0,32.0,100.0,25.0,100
5246.0,32.0,100.0,25.0,100
5279.0,0.0,100.78,25.0,100
5279.0,0.0,100.78,25.0,100
5300.0,0.0,100.78,25.0,100
5319.0,23.0,100.78,25.0,100
5329.0,46.0,100.78,25.0,100
5329.0,46.0,100.78,25.0,100
5353.0,35.0,100.78,25.0,100
5353.0,35.0,100.78,25.0,100
5373.0,41.0,100.78,25.0,100
5879.0,0.0,100.78,25.0,100
5897.0,24.0,100.78,25.0,100
0.0,0.0,100.0,100.0,100
0.0,0.0,100.0,100.0,100
3.0,51.0,100.0,100.0,100
751.0,34.0,100.0,25.0,100
983.0,28.0,100.0,25.0,100
3940.0,4.0,100.0,37.5,100
4083.0,25.0,100.0,62.5,100
4202.0,7.0,100.0,50.0,100
4291.0,9.0,100.0,62.5,100
4364.0,63.0,100.0,50.0,100
4431.0,59.0,100.0,37.5,100
