Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100,100
11.0,37.0,100.0,100,100
228.0,29.0,100.0,100,100
287.0,30.0,100.0,100,100
388.0,46.0,100.0,100,100
422.0,57.0,100.0,100,100
448.0,53.0,100.0,100,100
473.0,53.0,100.0,100,100
499.0,51.0,100.0,100,100
527.0,51.0,100.0,100,100
555.0,53.0,100.0,100,100
583.0,51.0,100.0,100,100
607.0,43.0,100.0,100,100
632.0,44.0,100.0,100,100
656.0,45.0,100.0,100,100
677.0,51.0,100.0,100,100
698.0,57.0,100.0,100,100
698.0,57.0,100.0,100,100
717.0,54.0,100.0,100,100
717.0,54.0,100.0,100,100
734.0,55.0,100.0,100,100
0.0,0.0,100.0,100,100
9.0,35.0,100.0,100,100
214.0,34.0,100.0,100,100
272.0,35.0,100.0,100,100
405.0,34.0,100.0,100,100
454.0,73.0,100.0,100,100
492.0,75.0,100.0,100,100
517.0,40.0,100.0,100,100
538.0,40.0,100.0,100,100
561.0,44.0,100.0,100,100
584.0,41.0,100.0,100,100
608.0,42.0,100.0,100,100
631.0,41.0,100.0,100,100
655.0,39.0,100.0,100,100
678.0,41.0,100.0,100,100
698.0,40.0,100.0,100,100
720.0,41.0,100.0,100,100
720.0,41.0,100.0,100,100
743.0,63.0,100.0,100,100
743.0,63.0,100.0,100,100
765.0,77.0,100.0,100,100
0.0,0.0,100.0,100,100
10.0,35.0,100.0,100,100
224.0,71.0,100.0,100,100
276.0,77.0,100.0,100,100
382.0,96.0,100.0,100,100
417.0,110.0,100.0,100,100
449.0,113.0,100.0,100,100
479.0,108.0,100.0,100,100
510.0,118.0,100.0,100,100
556.0,117.0,100.0,100,100
591.0,116.0,100.0,100,100
621.0,108.0,100.0,100,100
650.0,119.0,100.0,100,100
679.0,108.0,100.0,100,100
709.0,127.0,100.0,100,100
733.0,121.0,100.0,100,100
758.0,152.0,100.0,100,100
758.0,152.0,100.0,100,100
781.0,122.0,100.0,100,100
781.0,122.0,100.0,100,100
803.0,126.0,100.0,100,100
0.0,0.0,100.0,100,100
9.0,35.0,100.0,100,100
221.0,29.0,100.0,100,100
267.0,31.0,100.0,100,100
372.0,56.0,100.0,100,100
411.0,84.0,100.0,100,100
440.0,75.0,100.0,100,100
469.0,75.0,100.0,100,100
494.0,60.0,100.0,100,100
519.0,59.0,100.0,100,100
543.0,40.0,100.0,100,100
576.0,82.0,100.0,100,100
607.0,62.0,100.0,100,100
637.0,72.0,100.0,100,100
668.0,66.0,100.0,100,100
699.0,81.0,100.0,100,100
729.0,80.0,100.0,100,100
729.0,80.0,100.0,100,100
759.0,79.0,100.0,100,100
759.0,79.0,100.0,100,100
786.0,78.0,100.0,100,100
0.0,0.0,100.0,100,100
11.0,41.0,100.0,100,100
241.0,34.0,100.0,100,100
293.0,36.0,100.0,100,100
392.0,37.0,100.0,100,100
424.0,46.0,100.0,100,100
