Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
6.0,39.0,100,100,100
670.0,22.0,100,12.5,100
910.0,29.0,100,25.0,100
4170.0,0.0,100,50.0,100
4228.0,19.0,100,62.5,100
4368.0,31.0,100,75.0,100
4424.0,96.0,100,75.0,100
4453.0,37.0,100,75.0,100
4638.0,42.0,100,87.5,100
4713.0,141.0,100,87.5,100
4758.0,42.0,100,87.5,100
4837.0,55.0,100,87.5,100
4920.0,57.0,100,87.5,100
4978.0,67.0,100,87.5,100
5073.0,74.0,100,87.5,100
5170.0,63.0,100,75.0,100
5357.0,66.0,100,75.0,100
5534.0,44.0,100,62.5,100
5711.0,65.0,100,75.0,100
5868.0,85.0,100,75.0,100
