Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
38.0,13.0,100,100,100
295.0,0.0,100,100,95.0
360.0,2.0,100,100,85.0
506.0,1.0,100,100,75.0
582.0,0.0,100,100,65.0
671.0,0.0,100,100,55.0
777.0,46.0,100,100,55.0
833.0,3.0,100,100,55.0
898.0,1.0,100,100,45.0
1286.0,0.0,100,100,35.0
1301.0,14.0,100,100,35.0
1405.0,1.0,100,100,35.0
1431.0,5.0,100,100,30.0
1654.0,0.0,100,100,25.0
1844.0,0.0,100,100,15.0
2023.0,0.0,100,100,10.0
2356.0,0.0,100,100,10.0
2604.0,1.0,100,100,10.0
2875.0,0.0,100,100,10.0
3225.0,1.0,100,100,10.0
3587.0,0.0,100,100,10.0
3929.0,0.0,100,100,10.0
4323.0,0.0,100,100,10.0
4693.0,0.0,100,100,10.0
5090.0,0.0,100,100,10.0
5465.0,0.0,100,100,10.0
5844.0,0.0,100,100,10.0
6233.0,0.0,100,100,10.0
6237.0,45.0,100,100,10.0
6724.0,0.0,100,100,10.0
7224.0,0.0,100,100,10.0
7731.0,0.0,100,100,10.0
8272.0,0.0,100,100,10.0
8804.0,0.0,100,100,10.0
