Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
66.0,7.0,100,100,100
340.0,3.0,100,12.5,100
363.0,6.0,100,12.5,100
533.0,1.0,100,12.5,95.0
632.0,3.0,100,12.5,90.0
775.0,0.0,100,25.0,85.0
791.0,0.0,100,12.5,85.0
861.0,2.0,100,12.5,75.0
900.0,2.0,100,12.5,70.0
1199.0,0.0,100,25.0,65.0
1288.0,1.0,100,25.0,60.0
1313.0,9.0,100,25.0,60.0
1491.0,0.0,100,25.0,55.0
1820.0,0.0,100,25.0,50.0
2068.0,1.0,100,37.5,50.0
2452.0,0.0,100,50.0,50.0
2851.0,0.0,100,62.5,45.0
3190.0,1.0,100,62.5,40.0
3526.0,1.0,100,75.0,40.0
3936.0,0.0,100,87.5,40.0
4300.0,0.0,100,100.0,40.0
4733.0,0.0,100,100.0,35.0
5154.0,0.0,100,100.0,30.0
5584.0,0.0,100,100.0,30.0
5992.0,0.0,100,100.0,30.0
6421.0,0.0,100,100.0,25.0
6425.0,32.0,100,62.5,25.0
7001.0,0.0,100,62.5,25.0
7554.0,0.0,100,62.5,20.0
8139.0,0.0,100,75.0,15.0
8729.0,0.0,100,75.0,10.0
9282.0,0.0,100,75.0,10.0
