Time,GC Util,heapSize,numThreads,GCInterval
54875.0,0.0,100,100,100
0.0,0.0,100,100,100
74.0,7.0,100,100,100
134.0,14.0,100,100,100
146.0,0.0,100,100,100
919.0,0.0,100,100,100
3809.0,0.0,100,100,100
8195.0,0.0,100,100,100
12401.0,0.0,100,100,100
17740.0,0.0,100,100,100
23654.0,0.0,100,100,100
30829.0,0.0,100,100,100
37653.0,0.0,100,100,100
43134.0,5.0,100,100,100
43158.0,7.0,100,100,100
43171.0,4.0,100,100,100
43190.0,2.0,100,100,100
43223.0,1.0,100,100,100
43277.0,1.0,100,100,100
43364.0,2.0,100,100,100
43430.0,4.0,100,100,100
43473.0,1.0,100,100,100
43740.0,0.0,100,100,100
46048.0,4.0,100,100,100
46087.0,4.0,100,100,100
46131.0,2.0,100,100,100
46184.0,3.0,100,100,100
46227.0,2.0,100,100,100
46287.0,15.0,100,100,100
46305.0,15.0,100,100,100
46318.0,21.0,100,100,100
46326.0,10.0,100,100,100
46340.0,17.0,100,100,100
46346.0,2.0,100,100,100
46375.0,2.0,100,100,100
46409.0,3.0,100,100,100
46439.0,4.0,100,100,100
46468.0,5.0,100,100,100
46498.0,3.0,100,100,100
46538.0,3.0,100,100,100
46575.0,4.0,100,100,100
46600.0,5.0,100,100,100
46627.0,6.0,100,100,100
46652.0,4.0,100,100,100
46681.0,5.0,100,100,100
46707.0,3.0,100,100,100
46752.0,2.0,100,100,100
46792.0,14.0,100,100,100
46804.0,18.0,100,100,100
46810.0,18.0,100,100,100
46817.0,11.0,100,100,100
46833.0,12.0,100,100,100
46844.0,8.0,100,100,100
46858.0,5.0,100,100,100
46878.0,10.0,100,100,100
46906.0,2.0,100,100,100
46972.0,2.0,100,100,100
47021.0,44.0,100,100,100
47026.0,28.0,100,100,100
47033.0,27.0,100,100,100
47041.0,55.0,100,100,100
47047.0,20.0,100,100,100
47060.0,6.0,100,100,100
47090.0,2.0,100,100,100
47154.0,14.0,100,100,100
47325.0,19.0,100,100,100
47454.0,2.0,100,100,100
47503.0,2.0,100,100,100
47553.0,2.0,100,100,100
47601.0,2.0,100,100,100
47659.0,1.0,100,100,100
47719.0,1.0,100,100,100
47781.0,3.0,100,100,100
47800.0,6.0,100,100,100
47814.0,4.0,100,100,100
47828.0,4.0,100,100,100
47842.0,4.0,100,100,100
47856.0,4.0,100,100,100
