Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
25.0,17.0,100,100,100
37.0,14.0,100,100,100
294.0,0.0,100,12.5,100
539.0,0.0,100,25.0,100
741.0,0.0,100,25.0,100
921.0,0.0,100,37.5,100
1149.0,0.0,100,50.0,100
1456.0,0.0,100,62.5,95.0
1746.0,0.0,100,62.5,90.0
1954.0,0.0,100,75.0,85.0
2172.0,0.0,100,75.0,80.0
2183.0,6.0,100,75.0,80.0
2190.0,6.0,100,75.0,80.0
2214.0,2.0,100,87.5,80.0
2252.0,2.0,100,100.0,80.0
2321.0,1.0,100,100.0,80.0
2381.0,1.0,100,100.0,80.0
2429.0,2.0,100,100.0,80.0
2467.0,4.0,100,100.0,75.0
5284.0,0.0,100,100.0,65.0
5327.0,4.0,100,100.0,60.0
5360.0,4.0,100,100.0,60.0
5402.0,3.0,100,100.0,60.0
5451.0,2.0,100,100.0,60.0
5497.0,2.0,100,100.0,55.0
5537.0,3.0,100,100.0,50.0
5551.0,17.0,100,100.0,50.0
5565.0,14.0,100,100.0,50.0
5583.0,9.0,100,100.0,50.0
5585.0,29.0,100,87.5,50.0
5587.0,34.0,100,87.5,55.0
5611.0,3.0,100,87.5,55.0
5676.0,0.0,100,87.5,50.0
5709.0,4.0,100,100.0,50.0
5742.0,4.0,100,100.0,50.0
5776.0,6.0,100,100.0,50.0
5814.0,2.0,100,100.0,50.0
5852.0,3.0,100,100.0,50.0
5877.0,4.0,100,100.0,50.0
5908.0,4.0,100,100.0,45.0
5927.0,7.0,100,100.0,40.0
5957.0,3.0,100,100.0,40.0
5977.0,6.0,100,100.0,40.0
6000.0,6.0,100,100.0,40.0
6033.0,4.0,100,100.0,40.0
6044.0,16.0,100,100.0,40.0
6057.0,12.0,100,100.0,40.0
6062.0,18.0,100,87.5,40.0
6074.0,11.0,100,87.5,40.0
6095.0,29.0,74.22,75.0,40.0
6122.0,59.0,74.22,75.0,40.0
6140.0,7.0,74.22,75.0,40.0
6152.0,12.0,74.22,75.0,40.0
6165.0,9.0,74.22,75.0,40.0
6192.0,5.0,74.22,75.0,40.0
6214.0,7.0,74.22,75.0,40.0
6255.0,2.0,74.22,75.0,40.0
6269.0,10.0,74.22,75.0,40.0
6273.0,40.0,74.22,75.0,40.0
6278.0,31.0,74.22,62.5,40.0
6290.0,78.0,74.22,50.0,40.0
6301.0,47.0,74.22,50.0,45.0
6319.0,15.0,74.22,50.0,50.0
6340.0,18.0,74.22,50.0,55.0
6421.0,30.0,74.22,25.0,55.0
6495.0,22.0,74.22,25.0,60.0
6553.0,4.0,74.22,37.5,55.0
6607.0,2.0,74.22,37.5,45.0
6662.0,2.0,74.22,37.5,40.0
6697.0,3.0,74.22,37.5,35.0
6712.0,3.0,74.22,37.5,25.0
6727.0,3.0,74.22,37.5,15.0
6742.0,3.0,74.22,37.5,10.0
6757.0,3.0,74.22,37.5,10.0
6772.0,3.0,74.22,37.5,10.0
6788.0,3.0,74.22,37.5,10.0
7632.0,0.0,74.22,37.5,10.0
