Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
30.0,13.0,100,100,100
52.0,7.0,100,100,100
116.0,2.0,100,100,95.0
242.0,1.0,100,100,85.0
327.0,45.0,100,100,85.0
332.0,53.0,100,100,95.0
347.0,10.0,100,100,100.0
387.0,4.0,100,100,95.0
456.0,2.0,100,100,85.0
482.0,3.0,100,100,75.0
487.0,17.0,100,100,75.0
497.0,30.0,100,100,85.0
521.0,24.0,100,100,95.0
580.0,3.0,100,100,95.0
591.0,10.0,100,100,90.0
596.0,13.0,100,100,90.0
610.0,3.0,100,100,85.0
662.0,3.0,100,100,75.0
680.0,9.0,100,100,70.0
698.0,9.0,100,100,70.0
714.0,11.0,100,100,70.0
729.0,8.0,100,100,70.0
744.0,8.0,100,100,70.0
761.0,7.0,100,100,70.0
771.0,13.0,100,100,70.0
783.0,14.0,100,100,75.0
793.0,11.0,100,100,80.0
807.0,9.0,100,100,80.0
821.0,8.0,100,100,80.0
836.0,8.0,100,100,80.0
852.0,7.0,100,100,80.0
870.0,7.0,100,100,80.0
887.0,6.0,100,100,80.0
904.0,6.0,100,100,80.0
921.0,12.0,100,100,80.0
937.0,8.0,100,100,80.0
954.0,7.0,100,100,80.0
968.0,8.0,100,100,80.0
982.0,8.0,100,100,80.0
994.0,10.0,100,100,80.0
