Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
20.0,23.0,100,100,100
35.0,12.0,100,100,100
91.0,2.0,100,100,100
149.0,3.0,100,100.0,100
231.0,48.0,100,75.0,100
235.0,67.0,100,62.5,100
247.0,13.0,100,62.5,100
280.0,5.0,100,62.5,100
346.0,2.0,100,62.5,100
372.0,3.0,100,62.5,100
382.0,8.0,100,62.5,100
396.0,7.0,100,62.5,100
417.0,5.0,100,62.5,100
425.0,9.0,100,62.5,100
470.0,2.0,100,62.5,100
491.0,4.0,100,62.5,100
496.0,13.0,100,62.5,100
500.0,9.0,100,62.5,100
513.0,3.0,100,62.5,100
583.0,0.0,100,75.0,100
597.0,5.0,100,75.0,100
609.0,6.0,100,75.0,100
621.0,7.0,100,75.0,100
630.0,5.0,100,75.0,100
640.0,4.0,100,75.0,100
650.0,4.0,100,75.0,100
657.0,6.0,100,75.0,100
666.0,4.0,100,75.0,100
677.0,4.0,100,75.0,100
684.0,6.0,100,75.0,100
691.0,6.0,100,75.0,100
700.0,5.0,100,75.0,100
706.0,7.0,100,75.0,100
712.0,6.0,100,75.0,100
720.0,5.0,100,75.0,100
726.0,7.0,100,75.0,100
734.0,5.0,100,75.0,100
742.0,5.0,100,75.0,100
750.0,5.0,100,75.0,100
759.0,5.0,100,75.0,100
766.0,6.0,100,75.0,100
775.0,5.0,100,75.0,100
783.0,5.0,100,75.0,100
792.0,5.0,100,75.0,100
800.0,5.0,100,75.0,100
808.0,5.0,100,75.0,100
816.0,5.0,100,75.0,100
824.0,5.0,100,75.0,100
832.0,5.0,100,75.0,100
840.0,5.0,100,75.0,100
849.0,5.0,100,75.0,100
856.0,6.0,100,75.0,100
862.0,6.0,100,75.0,100
870.0,6.0,100,75.0,100
877.0,6.0,100,75.0,100
884.0,7.0,100,75.0,100
891.0,6.0,100,75.0,100
897.0,7.0,100,75.0,100
903.0,7.0,100,75.0,100
909.0,8.0,100,75.0,100
915.0,8.0,100,75.0,100
919.0,8.0,100,75.0,100
924.0,9.0,100,75.0,100
