Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
26.0,19.0,100,100,100
37.0,14.0,100,100,100
213.0,1.0,100,100,100
259.0,4.0,100,100,100
285.0,3.0,100,100,100
306.0,4.0,100,100,100
330.0,3.0,100,100,100
363.0,1.0,100,100,100
399.0,1.0,100,100,100
441.0,1.0,100,100,100
484.0,1.0,100,100,100
545.0,1.0,100,100,100
588.0,3.0,100,100,100
608.0,73.0,74.22,100,100
628.0,29.0,74.22,100,100
637.0,18.0,74.22,100,100
644.0,22.0,74.22,100,100
650.0,19.0,74.22,100,100
652.0,39.0,74.22,100,100
679.0,8.0,74.22,100,100
688.0,14.0,74.22,100,100
713.0,8.0,74.22,100,100
761.0,8.0,74.22,100,100
803.0,7.0,74.22,100,100
829.0,16.0,74.22,100,100
839.0,21.0,74.22,100,100
865.0,29.0,73.44,100,100
886.0,103.0,73.44,100,100
910.0,6.0,73.44,100,100
940.0,6.0,73.44,100,100
977.0,33.0,72.66,100,100
997.0,38.0,72.66,100,100
1012.0,11.0,72.66,100,100
1026.0,12.0,72.66,100,100
1046.0,7.0,72.66,100,100
1064.0,88.0,71.88,100,100
1084.0,47.0,71.88,100,100
1094.0,14.0,71.88,100,100
1113.0,7.0,71.88,100,100
1129.0,87.0,71.09,100,100
1144.0,52.0,71.09,100,100
1161.0,13.0,71.09,100,100
1211.0,116.0,70.31,100,100
1227.0,26.0,70.31,100,100
1235.0,22.0,70.31,100,100
1247.0,14.0,70.31,100,100
1259.0,34.0,69.53,100,100
1272.0,48.0,69.53,100,100
1287.0,9.0,69.53,100,100
1305.0,7.0,69.53,100,100
1317.0,80.0,68.75,100,100
1342.0,52.0,68.75,100,100
1377.0,4.0,68.75,100,100
1397.0,8.0,68.75,100,100
1406.0,78.0,67.97,100,100
1446.0,15.0,67.97,100,100
1453.0,38.0,67.97,100,100
1471.0,59.0,67.19,100,100
1491.0,49.0,67.19,100,100
1511.0,6.0,67.19,100,100
1573.0,50.0,66.41,100,100
1594.0,46.0,66.41,100,100
1605.0,15.0,66.41,100,100
1632.0,116.0,65.62,100,100
1651.0,35.0,65.62,100,100
1660.0,21.0,65.62,100,100
1668.0,27.0,65.62,100,100
1680.0,36.0,64.84,100,100
1691.0,70.0,64.84,100,100
1703.0,17.0,64.84,100,100
1723.0,14.0,64.84,100,100
1758.0,33.0,64.06,100,100
1765.0,148.0,64.06,100,100
1782.0,32.0,64.06,100,100
1829.0,80.0,63.28,100,100
1849.0,55.0,63.28,100,100
1873.0,54.0,62.5,100,100
1880.0,147.0,62.5,100,100
1893.0,14.0,62.5,100,100
1921.0,103.0,61.72,100,100
1938.0,36.0,61.72,100,100
1945.0,27.0,61.72,100,100
1970.0,8.0,61.72,100,100
1982.0,73.0,60.94,100,100
1993.0,53.0,60.94,100,100
2011.0,9.0,60.94,100,100
2039.0,56.0,60.16,100,100
2055.0,74.0,60.16,100,100
2076.0,14.0,60.16,100,100
2107.0,84.0,59.38,100,100
2128.0,50.0,59.38,100,100
2140.0,17.0,59.38,100,100
2169.0,42.0,58.59,100,100
2183.0,76.0,58.59,100,100
2197.0,114.0,57.81,100,100
2202.0,109.0,57.81,100,100
2223.0,25.0,57.81,100,100
2231.0,44.0,57.03,100,100
2255.0,22.0,57.03,100,100
2270.0,14.0,57.03,100,100
2307.0,58.0,56.25,100,100
2325.0,59.0,56.25,100,100
2341.0,13.0,56.25,100,100
2355.0,80.0,55.47,100,100
2380.0,23.0,55.47,100,100
2391.0,130.0,54.69,100,100
2407.0,62.0,54.69,100,100
2427.0,12.0,54.69,100,100
2459.0,58.0,53.91,100,100
2473.0,74.0,53.91,100,100
2498.0,106.0,53.12,100,100
2508.0,101.0,53.12,100,100
2528.0,14.0,53.12,100,100
2539.0,91.0,52.34,100,100
