Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
3.0,19.0,100,100,100
215.0,13.0,100,100,100
259.0,10.0,100,100,100
262.0,14.0,100,100,100
345.0,61.0,100.0,100,100
397.0,145.0,100.0,100,100
443.0,228.0,100.0,100,100
470.0,123.0,100.0,100,100
494.0,113.0,100.0,100,100
516.0,91.0,100.0,100,100
541.0,128.0,100.0,100,100
563.0,172.0,100.0,100,100
586.0,142.0,100.0,100,100
611.0,136.0,100.0,100,100
633.0,158.0,100.0,100,100
660.0,117.0,100.0,100,100
682.0,96.0,100.0,100,100
701.0,133.0,100.0,100,100
724.0,107.0,100.0,100,100
748.0,105.0,100.0,100,100
