Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
2.0,60.0,100,100,100
198.0,12.0,100,100,100
210.0,32.0,100,100,100
347.0,16.0,100,100,100
462.0,14.0,100,100,100
507.0,15.0,100,100,100
579.0,15.0,100,100,100
645.0,13.0,100,100,100
683.0,13.0,100,100,100
745.0,15.0,100,100,100
802.0,17.0,100,100,100
835.0,18.0,100,100,100
901.0,19.0,100,100,100
947.0,18.0,100,100,100
995.0,19.0,100,100,100
1031.0,20.0,100,100,100
1114.0,21.0,100,100,100
1147.0,152.0,100,100,100
1211.0,157.0,100,100,100
1255.0,4.0,100,100,100
1258.0,155.0,100,100,100
1302.0,139.0,100,100,100
1347.0,5.0,100,100,100
1350.0,145.0,100,100,100
1405.0,4.0,100,100,100
1407.0,162.0,100,100,100
1447.0,135.0,100,100,100
1516.0,145.0,100,100,100
1561.0,7.0,100,100,100
1564.0,18.0,100,100,100
1607.0,145.0,100,100,100
1669.0,23.0,100,100,100
1708.0,6.0,100,100,100
1710.0,86.0,100,100,100
1763.0,5.0,100,100,100
1766.0,147.0,100,100,100
1816.0,4.0,100,100,100
1820.0,143.0,100,100,100
1851.0,6.0,100,100,100
1853.0,24.0,100,100,100
