Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0,0,100,100,100
3.0,15.0,100,100,100
204.0,34.0,100.0,12.5,100
257.0,12.0,100.0,25.0,100
411.0,26.0,100.0,25.0,100
448.0,43.0,100.0,25.0,100
468.0,11.0,100.0,25.0,100
489.0,51.0,100.0,25.0,100
518.0,69.0,100.0,25.0,100
538.0,9.0,100.0,25.0,100
569.0,75.0,100.0,25.0,100
606.0,74.0,100.0,25.0,100
640.0,79.0,100.0,25.0,100
672.0,75.0,100.0,25.0,100
696.0,11.0,100.0,25.0,100
722.0,45.0,100.0,25.0,100
743.0,41.0,100.0,25.0,100
764.0,41.0,100.0,25.0,100
787.0,71.0,100.0,25.0,100
819.0,58.0,100.0,25.0,100
