Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
3.0,26.0,100,100,100
212.0,34.0,100,100,100
301.0,20.0,100,100,100
429.0,120.0,100,100,100
464.0,33.0,100,100,100
506.0,25.0,100,100,100
564.0,29.0,100,100,100
609.0,28.0,100,100,100
639.0,130.0,100,100,100
692.0,34.0,100,100,100
716.0,39.0,100,100,100
753.0,35.0,100,100,100
804.0,33.0,100,100,100
844.0,184.0,100,100,100
864.0,34.0,100,100,100
912.0,182.0,100,100,100
960.0,33.0,100,100,100
996.0,36.0,100,100,100
1045.0,42.0,100,100,100
1107.0,41.0,100,100,100
1146.0,116.0,100,100,100
1202.0,35.0,100,100,100
1250.0,37.0,100,100,100
1286.0,41.0,100,100,100
1342.0,43.0,100,100,100
1386.0,44.0,100,100,100
1438.0,214.0,100,100,100
1493.0,41.0,100,100,100
1525.0,37.0,100,100,100
1576.0,38.0,100,100,100
1635.0,38.0,100,100,100
1695.0,53.0,100,100,100
