Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
3.0,35.0,100,100,100
208.0,6.0,100,25.0,100
221.0,29.0,100,37.5,100
340.0,14.0,100,37.5,100
473.0,13.0,100,37.5,100
512.0,12.0,100,37.5,100
561.0,7.0,100,25.0,100
608.0,8.0,100,25.0,100
640.0,8.0,100,25.0,100
695.0,6.0,100,25.0,100
745.0,8.0,100,25.0,100
772.0,7.0,100,25.0,100
821.0,8.0,100,25.0,100
870.0,8.0,100,25.0,100
903.0,6.0,100,25.0,100
938.0,7.0,100,25.0,100
1017.0,8.0,100,25.0,100
1059.0,7.0,100,25.0,100
1102.0,5.0,100,25.0,100
1189.0,7.0,100,25.0,100
1233.0,8.0,100,25.0,100
1289.0,7.0,100,25.0,100
1355.0,7.0,100,25.0,100
1382.0,8.0,100,25.0,100
1430.0,8.0,100,25.0,100
1487.0,6.0,100,25.0,100
1518.0,6.0,100,25.0,100
1574.0,5.0,100,25.0,100
1636.0,6.0,100,25.0,100
1667.0,8.0,100,25.0,100
1726.0,7.0,100,25.0,100
1767.0,7.0,100,25.0,100
