Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
3.0,28.0,100,100,100
202.0,21.0,100,100,100
215.0,32.0,100,100,100
333.0,21.0,100,100,100
451.0,22.0,100,100,100
502.0,25.0,100,100,100
555.0,24.0,100,100,100
630.0,22.0,95.31,100,100
678.0,33.0,95.31,100,100
714.0,92.0,95.31,100,100
763.0,20.0,95.31,100,100
808.0,36.0,95.31,100,100
844.0,22.0,95.31,100,100
890.0,38.0,95.31,100,100
941.0,24.0,95.31,100,100
976.0,40.0,95.31,100,100
1038.0,38.0,95.31,100,100
1100.0,23.0,95.31,100,100
1153.0,29.0,95.31,100,100
1192.0,44.0,95.31,100,100
1261.0,21.0,95.31,100,100
1302.0,127.0,95.31,100,100
1358.0,48.0,95.31,100,100
1421.0,143.0,95.31,100,100
1464.0,48.0,95.31,100,100
1522.0,27.0,95.31,100,100
1578.0,43.0,95.31,100,100
1619.0,46.0,95.31,100,100
1675.0,173.0,95.31,100,100
1725.0,25.0,95.31,100,100
1766.0,26.0,95.31,100,100
1826.0,45.0,95.31,100,100
1880.0,71.0,95.31,100,100
