Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
3.0,31.0,100,100,100
200.0,8.0,100,25.0,100
212.0,34.0,100.0,25.0,100
316.0,36.0,100.0,25.0,100
446.0,24.0,100.0,37.5,100
509.0,9.0,100.0,50.0,100
561.0,70.0,100.0,50.0,100
629.0,17.0,100.0,37.5,100
687.0,48.0,100.0,37.5,100
734.0,42.0,100.0,37.5,100
781.0,43.0,100.0,37.5,100
821.0,38.0,100.0,37.5,100
889.0,22.0,100.0,37.5,100
952.0,39.0,100.0,37.5,100
988.0,14.0,100.0,37.5,100
1064.0,147.0,100.0,37.5,100
1132.0,67.0,100.0,50.0,100
1174.0,208.0,100.0,37.5,100
1246.0,30.0,100.0,37.5,100
1294.0,15.0,100.0,37.5,100
1367.0,60.0,100.0,37.5,100
1433.0,24.0,100.0,25.0,100
1466.0,0.0,100.0,25.0,100
1545.0,22.0,100.0,37.5,100
1588.0,7.0,100.0,25.0,100
1653.0,28.0,100.0,37.5,100
1705.0,93.0,100.0,37.5,100
1752.0,24.0,100.0,37.5,100
1816.0,178.0,100.0,25.0,100
1878.0,10.0,100.0,25.0,100
