Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
304.0,43.0,100,100,0
519.0,23.0,100,100,0
573.0,114.0,100,100,0
600.0,83.0,100,100,0
658.0,117.0,100,100,0
717.0,31.0,100,100,0
754.0,25.0,100,100,0
774.0,32.0,100,100,0
802.0,57.0,100,100,0
815.0,62.0,100,100,0
830.0,52.0,100,100,0
855.0,60.0,100,100,0
889.0,51.0,100,100,0
918.0,55.0,100,100,0
938.0,60.0,100,100,0
958.0,62.0,100,100,0
976.0,66.0,100,100,0
997.0,65.0,100,100,0
1016.0,60.0,100,100,0
1036.0,64.0,100,100,0
1058.0,63.0,100,100,0
1079.0,68.0,100,100,0
1103.0,61.0,100,100,0
1127.0,66.0,100,100,0
1157.0,68.0,100,100,0
1188.0,63.0,100,100,0
1216.0,66.0,100,100,0
1245.0,61.0,100,100,0
1268.0,63.0,100,100,0
1297.0,53.0,100,100,0
1336.0,59.0,100,100,0
1377.0,70.0,100,100,0
1417.0,57.0,100,100,0
1459.0,66.0,100,100,0
1502.0,55.0,100,100,0
1536.0,61.0,100,100,0
1556.0,52.0,100,100,0
1576.0,47.0,100,100,0
1601.0,61.0,100,100,0
1627.0,47.0,100,100,0
1647.0,56.0,100,100,0
1669.0,54.0,100,100,0
1691.0,53.0,100,100,0
1713.0,56.0,100,100,0
1737.0,55.0,100,100,0
1767.0,63.0,100,100,0
1787.0,52.0,100,100,0
1806.0,55.0,100,100,0
1826.0,52.0,100,100,0
1848.0,54.0,100,100,0
1874.0,49.0,100,100,0
1901.0,51.0,100,100,0
1925.0,55.0,100,100,0
1954.0,49.0,100,100,0
1984.0,48.0,100,100,0
2020.0,49.0,100,100,0
2054.0,61.0,100,100,0
2085.0,65.0,100,100,0
2123.0,65.0,100,100,0
2155.0,55.0,100,100,0
2190.0,51.0,100,100,0
2221.0,65.0,100,100,0
2254.0,57.0,100,100,0
2287.0,55.0,100,100,0
2318.0,65.0,100,100,0
2342.0,59.0,100,100,0
2368.0,80.0,100,100,0
2392.0,76.0,100,100,0
2418.0,78.0,100,100,0
2446.0,77.0,100,100,0
2475.0,62.0,100,100,0
2502.0,52.0,100,100,0
2528.0,73.0,100,100,0
2555.0,65.0,100,100,0
2581.0,71.0,100,100,0
2609.0,50.0,100,100,0
2639.0,62.0,100,100,0
2667.0,48.0,100,100,0
2694.0,59.0,100,100,0
2720.0,83.0,100,100,0
2745.0,62.0,100,100,0
2769.0,64.0,100,100,0
2799.0,22.0,100,100,0
