Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,93.25
0.0,0.0,100,100,100
87.0,0.0,100,100,100
87.0,0.0,100,100,0.05
120.0,34.0,100,100.0,0.05
120.0,34.0,100,100.0,99.65
133.0,39.0,100,100.0,99.65
133.0,39.0,100,100.0,98.85
232.0,1.0,100,100.0,98.85
232.0,1.0,100,100.0,99.65
346.0,1.0,100,100.0,99.65
346.0,1.0,100,100.0,100.85
456.0,0.0,100,100.0,100.85
456.0,0.0,100,100.0,102.05
572.0,0.0,100,100.0,102.05
572.0,0.0,100,100.0,101.65
668.0,0.0,100,100.0,101.65
668.0,0.0,100,100.0,102.85
697.0,2.0,100,100.0,102.85
697.0,2.0,100,100.0,104.05
699.0,57.0,100,100.0,104.05
699.0,57.0,100,100.0,101.65
700.0,62.0,100,100.0,101.65
700.0,62.0,100,100.0,99.25
701.0,69.0,100,100.0,99.25
701.0,69.0,100,100.0,96.45
702.0,56.0,100,100.0,96.45
702.0,56.0,100,100.0,98.45
703.0,37.0,100,100.0,98.45
703.0,37.0,100,100.0,97.65
704.0,38.0,100,100.0,97.65
704.0,38.0,100,100.0,96.45
705.0,37.0,100,100.0,96.45
705.0,37.0,100,100.0,95.65
705.0,37.0,100,100.0,95.65
705.0,37.0,100,100.0,94.45
706.0,37.0,100,100.0,94.45
706.0,37.0,100,100.0,93.65
707.0,40.0,100,100.0,93.65
707.0,40.0,100,100.0,99.65
708.0,38.0,100,100.0,99.65
708.0,38.0,100,100.0,98.45
709.0,38.0,100,100.0,98.45
709.0,38.0,100,100.0,97.25
709.0,38.0,100,100.0,97.25
709.0,38.0,100,100.0,96.45
710.0,36.0,100,100.0,96.45
710.0,36.0,100,100.0,95.65
711.0,38.0,100,100.0,95.65
711.0,38.0,100,100.0,94.45
712.0,37.0,100,100.0,94.45
712.0,37.0,100,100.0,99.65
719.0,23.0,100.0,100.0,99.65
719.0,23.0,100.0,100.0,99.65
917.0,2.0,100.0,100.0,99.65
917.0,2.0,100.0,100.0,97.65
964.0,1.0,100.0,100.0,97.65
964.0,1.0,100.0,100.0,101.65
1033.0,1.0,100.0,100.0,101.65
1033.0,1.0,100.0,100.0,102.85
1076.0,2.0,100.0,100.0,102.85
1076.0,2.0,100.0,100.0,103.65
1470.0,0.0,100.0,100.0,103.65
1470.0,0.0,100.0,100.0,104.85
1486.0,8.0,100.0,100.0,104.85
1486.0,8.0,100.0,100.0,105.65
1519.0,15.0,100.0,100.0,105.65
1519.0,15.0,100.0,100.0,106.05
1534.0,40.0,100.0,100.0,106.05
1534.0,40.0,100.0,100.0,99.65
1551.0,30.0,100.0,100.0,99.65
