Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
77.0,0.0,100,100,0
106.0,15.0,100,100,0
117.0,14.0,100,100,0
165.0,3.0,100,100,0
295.0,1.0,100,100,0
383.0,0.0,100,100,0
470.0,0.0,100,100,0
559.0,0.0,100,100,0
594.0,1.0,100,100,0
595.0,78.0,100,100,0
596.0,70.0,100,100,0
597.0,69.0,100,100,0
598.0,70.0,100,100,0
599.0,43.0,100,100,0
600.0,44.0,100,100,0
600.0,42.0,100,100,0
601.0,42.0,100,100,0
602.0,43.0,100,100,0
603.0,42.0,100,100,0
603.0,42.0,100,100,0
604.0,41.0,100,100,0
605.0,42.0,100,100,0
605.0,42.0,100,100,0
606.0,42.0,100,100,0
607.0,41.0,100,100,0
610.0,75.0,100,100,0
784.0,0.0,100,100,0
825.0,1.0,100,100,0
888.0,1.0,100,100,0
931.0,2.0,100,100,0
1260.0,0.0,100,100,0
1274.0,11.0,100,100,0
1296.0,7.0,100,100,0
1300.0,56.0,100,100,0
1303.0,56.0,100,100,0
1320.0,10.0,100,100,0
1339.0,16.0,100,100,0
1353.0,11.0,100,100,0
1367.0,36.0,100,100,0
1380.0,16.0,100,100,0
1394.0,22.0,100,100,0
1428.0,12.0,100,100,0
1445.0,15.0,100,100,0
1462.0,26.0,100,100,0
1478.0,21.0,100,100,0
1499.0,17.0,100,100,0
1528.0,11.0,100,100,0
1544.0,20.0,100,100,0
1562.0,22.0,100,100,0
1584.0,15.0,100,100,0
1605.0,14.0,100,100,0
1635.0,159.0,100,100,0
1660.0,9.0,100,100,0
1679.0,26.0,100,100,0
1699.0,28.0,100,100,0
1727.0,31.0,100,100,0
1752.0,16.0,100,100,0
1772.0,28.0,100,100,0
1794.0,7.0,100,100,0
1811.0,9.0,100,100,0
1830.0,10.0,100,100,0
1848.0,34.0,100,100,0
1867.0,31.0,100,100,0
1885.0,44.0,100,100,0
1905.0,34.0,100,100,0
1913.0,98.0,100,100,0
1925.0,73.0,100,100,0
1945.0,34.0,100,100,0
1958.0,196.0,100,100,0
1970.0,20.0,100,100,0
1995.0,38.0,100,100,0
2019.0,35.0,100,100,0
2066.0,213.0,100,100,0
2085.0,76.0,100,100,0
2110.0,59.0,100,100,0
2151.0,175.0,100,100,0
2168.0,88.0,100,100,0
2219.0,125.0,100,100,0
2259.0,7.0,100,100,0
2278.0,38.0,100,100,0
2288.0,124.0,100,100,0
2308.0,12.0,100,100,0
2337.0,28.0,100,100,0
2359.0,27.0,100,100,0
2390.0,20.0,100,100,0
2428.0,20.0,100,100,0
2438.0,181.0,100,100,0
2479.0,7.0,100,100,0
2563.0,7.0,100,100,0
