Time,GC Util
0,0
0,0
21,0
21,0
43,15
43,15
58,10
58,10
71,14
71,14
300,0
300,0
412,0
412,0
530,0
530,0
623,0
623,0
630,11
630,11
631,61
631,61
632,62
632,62
633,67
633,67
634,49
634,49
635,50
635,50
636,38
636,38
637,37
637,37
638,38
638,38
638,37
638,37
639,37
639,37
640,37
640,37
641,39
641,39
642,38
642,38
642,37
642,37
645,65
645,65
822,0
822,0
858,1
858,1
920,1
920,1
1268,0
1268,0
1304,3
1304,3
1323,31
1323,31
1326,46
1326,46
1337,17
1337,17
1347,31
1347,31
1368,9
1368,9
1392,7
1392,7
1406,13
1406,13
1424,26
1424,26
1447,23
1447,23
1462,35
1462,35
1480,18
1480,18
1506,16
1506,16
1530,16
1530,16
1539,33
1539,33
1558,17
1558,17
1577,27
1577,27
1597,28
1597,28
1612,28
1612,28
1631,29
1631,29
1664,12
1664,12
1664,12
1698,17
1698,17
1725,20
1732,174
1732,174
1755,5
1755,5
1775,35
1775,35
1794,23
1794,23
1807,28
1807,28
1815,83
1815,83
1829,55
1829,55
1848,55
1848,55
1863,48
1863,48
1863,48
1881,54
1910,97
1910,97
1931,16
1931,16
1945,71
1945,71
1945,71
1970,38
1970,38
1997,44
2011,134
2011,134
2043,11
2043,11
2074,43
2074,43
2074,43
2103,48
2121,98
2121,98
2151,6
2151,6
2196,20
2196,20
2196,20
2255,12
2270,129
2270,129
2322,5
2322,5
2402,7
