Time,GC Util,heapSize,numThreads,GCInterval
0.0,7.0,100,100,0
78.0,0.0,100,100,0
95.0,0.0,100,100,0
115.0,22.0,100,100,0
234.0,7.0,100,100,0
336.0,1.0,100,100,0
351.0,1.0,100,100,0
360.0,5.0,100,100,0
388.0,7.0,100,100,0
414.0,3.0,100,100,0
451.0,2.0,100,100,0
491.0,1.0,100,100,0
526.0,1.0,100,100,0
585.0,2.0,100,100,0
637.0,1.0,100,100,0
670.0,1.0,100,100,0
678.0,73.0,100,100,0
701.0,26.0,100,100,0
715.0,6.0,100,100,0
738.0,11.0,100,100,0
776.0,22.0,100,100,0
832.0,14.0,100,100,0
888.0,9.0,100,100,0
906.0,3.0,100,100,0
922.0,8.0,100,100,0
947.0,9.0,100,100,0
968.0,5.0,100,100,0
994.0,5.0,100,100,0
1038.0,3.0,100,100,0
1066.0,2.0,100,100,0
1087.0,10.0,100,100,0
1113.0,4.0,100,100,0
1124.0,5.0,100,100,0
1147.0,106.0,100,100,0
1168.0,13.0,100,100,0
1193.0,4.0,100,100,0
1215.0,4.0,100,100,0
1228.0,18.0,100,100,0
1246.0,8.0,100,100,0
1256.0,6.0,100,100,0
1278.0,14.0,100,100,0
1303.0,4.0,100,100,0
1331.0,20.0,100,100,0
1349.0,6.0,100,100,0
1378.0,18.0,100,100,0
1403.0,3.0,100,100,0
1407.0,19.0,100,100,0
1444.0,107.0,100,100,0
1484.0,2.0,100,100,0
1510.0,2.0,100,100,0
1527.0,4.0,100,100,0
1550.0,5.0,100,100,0
1576.0,4.0,100,100,0
1593.0,4.0,100,100,0
1618.0,7.0,100,100,0
1648.0,18.0,100,100,0
1687.0,3.0,100,100,0
1698.0,2.0,100,100,0
1700.0,10.0,100,100,0
1719.0,123.0,100,100,0
1741.0,5.0,100,100,0
1766.0,5.0,100,100,0
1784.0,4.0,100,100,0
1802.0,6.0,100,100,0
1825.0,6.0,100,100,0
1863.0,20.0,100,100,0
1897.0,3.0,100,100,0
1926.0,10.0,100,100,0
