Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
38191.0,36.0,100.0,100.0,100
38191.0,36.0,100.0,100.0,100
68072.0,48.0,101.56,100.0,100
68072.0,48.0,101.56,100.0,100
68332.0,30.0,103.12,25.0,100
68332.0,30.0,103.12,25.0,100
70969.0,48.0,104.69,100.0,100
70969.0,48.0,104.69,100.0,100
71137.0,38.0,106.25,100.0,100
71137.0,38.0,106.25,100.0,100
71294.0,29.0,107.81,25.0,100
71294.0,29.0,107.81,25.0,100
71403.0,29.0,109.38,100.0,100
71403.0,29.0,109.38,100.0,100
71476.0,32.0,110.94,100.0,100
71476.0,32.0,110.94,100.0,100
71641.0,33.0,112.5,25.0,100
71641.0,33.0,112.5,25.0,100
71722.0,40.0,114.06,100.0,100
71722.0,40.0,114.06,100.0,100
71764.0,29.0,115.62,100.0,100
71764.0,29.0,115.62,100.0,100
71986.0,28.0,117.19,25.0,100
71986.0,28.0,117.19,25.0,100
72027.0,32.0,118.75,100.0,100
72027.0,32.0,118.75,100.0,100
72161.0,44.0,120.31,100.0,100
72161.0,44.0,120.31,100.0,100
72360.0,26.0,121.88,100.0,100
72360.0,26.0,121.88,100.0,100
72584.0,25.0,123.44,100.0,100
72584.0,25.0,123.44,100.0,100
72622.0,23.0,125.0,100.0,100
72622.0,23.0,125.0,100.0,100
72687.0,22.0,126.56,100.0,100
72687.0,22.0,126.56,100.0,100
72811.0,29.0,128.12,100.0,100
72811.0,29.0,128.12,100.0,100
72951.0,28.0,129.69,100.0,100
72951.0,28.0,129.69,100.0,100
73057.0,27.0,131.25,25.0,100
73057.0,27.0,131.25,25.0,100
73093.0,26.0,132.81,100.0,100
73093.0,26.0,132.81,100.0,100
73111.0,36.0,134.38,100.0,100
73111.0,36.0,134.38,100.0,100
73145.0,27.0,135.94,25.0,100
73145.0,27.0,135.94,25.0,100
73249.0,35.0,137.5,100.0,100
73249.0,35.0,137.5,100.0,100
73356.0,33.0,139.06,100.0,100
73356.0,33.0,139.06,100.0,100
73376.0,37.0,140.62,100.0,100
73376.0,37.0,140.62,100.0,100
73410.0,26.0,142.19,100.0,100
73410.0,26.0,142.19,100.0,100
73598.0,32.0,143.75,100.0,100
73598.0,32.0,143.75,100.0,100
74305.0,39.0,145.31,100.0,100
74305.0,39.0,145.31,100.0,100
74341.0,50.0,146.88,100.0,100
74341.0,50.0,146.88,100.0,100
74579.0,30.0,148.44,100.0,100
74579.0,30.0,148.44,100.0,100
74637.0,25.0,150.0,100.0,100
74637.0,25.0,150.0,100.0,100
74720.0,32.0,151.56,100.0,100
74720.0,32.0,151.56,100.0,100
74846.0,34.0,153.12,100.0,100
74846.0,34.0,153.12,100.0,100
75051.0,37.0,154.69,100.0,100
75051.0,37.0,154.69,100.0,100
75182.0,31.0,156.25,100.0,100
75182.0,31.0,156.25,100.0,100
75386.0,32.0,157.81,100.0,100
75386.0,32.0,157.81,100.0,100
75415.0,29.0,159.38,25.0,100
75415.0,29.0,159.38,25.0,100
75445.0,28.0,160.94,100.0,100
75445.0,28.0,160.94,100.0,100
75509.0,29.0,162.5,100.0,100
75509.0,29.0,162.5,100.0,100
75538.0,27.0,164.06,25.0,100
75538.0,27.0,164.06,25.0,100
75605.0,33.0,165.62,25.0,100
75605.0,33.0,165.62,25.0,100
75628.0,31.0,167.19,100.0,100
75628.0,31.0,167.19,100.0,100
75691.0,31.0,168.75,25.0,100
75691.0,31.0,168.75,25.0,100
75736.0,34.0,170.31,100.0,100
75736.0,34.0,170.31,100.0,100
75757.0,27.0,171.88,100.0,100
75757.0,27.0,171.88,100.0,100
75863.0,39.0,173.44,100.0,100
75863.0,39.0,173.44,100.0,100
76039.0,34.0,175.0,100.0,100
76039.0,34.0,175.0,100.0,100
76123.0,31.0,176.56,100.0,100
76123.0,31.0,176.56,100.0,100
76155.0,28.0,178.12,25.0,100
76155.0,28.0,178.12,25.0,100
76215.0,29.0,179.69,100.0,100
76215.0,29.0,179.69,100.0,100
76233.0,38.0,181.25,100.0,100
76233.0,38.0,181.25,100.0,100
76450.0,32.0,182.81,25.0,100
76450.0,32.0,182.81,25.0,100
76470.0,30.0,184.38,100.0,100
76470.0,30.0,184.38,100.0,100
76609.0,34.0,185.94,100.0,100
76609.0,34.0,185.94,100.0,100
76646.0,26.0,187.5,100.0,100
76646.0,26.0,187.5,100.0,100
76729.0,28.0,189.06,100.0,100
76729.0,28.0,189.06,100.0,100
76755.0,28.0,190.62,100.0,100
76755.0,28.0,190.62,100.0,100
76985.0,33.0,192.19,25.0,100
76985.0,33.0,192.19,25.0,100
77070.0,27.0,193.75,100.0,100
77070.0,27.0,193.75,100.0,100
77297.0,30.0,195.31,100.0,100
77297.0,30.0,195.31,100.0,100
77573.0,36.0,196.88,100.0,100
77573.0,36.0,196.88,100.0,100
77730.0,23.0,198.44,100.0,100
77730.0,23.0,198.44,100.0,100
77812.0,16.0,200.0,100.0,100
77812.0,16.0,200.0,100.0,100
77878.0,14.0,201.56,100.0,100
77878.0,14.0,201.56,100.0,100
77938.0,11.0,203.12,100.0,100
77938.0,11.0,203.12,100.0,100
77992.0,10.0,204.69,100.0,100
77992.0,10.0,204.69,100.0,100
78044.0,9.0,206.25,100.0,100
78044.0,9.0,206.25,100.0,100
78096.0,8.0,207.81,100.0,100
78096.0,8.0,207.81,100.0,100
78150.0,7.0,209.38,100.0,100
78150.0,7.0,209.38,100.0,100
78205.0,6.0,210.94,100.0,100
78205.0,6.0,210.94,100.0,100
78281.0,11.0,212.5,100.0,100
78281.0,11.0,212.5,100.0,100
78361.0,10.0,214.06,100.0,100
78361.0,10.0,214.06,100.0,100
78420.0,5.0,215.62,100.0,100
78420.0,5.0,215.62,100.0,100
78447.0,20.0,217.19,100.0,100
78447.0,20.0,217.19,100.0,100
78475.0,20.0,218.75,100.0,100
78475.0,20.0,218.75,100.0,100
78503.0,19.0,220.31,100.0,100
78503.0,19.0,220.31,100.0,100
78530.0,19.0,221.88,100.0,100
78530.0,19.0,221.88,100.0,100
78557.0,18.0,223.44,100.0,100
78557.0,18.0,223.44,100.0,100
78584.0,17.0,225.0,100.0,100
78584.0,17.0,225.0,100.0,100
78611.0,17.0,226.56,100.0,100
78611.0,17.0,226.56,100.0,100
78639.0,17.0,228.12,100.0,100
78639.0,17.0,228.12,100.0,100
78671.0,12.0,229.69,100.0,100
78671.0,12.0,229.69,100.0,100
78699.0,17.0,231.25,100.0,100
78699.0,17.0,231.25,100.0,100
78778.0,3.0,232.81,100.0,100
78778.0,3.0,232.81,100.0,100
78806.0,16.0,234.38,100.0,100
78806.0,16.0,234.38,100.0,100
78833.0,15.0,235.94,100.0,100
78833.0,15.0,235.94,100.0,100
78862.0,15.0,237.5,100.0,100
78862.0,15.0,237.5,100.0,100
78890.0,15.0,239.06,100.0,100
78890.0,15.0,239.06,100.0,100
78918.0,14.0,240.62,100.0,100
78918.0,14.0,240.62,100.0,100
78947.0,14.0,242.19,100.0,100
78947.0,14.0,242.19,100.0,100
78976.0,15.0,243.75,100.0,100
78976.0,15.0,243.75,100.0,100
79006.0,14.0,245.31,100.0,100
79006.0,14.0,245.31,100.0,100
79035.0,14.0,246.88,100.0,100
79035.0,14.0,246.88,100.0,100
79065.0,14.0,248.44,100.0,100
79065.0,14.0,248.44,100.0,100
79095.0,14.0,250.0,100.0,100
79095.0,14.0,250.0,100.0,100
79125.0,16.0,251.56,100.0,100
79125.0,16.0,251.56,100.0,100
79238.0,6.0,253.12,100.0,100
79238.0,6.0,253.12,100.0,100
79283.0,15.0,254.69,100.0,100
79283.0,15.0,254.69,100.0,100
79332.0,13.0,256.25,100.0,100
79332.0,13.0,256.25,100.0,100
79380.0,12.0,257.81,100.0,100
79380.0,12.0,257.81,100.0,100
79421.0,14.0,259.38,100.0,100
79421.0,14.0,259.38,100.0,100
79537.0,2.0,260.94,100.0,100
79537.0,2.0,260.94,100.0,100
79573.0,14.0,262.5,100.0,100
79573.0,14.0,262.5,100.0,100
79616.0,10.0,264.06,100.0,100
79616.0,10.0,264.06,100.0,100
79651.0,11.0,265.62,100.0,100
79651.0,11.0,265.62,100.0,100
79854.0,4.0,267.19,100.0,100
79854.0,4.0,267.19,100.0,100
80035.0,2.0,268.75,100.0,100
80035.0,2.0,268.75,100.0,100
80174.0,2.0,270.31,100.0,100
80174.0,2.0,270.31,100.0,100
80330.0,2.0,271.88,100.0,100
80330.0,2.0,271.88,100.0,100
80405.0,14.0,273.44,100.0,100
80405.0,14.0,273.44,100.0,100
80482.0,14.0,275.0,100.0,100
80482.0,14.0,275.0,100.0,100
81744.0,2.0,276.56,100.0,100
81744.0,2.0,276.56,100.0,100
81777.0,14.0,278.12,100.0,100
81777.0,14.0,278.12,100.0,100
81813.0,22.0,279.69,100.0,100
81813.0,22.0,279.69,100.0,100
81844.0,12.0,281.25,100.0,100
81844.0,12.0,281.25,100.0,100
81874.0,11.0,282.81,100.0,100
81874.0,11.0,282.81,100.0,100
81904.0,12.0,284.38,100.0,100
81904.0,12.0,284.38,100.0,100
81935.0,11.0,285.94,100.0,100
81935.0,11.0,285.94,100.0,100
81965.0,11.0,287.5,100.0,100
81965.0,11.0,287.5,100.0,100
81996.0,14.0,289.06,100.0,100
81996.0,14.0,289.06,100.0,100
82026.0,11.0,290.62,100.0,100
82026.0,11.0,290.62,100.0,100
82057.0,16.0,292.19,100.0,100
82057.0,16.0,292.19,100.0,100
82087.0,11.0,293.75,100.0,100
82087.0,11.0,293.75,100.0,100
82118.0,11.0,295.31,100.0,100
82118.0,11.0,295.31,100.0,100
82149.0,15.0,296.88,100.0,100
82149.0,15.0,296.88,100.0,100
82179.0,12.0,298.44,100.0,100
82179.0,12.0,298.44,100.0,100
82209.0,12.0,300.0,100.0,100
82209.0,12.0,300.0,100.0,100
82241.0,16.0,301.56,100.0,100
82241.0,16.0,301.56,100.0,100
82273.0,15.0,303.12,100.0,100
82273.0,15.0,303.12,100.0,100
82305.0,13.0,304.69,100.0,100
82305.0,13.0,304.69,100.0,100
82336.0,11.0,306.25,100.0,100
82336.0,11.0,306.25,100.0,100
82366.0,11.0,307.81,100.0,100
82366.0,11.0,307.81,100.0,100
82397.0,11.0,309.38,100.0,100
82397.0,11.0,309.38,100.0,100
82430.0,15.0,310.94,100.0,100
82430.0,15.0,310.94,100.0,100
82461.0,12.0,312.5,100.0,100
82461.0,12.0,312.5,100.0,100
82492.0,11.0,314.06,100.0,100
82492.0,11.0,314.06,100.0,100
82523.0,11.0,315.62,100.0,100
82523.0,11.0,315.62,100.0,100
82555.0,15.0,317.19,100.0,100
82555.0,15.0,317.19,100.0,100
82585.0,11.0,318.75,100.0,100
82585.0,11.0,318.75,100.0,100
82616.0,11.0,320.31,100.0,100
82616.0,11.0,320.31,100.0,100
82646.0,11.0,321.88,100.0,100
82646.0,11.0,321.88,100.0,100
82676.0,11.0,323.44,100.0,100
82676.0,11.0,323.44,100.0,100
82707.0,11.0,325.0,100.0,100
82707.0,11.0,325.0,100.0,100
82737.0,11.0,326.56,100.0,100
82737.0,11.0,326.56,100.0,100
82768.0,17.0,328.12,100.0,100
82768.0,17.0,328.12,100.0,100
82799.0,16.0,329.69,100.0,100
82799.0,16.0,329.69,100.0,100
82829.0,11.0,331.25,100.0,100
82829.0,11.0,331.25,100.0,100
82859.0,11.0,332.81,100.0,100
82859.0,11.0,332.81,100.0,100
82889.0,11.0,334.38,100.0,100
