Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
347.0,32.0,100.0,100.0,100
347.0,32.0,100.0,100.0,100
574.0,28.0,102.34,100.0,100
574.0,28.0,102.34,100.0,100
629.0,29.0,104.69,100.0,100
629.0,29.0,104.69,100.0,100
722.0,21.0,107.03,100.0,100
722.0,21.0,107.03,100.0,100
765.0,33.0,109.38,100.0,100
765.0,33.0,109.38,100.0,100
790.0,79.0,111.72,100.0,100
790.0,79.0,111.72,100.0,100
811.0,106.0,114.06,100.0,100
811.0,106.0,114.06,100.0,100
830.0,106.0,116.41,100.0,100
830.0,106.0,116.41,100.0,100
845.0,103.0,118.75,100.0,100
845.0,103.0,118.75,100.0,100
857.0,33.0,121.09,100.0,100
857.0,33.0,121.09,100.0,100
873.0,90.0,123.44,100.0,100
873.0,90.0,123.44,100.0,100
889.0,95.0,125.78,100.0,100
889.0,95.0,125.78,100.0,100
904.0,88.0,128.12,100.0,100
904.0,88.0,128.12,100.0,100
915.0,31.0,130.47,100.0,100
915.0,31.0,130.47,100.0,100
937.0,81.0,132.81,100.0,100
937.0,81.0,132.81,100.0,100
957.0,90.0,135.16,100.0,100
957.0,90.0,135.16,100.0,100
977.0,79.0,137.5,100.0,100
977.0,79.0,137.5,100.0,100
997.0,99.0,139.84,100.0,100
997.0,99.0,139.84,100.0,100
1015.0,105.0,142.19,100.0,100
1015.0,105.0,142.19,100.0,100
1033.0,89.0,144.53,100.0,100
1033.0,89.0,144.53,100.0,100
1056.0,50.0,146.88,100.0,100
1056.0,50.0,146.88,100.0,100
1076.0,23.0,149.22,100.0,100
1076.0,23.0,149.22,100.0,100
1106.0,51.0,151.56,100.0,100
1106.0,51.0,151.56,100.0,100
1122.0,79.0,153.91,100.0,100
1122.0,79.0,153.91,100.0,100
1141.0,55.0,156.25,100.0,100
1141.0,55.0,156.25,100.0,100
1160.0,87.0,158.59,100.0,100
1160.0,87.0,158.59,100.0,100
1177.0,84.0,160.94,100.0,100
1177.0,84.0,160.94,100.0,100
1190.0,93.0,163.28,100.0,100
1190.0,93.0,163.28,100.0,100
1203.0,96.0,165.62,100.0,100
1203.0,96.0,165.62,100.0,100
1218.0,81.0,167.97,100.0,100
1218.0,81.0,167.97,100.0,100
1235.0,104.0,170.31,100.0,100
1235.0,104.0,170.31,100.0,100
1251.0,96.0,172.66,100.0,100
1251.0,96.0,172.66,100.0,100
1265.0,97.0,175.0,100.0,100
1265.0,97.0,175.0,100.0,100
1281.0,102.0,177.34,100.0,100
1281.0,102.0,177.34,100.0,100
1299.0,84.0,179.69,100.0,100
1299.0,84.0,179.69,100.0,100
1315.0,77.0,182.03,100.0,100
1315.0,77.0,182.03,100.0,100
1333.0,102.0,184.38,100.0,100
1333.0,102.0,184.38,100.0,100
1358.0,58.0,186.72,100.0,100
1358.0,58.0,186.72,100.0,100
1377.0,103.0,189.06,100.0,100
1377.0,103.0,189.06,100.0,100
1396.0,101.0,191.41,100.0,100
1396.0,101.0,191.41,100.0,100
1417.0,97.0,193.75,100.0,100
1417.0,97.0,193.75,100.0,100
1440.0,82.0,196.09,100.0,100
1440.0,82.0,196.09,100.0,100
1459.0,96.0,198.44,100.0,100
1459.0,96.0,198.44,100.0,100
1490.0,83.0,200.78,100.0,100
1490.0,83.0,200.78,100.0,100
1509.0,95.0,203.12,100.0,100
1509.0,95.0,203.12,100.0,100
1531.0,101.0,205.47,100.0,100
1531.0,101.0,205.47,100.0,100
1550.0,98.0,207.81,100.0,100
1550.0,98.0,207.81,100.0,100
1568.0,84.0,210.16,100.0,100
1568.0,84.0,210.16,100.0,100
1589.0,93.0,212.5,100.0,100
1589.0,93.0,212.5,100.0,100
1609.0,86.0,214.84,100.0,100
1609.0,86.0,214.84,100.0,100
1631.0,80.0,217.19,100.0,100
1631.0,80.0,217.19,100.0,100
1650.0,82.0,219.53,100.0,100
1650.0,82.0,219.53,100.0,100
1673.0,85.0,221.88,100.0,100
1673.0,85.0,221.88,100.0,100
1690.0,99.0,224.22,100.0,100
1690.0,99.0,224.22,100.0,100
1709.0,91.0,226.56,100.0,100
1709.0,91.0,226.56,100.0,100
1730.0,110.0,228.91,100.0,100
1730.0,110.0,228.91,100.0,100
1748.0,106.0,231.25,100.0,100
1748.0,106.0,231.25,100.0,100
1772.0,102.0,233.59,100.0,100
1772.0,102.0,233.59,100.0,100
1796.0,82.0,235.94,100.0,100
1796.0,82.0,235.94,100.0,100
1813.0,28.0,238.28,100.0,100
1813.0,28.0,238.28,100.0,100
1836.0,102.0,240.62,100.0,100
1836.0,102.0,240.62,100.0,100
1869.0,31.0,242.97,100.0,100
1869.0,31.0,242.97,100.0,100
1912.0,95.0,245.31,100.0,100
1912.0,95.0,245.31,100.0,100
1950.0,84.0,247.66,100.0,100
1950.0,84.0,247.66,100.0,100
1994.0,88.0,250.0,100.0,100
1994.0,88.0,250.0,100.0,100
2038.0,80.0,252.34,100.0,100
2038.0,80.0,252.34,100.0,100
2061.0,90.0,254.69,100.0,100
2061.0,90.0,254.69,100.0,100
2092.0,82.0,257.03,100.0,100
2092.0,82.0,257.03,100.0,100
2114.0,74.0,259.38,100.0,100
2114.0,74.0,259.38,100.0,100
2139.0,76.0,261.72,100.0,100
2139.0,76.0,261.72,100.0,100
2164.0,95.0,264.06,100.0,100
2164.0,95.0,264.06,100.0,100
2185.0,82.0,266.41,100.0,100
2185.0,82.0,266.41,100.0,100
2206.0,89.0,268.75,100.0,100
2206.0,89.0,268.75,100.0,100
2223.0,92.0,271.09,100.0,100
2223.0,92.0,271.09,100.0,100
2243.0,87.0,273.44,100.0,100
2243.0,87.0,273.44,100.0,100
2267.0,80.0,275.78,100.0,100
2267.0,80.0,275.78,100.0,100
2285.0,98.0,278.12,100.0,100
2285.0,98.0,278.12,100.0,100
2303.0,97.0,280.47,100.0,100
2303.0,97.0,280.47,100.0,100
2321.0,76.0,282.81,100.0,100
2321.0,76.0,282.81,100.0,100
2336.0,27.0,285.16,100.0,100
2336.0,27.0,285.16,100.0,100
2358.0,92.0,287.5,100.0,100
2358.0,92.0,287.5,100.0,100
2385.0,57.0,289.84,100.0,100
2385.0,57.0,289.84,100.0,100
2402.0,91.0,292.19,100.0,100
2402.0,91.0,292.19,100.0,100
2418.0,86.0,294.53,100.0,100
2418.0,86.0,294.53,100.0,100
2444.0,75.0,296.88,100.0,100
2444.0,75.0,296.88,100.0,100
2470.0,81.0,299.22,100.0,100
2470.0,81.0,299.22,100.0,100
2493.0,87.0,301.56,100.0,100
2493.0,87.0,301.56,100.0,100
2514.0,29.0,303.91,100.0,100
2514.0,29.0,303.91,100.0,100
2538.0,95.0,306.25,100.0,100
2538.0,95.0,306.25,100.0,100
2562.0,98.0,308.59,100.0,100
2562.0,98.0,308.59,100.0,100
2587.0,104.0,310.94,100.0,100
2587.0,104.0,310.94,100.0,100
2609.0,29.0,313.28,100.0,100
2609.0,29.0,313.28,100.0,100
2634.0,84.0,315.62,100.0,100
2634.0,84.0,315.62,100.0,100
2656.0,84.0,317.97,100.0,100
2656.0,84.0,317.97,100.0,100
2676.0,29.0,320.31,100.0,100
2676.0,29.0,320.31,100.0,100
2696.0,28.0,322.66,100.0,100
2696.0,28.0,322.66,100.0,100
2719.0,83.0,325.0,100.0,100
2719.0,83.0,325.0,100.0,100
2742.0,81.0,327.34,100.0,100
2742.0,81.0,327.34,100.0,100
2764.0,23.0,329.69,25.0,100
2764.0,23.0,329.69,25.0,100
2788.0,134.0,332.03,100.0,100
2788.0,134.0,332.03,100.0,100
2813.0,88.0,334.38,100.0,100
2813.0,88.0,334.38,100.0,100
2834.0,93.0,336.72,100.0,100
2834.0,93.0,336.72,100.0,100
2855.0,85.0,339.06,100.0,100
2855.0,85.0,339.06,100.0,100
2874.0,21.0,341.41,100.0,100
2874.0,21.0,341.41,100.0,100
2895.0,85.0,343.75,100.0,100
2895.0,85.0,343.75,100.0,100
2916.0,100.0,346.09,100.0,100
2916.0,100.0,346.09,100.0,100
2940.0,89.0,348.44,100.0,100
2940.0,89.0,348.44,100.0,100
2961.0,89.0,350.78,100.0,100
2961.0,89.0,350.78,100.0,100
2983.0,23.0,353.12,100.0,100
2983.0,23.0,353.12,100.0,100
3006.0,27.0,355.47,100.0,100
3006.0,27.0,355.47,100.0,100
3034.0,93.0,357.81,100.0,100
3034.0,93.0,357.81,100.0,100
3059.0,86.0,360.16,100.0,100
3059.0,86.0,360.16,100.0,100
3081.0,21.0,362.5,100.0,100
3081.0,21.0,362.5,100.0,100
3105.0,78.0,364.84,100.0,100
3105.0,78.0,364.84,100.0,100
3133.0,74.0,367.19,100.0,100
3133.0,74.0,367.19,100.0,100
3152.0,98.0,369.53,100.0,100
3152.0,98.0,369.53,100.0,100
3171.0,99.0,371.88,100.0,100
3171.0,99.0,371.88,100.0,100
3187.0,31.0,374.22,100.0,100
3187.0,31.0,374.22,100.0,100
3206.0,108.0,376.56,100.0,100
3206.0,108.0,376.56,100.0,100
3226.0,99.0,378.91,100.0,100
3226.0,99.0,378.91,100.0,100
3241.0,30.0,381.25,100.0,100
3241.0,30.0,381.25,100.0,100
3261.0,71.0,383.59,100.0,100
3261.0,71.0,383.59,100.0,100
3279.0,100.0,385.94,100.0,100
3279.0,100.0,385.94,100.0,100
3296.0,91.0,388.28,100.0,100
3296.0,91.0,388.28,100.0,100
3315.0,72.0,390.62,100.0,100
3315.0,72.0,390.62,100.0,100
3333.0,29.0,392.97,100.0,100
3333.0,29.0,392.97,100.0,100
3354.0,89.0,395.31,100.0,100
3354.0,89.0,395.31,100.0,100
3372.0,29.0,397.66,100.0,100
3372.0,29.0,397.66,100.0,100
3393.0,102.0,400.0,100.0,100
3393.0,102.0,400.0,100.0,100
3412.0,30.0,402.34,100.0,100
3412.0,30.0,402.34,100.0,100
3430.0,28.0,404.69,100.0,100
3430.0,28.0,404.69,100.0,100
3453.0,69.0,407.03,100.0,100
3453.0,69.0,407.03,100.0,100
3476.0,88.0,409.38,100.0,100
3476.0,88.0,409.38,100.0,100
3498.0,76.0,411.72,100.0,100
3498.0,76.0,411.72,100.0,100
3517.0,21.0,414.06,100.0,100
3517.0,21.0,414.06,100.0,100
3539.0,78.0,416.41,100.0,100
3539.0,78.0,416.41,100.0,100
3559.0,26.0,418.75,100.0,100
3559.0,26.0,418.75,100.0,100
3582.0,90.0,421.09,100.0,100
3582.0,90.0,421.09,100.0,100
3604.0,69.0,423.44,100.0,100
3604.0,69.0,423.44,100.0,100
3627.0,84.0,425.78,100.0,100
3627.0,84.0,425.78,100.0,100
3652.0,97.0,428.12,100.0,100
3652.0,97.0,428.12,100.0,100
3677.0,97.0,430.47,100.0,100
3677.0,97.0,430.47,100.0,100
3703.0,78.0,432.81,100.0,100
3703.0,78.0,432.81,100.0,100
3725.0,76.0,435.16,100.0,100
3725.0,76.0,435.16,100.0,100
3748.0,95.0,437.5,100.0,100
3748.0,95.0,437.5,100.0,100
3770.0,79.0,439.84,100.0,100
3770.0,79.0,439.84,100.0,100
3800.0,86.0,442.19,100.0,100
3800.0,86.0,442.19,100.0,100
