Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
460.0,32.0,100.0,100.0,100
460.0,32.0,100.0,100.0,100
690.0,27.0,102.34,100.0,100
690.0,27.0,102.34,100.0,100
900.0,23.0,104.69,25.0,100
900.0,23.0,104.69,25.0,100
1000.0,21.0,107.03,100.0,100
1000.0,21.0,107.03,100.0,100
1094.0,19.0,109.38,100.0,100
1094.0,19.0,109.38,100.0,100
1165.0,38.0,111.72,100.0,100
1165.0,38.0,111.72,100.0,100
1252.0,77.0,114.06,100.0,100
1252.0,77.0,114.06,100.0,100
1318.0,73.0,116.41,100.0,100
1318.0,73.0,116.41,100.0,100
1395.0,26.0,118.75,100.0,100
1395.0,26.0,118.75,100.0,100
1479.0,24.0,121.09,100.0,100
1479.0,24.0,121.09,100.0,100
1573.0,24.0,123.44,100.0,100
1573.0,24.0,123.44,100.0,100
1678.0,70.0,125.78,100.0,100
1678.0,70.0,125.78,100.0,100
1779.0,24.0,128.12,100.0,100
1779.0,24.0,128.12,100.0,100
1861.0,75.0,130.47,100.0,100
1861.0,75.0,130.47,100.0,100
1953.0,117.0,132.81,100.0,100
1953.0,117.0,132.81,100.0,100
2040.0,22.0,135.16,100.0,100
2040.0,22.0,135.16,100.0,100
2133.0,74.0,137.5,100.0,100
2133.0,74.0,137.5,100.0,100
2227.0,23.0,139.84,25.0,100
2227.0,23.0,139.84,25.0,100
2305.0,22.0,142.19,100.0,100
2305.0,22.0,142.19,100.0,100
2386.0,81.0,144.53,100.0,100
2386.0,81.0,144.53,100.0,100
2460.0,68.0,146.88,100.0,100
2460.0,68.0,146.88,100.0,100
2541.0,71.0,149.22,100.0,100
2541.0,71.0,149.22,100.0,100
2622.0,79.0,151.56,100.0,100
2622.0,79.0,151.56,100.0,100
2725.0,23.0,153.91,25.0,100
2725.0,23.0,153.91,25.0,100
2831.0,23.0,156.25,100.0,100
2831.0,23.0,156.25,100.0,100
2929.0,53.0,158.59,100.0,100
2929.0,53.0,158.59,100.0,100
3023.0,30.0,160.94,100.0,100
3023.0,30.0,160.94,100.0,100
3128.0,25.0,163.28,100.0,100
3128.0,25.0,163.28,100.0,100
3249.0,86.0,165.62,100.0,100
3249.0,86.0,165.62,100.0,100
3368.0,29.0,167.97,100.0,100
3368.0,29.0,167.97,100.0,100
3477.0,80.0,170.31,100.0,100
3477.0,80.0,170.31,100.0,100
3602.0,87.0,172.66,100.0,100
3602.0,87.0,172.66,100.0,100
3708.0,28.0,175.0,100.0,100
3708.0,28.0,175.0,100.0,100
3823.0,24.0,177.34,100.0,100
3823.0,24.0,177.34,100.0,100
3944.0,106.0,179.69,100.0,100
3944.0,106.0,179.69,100.0,100
4077.0,72.0,182.03,100.0,100
4077.0,72.0,182.03,100.0,100
4188.0,84.0,184.38,100.0,100
4188.0,84.0,184.38,100.0,100
4299.0,85.0,186.72,100.0,100
4299.0,85.0,186.72,100.0,100
4418.0,84.0,189.06,100.0,100
4418.0,84.0,189.06,100.0,100
4521.0,79.0,191.41,100.0,100
4521.0,79.0,191.41,100.0,100
4628.0,25.0,193.75,100.0,100
4628.0,25.0,193.75,100.0,100
4742.0,76.0,196.09,100.0,100
4742.0,76.0,196.09,100.0,100
4864.0,76.0,198.44,100.0,100
4864.0,76.0,198.44,100.0,100
4997.0,70.0,200.78,100.0,100
4997.0,70.0,200.78,100.0,100
5111.0,27.0,203.12,100.0,100
5111.0,27.0,203.12,100.0,100
5230.0,90.0,205.47,100.0,100
5230.0,90.0,205.47,100.0,100
5360.0,74.0,207.81,100.0,100
5360.0,74.0,207.81,100.0,100
5494.0,85.0,210.16,100.0,100
5494.0,85.0,210.16,100.0,100
5615.0,25.0,212.5,100.0,100
5615.0,25.0,212.5,100.0,100
5739.0,92.0,214.84,100.0,100
5739.0,92.0,214.84,100.0,100
5861.0,85.0,217.19,100.0,100
5861.0,85.0,217.19,100.0,100
5977.0,85.0,219.53,100.0,100
5977.0,85.0,219.53,100.0,100
6114.0,92.0,221.88,100.0,100
6114.0,92.0,221.88,100.0,100
6245.0,89.0,224.22,100.0,100
6245.0,89.0,224.22,100.0,100
6369.0,87.0,226.56,100.0,100
6369.0,87.0,226.56,100.0,100
6508.0,88.0,228.91,100.0,100
6508.0,88.0,228.91,100.0,100
6637.0,78.0,231.25,100.0,100
6637.0,78.0,231.25,100.0,100
6768.0,92.0,233.59,100.0,100
6768.0,92.0,233.59,100.0,100
6901.0,26.0,235.94,100.0,100
6901.0,26.0,235.94,100.0,100
7041.0,90.0,238.28,100.0,100
7041.0,90.0,238.28,100.0,100
7189.0,88.0,240.62,100.0,100
7189.0,88.0,240.62,100.0,100
7337.0,88.0,242.97,100.0,100
7337.0,88.0,242.97,100.0,100
7472.0,27.0,245.31,100.0,100
7472.0,27.0,245.31,100.0,100
7611.0,28.0,247.66,100.0,100
7611.0,28.0,247.66,100.0,100
7766.0,87.0,250.0,100.0,100
7766.0,87.0,250.0,100.0,100
7921.0,85.0,252.34,100.0,100
7921.0,85.0,252.34,100.0,100
8086.0,86.0,254.69,100.0,100
8086.0,86.0,254.69,100.0,100
8246.0,88.0,257.03,100.0,100
8246.0,88.0,257.03,100.0,100
8408.0,95.0,259.38,100.0,100
8408.0,95.0,259.38,100.0,100
8567.0,100.0,261.72,100.0,100
8567.0,100.0,261.72,100.0,100
8721.0,89.0,264.06,100.0,100
8721.0,89.0,264.06,100.0,100
8872.0,91.0,266.41,100.0,100
8872.0,91.0,266.41,100.0,100
9030.0,106.0,268.75,100.0,100
9030.0,106.0,268.75,100.0,100
9194.0,27.0,271.09,100.0,100
9194.0,27.0,271.09,100.0,100
9362.0,85.0,273.44,100.0,100
9362.0,85.0,273.44,100.0,100
9523.0,88.0,275.78,100.0,100
9523.0,88.0,275.78,100.0,100
