Time,GC Util
0,0
0,0
316,14
316,14
449,16
449,16
611,75
611,75
712,151
838,49
916,81
916,81
1017,85
1017,85
1198,24
1198,24
1281,23
1281,23
1304,18
1304,18
1322,21
1322,21
1342,20
1342,20
1360,22
1360,22
1381,21
1381,21
1399,22
1399,22
1418,23
1418,23
1443,20
1443,20
1466,25
1466,25
1491,24
1491,24
1514,27
1514,27
1539,26
1539,26
1563,26
1563,26
1586,28
1586,28
1608,32
1608,32
1624,31
1624,31
1642,27
1642,27
1660,28
1660,28
1677,30
1677,30
1696,28
1696,28
1714,30
1714,30
1734,31
1734,31
1753,34
1753,34
1773,31
1773,31
1792,30
1792,30
1813,30
1813,30
1834,34
1834,34
1853,35
1853,35
1872,32
1872,32
1892,32
1892,32
1912,33
1912,33
1932,32
1932,32
1951,35
1951,35
1971,36
1971,36
1990,33
1990,33
2009,33
2009,33
2029,32
2029,32
2050,36
2050,36
2071,33
2071,33
2094,32
2094,32
2118,36
2118,36
2142,38
2142,38
2167,39
2167,39
2192,34
2192,34
2217,35
2217,35
2242,36
2242,36
2267,37
2267,37
2297,35
2297,35
2322,46
2322,46
2350,54
2350,54
2376,60
2376,60
2402,40
2402,40
2427,37
2427,37
2453,44
2453,44
2484,44
2484,44
2510,41
2510,41
2540,44
2540,44
2570,51
2570,51
2607,67
2607,67
2660,86
2660,86
2716,60
2716,60
2783,90
2783,90
2853,71
2853,71
2938,70
2938,70
3013,29
3013,29
3044,31
3044,31
3071,72
3071,72
3098,56
3098,56
3131,85
3131,85
3172,99
3172,99
3214,67
3214,67
3255,94
3255,94
3294,86
3294,86
3330,66
3330,66
3366,73
3366,73
3404,81
3404,81
3442,71
3442,71
3478,73
3478,73
3506,62
3506,62
3534,82
3534,82
3564,100
3564,100
3593,71
3593,71
3623,87
3623,87
3653,58
3653,58
3682,69
3682,69
3718,64
3718,64
3751,60
3751,60
3786,76
3786,76
3821,74
3821,74
3856,89
3856,89
3891,75
3891,75
3928,102
3928,102
3964,98
3964,98
4000,98
4000,98
4041,62
4041,62
4087,87
4087,87
4134,74
4134,74
4182,62
4182,62
4249,63
4249,63
4299,85
4299,85
4343,74
4343,74
4389,61
4389,61
4431,85
4431,85
4474,90
4474,90
4515,74
4515,74
4552,98
4552,98
4589,72
4589,72
4623,73
4623,73
4652,82
4652,82
4681,82
4681,82
4716,87
4716,87
4749,81
4749,81
4782,71
4782,71
4815,80
4815,80
4850,83
4850,83
4884,71
4884,71
4919,91
4919,91
4952,72
4952,72
4984,81
4984,81
5016,65
5016,65
5045,79
5045,79
5078,68
5078,68
5109,93
5109,93
5141,64
5141,64
5170,70
5170,70
5199,88
5199,88
5230,69
5230,69
5261,52
5261,52
5292,67
5292,67
5324,48
5324,48
5352,51
5352,51
5380,63
5380,63
5411,50
5411,50
5443,64
5443,64
5468,67
5468,67
5492,56
5492,56
5519,63
5519,63
5551,53
5551,53
5587,81
5587,81
5628,54
5628,54
5669,68
5669,68
5712,86
5712,86
5762,86
5762,86
5808,68
5808,68
5857,72
5857,72
5907,77
5907,77
5956,72
5956,72
6005,77
6005,77
6050,72
6050,72
6094,64
6094,64
6140,56
6140,56
6192,15
6192,15
6244,69
6244,69
6292,81
6292,81
6336,79
6336,79
6381,82
6381,82
6425,75
6425,75
6468,77
6468,77
6510,73
6510,73
6553,74
