Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,101.25
0.0,0.0,100,100,100
98.0,0.0,100,100,100
98.0,0.0,100,100,0.05
161.0,17.0,100,100.0,0.05
161.0,17.0,100,100.0,100.85
177.0,34.0,100,25.0,100.85
177.0,34.0,100,25.0,99.65
625.0,0.0,100,100.0,99.65
625.0,0.0,100,100.0,101.25
6353.0,0.0,100,100.0,101.25
6353.0,0.0,100,100.0,103.25
13441.0,0.0,100,100.0,103.25
13441.0,0.0,100,100.0,104.85
20007.0,0.0,100,100.0,104.85
20007.0,0.0,100,100.0,102.45
25267.0,0.0,100,100.0,102.45
25267.0,0.0,100,100.0,104.05
25307.0,2.0,100,100.0,104.05
25307.0,2.0,100,100.0,105.65
25308.0,54.0,100,100.0,105.65
25308.0,54.0,100,100.0,102.85
25310.0,61.0,100,100.0,102.85
25310.0,61.0,100,100.0,99.25
25311.0,61.0,100,100.0,99.25
25311.0,61.0,100,100.0,95.65
25313.0,58.0,100,100.0,95.65
25313.0,58.0,100,100.0,97.25
25314.0,37.0,100,100.0,97.25
25314.0,37.0,100,100.0,95.65
25315.0,37.0,100,100.0,95.65
25315.0,37.0,100,100.0,94.05
25316.0,36.0,100,100.0,94.05
25316.0,36.0,100,100.0,92.85
25317.0,34.0,100,100.0,92.85
25317.0,34.0,100,100.0,91.65
25319.0,34.0,100,100.0,91.65
25319.0,34.0,100,100.0,90.45
25320.0,36.0,100,100.0,90.45
25320.0,36.0,100,100.0,99.25
25321.0,36.0,100,100.0,99.25
25321.0,36.0,100,100.0,97.65
25322.0,33.0,100,100.0,97.65
25322.0,33.0,100,100.0,96.45
25323.0,34.0,100,100.0,96.45
25323.0,34.0,100,100.0,95.25
25324.0,38.0,100,100.0,95.25
25324.0,38.0,100,100.0,93.65
25325.0,34.0,100,100.0,93.65
25325.0,34.0,100,100.0,92.45
25326.0,35.0,100,100.0,92.45
25326.0,35.0,100,100.0,99.25
25328.0,34.0,100,100.0,99.25
25328.0,34.0,100,100.0,98.05
25329.0,36.0,100,100.0,98.05
25329.0,36.0,100,100.0,96.45
25330.0,37.0,100,100.0,96.45
25330.0,37.0,100,100.0,95.25
25331.0,43.0,100,100.0,95.25
25331.0,43.0,100,100.0,93.25
25332.0,37.0,100,100.0,93.25
25332.0,37.0,100,100.0,91.65
25333.0,36.0,100,100.0,91.65
25333.0,36.0,100,100.0,99.25
25334.0,36.0,100,100.0,99.25
25334.0,36.0,100,100.0,97.65
25336.0,32.0,100,100.0,97.65
25336.0,32.0,100,100.0,96.85
25337.0,33.0,100,100.0,96.85
25337.0,33.0,100,100.0,95.65
25338.0,35.0,100,100.0,95.65
25338.0,35.0,100,100.0,94.05
25339.0,35.0,100,100.0,94.05
25339.0,35.0,100,100.0,92.85
25340.0,35.0,100,100.0,92.85
25340.0,35.0,100,100.0,99.25
25342.0,35.0,100,100.0,99.25
25342.0,35.0,100,100.0,98.05
25343.0,33.0,100,100.0,98.05
25343.0,33.0,100,100.0,96.85
25344.0,32.0,100,100.0,96.85
25344.0,32.0,100,100.0,95.65
25346.0,33.0,100,100.0,95.65
25346.0,33.0,100,100.0,94.45
25347.0,30.0,100,100.0,94.45
25347.0,30.0,100,100.0,93.65
25348.0,34.0,100,100.0,93.65
25348.0,34.0,100,100.0,99.25
25350.0,34.0,100,100.0,99.25
25350.0,34.0,100,100.0,98.05
25351.0,29.0,100,100.0,98.05
25351.0,29.0,100,100.0,97.25
25352.0,34.0,100,100.0,97.25
25352.0,34.0,100,100.0,96.05
25354.0,32.0,100,100.0,96.05
25354.0,32.0,100,100.0,94.85
25355.0,34.0,100,100.0,94.85
25355.0,34.0,100,100.0,93.65
25356.0,34.0,100,100.0,93.65
25356.0,34.0,100,100.0,99.25
25358.0,31.0,100,100.0,99.25
25358.0,31.0,100,100.0,98.45
25359.0,33.0,100,100.0,98.45
25359.0,33.0,100,100.0,97.25
25360.0,32.0,100,100.0,97.25
25360.0,32.0,100,100.0,96.05
25362.0,35.0,100,100.0,96.05
25362.0,35.0,100,100.0,94.85
25363.0,31.0,100,100.0,94.85
25363.0,31.0,100,100.0,94.05
25364.0,31.0,100,25.0,94.05
25364.0,31.0,100,25.0,99.65
25366.0,30.0,100,100.0,99.65
25366.0,30.0,100,100.0,98.85
25367.0,35.0,100,100.0,98.85
25367.0,35.0,100,100.0,97.25
25368.0,35.0,100,100.0,97.25
25368.0,35.0,100,100.0,96.05
25369.0,31.0,100,100.0,96.05
25369.0,31.0,100,100.0,95.25
25371.0,30.0,100,100.0,95.25
25371.0,30.0,100,100.0,94.05
25372.0,34.0,100,100.0,94.05
25372.0,34.0,100,100.0,99.25
25373.0,29.0,100,100.0,99.25
25373.0,29.0,100,100.0,98.45
25375.0,36.0,100,100.0,98.45
25375.0,36.0,100,100.0,97.25
25376.0,31.0,100,100.0,97.25
25376.0,31.0,100,100.0,96.05
25377.0,38.0,100,100.0,96.05
25377.0,38.0,100,100.0,94.45
25378.0,41.0,100,100.0,94.45
25378.0,41.0,100,100.0,92.85
25379.0,36.0,100,100.0,92.85
25379.0,36.0,100,100.0,99.25
25380.0,38.0,100,100.0,99.25
25380.0,38.0,100,100.0,97.65
