Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,102.45
0.0,0.0,100,100,100
126.0,0.0,100,100.0,100
126.0,0.0,100,100.0,101.65
155.0,28.0,100,100.0,101.65
155.0,28.0,100,100.0,101.25
174.0,8.0,100,100.0,101.25
174.0,8.0,100,100.0,102.05
242.0,2.0,100,100.0,102.05
242.0,2.0,100,100.0,102.85
372.0,1.0,100,100.0,102.85
372.0,1.0,100,100.0,104.05
459.0,1.0,100,100.0,104.05
459.0,1.0,100,100.0,101.65
484.0,6.0,100,100.0,101.65
484.0,6.0,100,100.0,102.45
493.0,18.0,100,100.0,102.45
493.0,18.0,100,100.0,102.45
521.0,3.0,100,100.0,102.45
521.0,3.0,100,100.0,103.65
532.0,3.0,100,100.0,103.65
532.0,3.0,100,100.0,104.45
545.0,3.0,100,100.0,104.45
545.0,3.0,100,100.0,105.65
558.0,25.0,100.0,100.0,105.65
558.0,25.0,100.0,100.0,105.65
573.0,53.0,100.0,100.0,105.65
573.0,53.0,100.0,100.0,96.45
611.0,2.0,100.0,100.0,96.45
611.0,2.0,100.0,100.0,97.25
655.0,3.0,100.0,100.0,97.25
655.0,3.0,100.0,100.0,101.65
670.0,8.0,100.0,100.0,101.65
670.0,8.0,100.0,100.0,102.45
692.0,5.0,100.0,100.0,102.45
692.0,5.0,100.0,100.0,103.25
708.0,4.0,100.0,100.0,103.25
708.0,4.0,100.0,100.0,104.05
724.0,18.0,100.0,100.0,104.05
724.0,18.0,100.0,100.0,104.05
731.0,41.0,100.0,100.0,104.05
731.0,41.0,100.0,100.0,102.85
757.0,9.0,100.0,100.0,102.85
757.0,9.0,100.0,100.0,101.25
806.0,2.0,100.0,100.0,101.25
806.0,2.0,100.0,100.0,102.45
842.0,4.0,100.0,100.0,102.45
842.0,4.0,100.0,100.0,103.25
861.0,24.0,114.06,100.0,103.25
861.0,24.0,114.06,100.0,103.25
873.0,80.0,114.06,100.0,103.25
873.0,80.0,114.06,100.0,93.65
906.0,1.0,114.06,100.0,93.65
906.0,1.0,114.06,100.0,94.85
930.0,15.0,114.06,100.0,94.85
930.0,15.0,114.06,100.0,100.85
939.0,29.0,114.06,100.0,100.85
939.0,29.0,114.06,100.0,100.45
952.0,10.0,114.06,100.0,100.45
952.0,10.0,114.06,100.0,100.85
970.0,17.0,118.75,100.0,100.85
970.0,17.0,118.75,100.0,100.85
976.0,123.0,118.75,100.0,100.85
976.0,123.0,118.75,100.0,93.25
982.0,13.0,118.75,100.0,93.25
982.0,13.0,118.75,100.0,93.65
996.0,5.0,118.75,100.0,93.65
996.0,5.0,118.75,100.0,101.65
1004.0,12.0,118.75,100.0,101.65
1004.0,12.0,118.75,100.0,102.05
1010.0,19.0,118.75,100.0,102.05
1010.0,19.0,118.75,100.0,102.05
1016.0,20.0,118.75,100.0,102.05
1016.0,20.0,118.75,100.0,102.05
1020.0,18.0,118.75,100.0,102.05
1020.0,18.0,118.75,100.0,102.05
1025.0,17.0,118.75,100.0,102.05
1025.0,17.0,118.75,100.0,102.45
1030.0,21.0,118.75,100.0,102.45
1030.0,21.0,118.75,100.0,100.45
1037.0,16.0,118.75,100.0,100.45
1037.0,16.0,118.75,100.0,100.85
1046.0,0.0,123.44,100.0,100.85
1046.0,0.0,123.44,100.0,100.85
1052.0,114.0,123.44,25.0,100.85
1052.0,114.0,123.44,25.0,88.05
1058.0,12.0,123.44,25.0,88.05
1058.0,12.0,123.44,25.0,88.45
1064.0,11.0,123.44,25.0,88.45
1064.0,11.0,123.44,25.0,88.85
1073.0,9.0,123.44,100.0,88.85
1073.0,9.0,123.44,100.0,101.25
1082.0,29.0,123.44,100.0,101.25
1082.0,29.0,123.44,100.0,100.85
1091.0,11.0,123.44,100.0,100.85
1091.0,11.0,123.44,100.0,101.25
1113.0,19.0,134.38,100.0,101.25
1113.0,19.0,134.38,100.0,101.25
1125.0,195.0,134.38,25.0,101.25
1125.0,195.0,134.38,25.0,85.25
1139.0,6.0,134.38,25.0,85.25
1139.0,6.0,134.38,25.0,86.05
1148.0,17.0,134.38,100.0,86.05
1148.0,17.0,134.38,100.0,100.85
1156.0,31.0,134.38,100.0,100.85
1156.0,31.0,134.38,100.0,100.05
1165.0,24.0,134.38,100.0,100.05
1165.0,24.0,134.38,100.0,100.05
1176.0,17.0,134.38,100.0,100.05
1176.0,17.0,134.38,100.0,100.05
1190.0,25.0,149.22,100.0,100.05
1190.0,25.0,149.22,100.0,100.05
1201.0,106.0,149.22,25.0,100.05
1201.0,106.0,149.22,25.0,88.45
1210.0,14.0,149.22,100.0,88.45
1210.0,14.0,149.22,100.0,100.85
1224.0,13.0,149.22,100.0,100.85
1224.0,13.0,149.22,100.0,101.25
1238.0,15.0,149.22,100.0,101.25
1238.0,15.0,149.22,100.0,101.65
