Time,GC Util
0,0
0,0
20,0
20,0
39,19
39,19
55,11
55,11
105,3
105,3
136,6
136,6
185,2
185,2
205,8
205,8
218,13
218,13
271,2
271,2
333,1
333,1
406,1
406,1
420,76
420,76
431,17
431,17
448,6
448,6
534,1
534,1
551,6
551,6
566,5
566,5
578,26
578,26
584,42
584,42
607,10
607,10
633,4
633,4
672,2
672,2
672,2
733,1
809,71
809,71
879,1
879,1
913,5
913,5
945,9
945,9
984,8
984,8
1036,6
1036,6
1078,1
1078,1
1127,1
1127,1
1171,1
1171,1
1232,4
1232,4
1287,5
1287,5
1326,8
1326,8
1337,17
1337,17
1347,14
1347,14
1352,22
1352,22
1356,19
1356,19
1363,19
1363,19
1367,22
1367,22
1375,40
1375,40
1383,11
1383,11
1390,11
1390,11
1397,14
1397,14
1397,14
1403,14
1403,14
1411,17
1416,121
1416,121
1422,38
1422,38
1433,32
1433,32
1444,27
1444,27
1456,31
1456,31
1464,24
1464,24
1478,13
1478,13
1487,24
1487,24
1497,42
1497,42
1508,34
1508,34
1520,32
1520,32
1535,34
1535,34
1546,20
1546,20
1561,23
1561,23
1570,46
1570,46
1570,46
1582,35
1582,35
1599,36
1603,147
1603,147
1619,7
1619,7
1634,19
1634,19
1648,15
1648,15
1667,17
1667,17
1681,19
1681,19
1695,23
1695,23
1707,25
1707,25
1720,50
1720,50
1731,32
1731,32
1742,29
1742,29
1756,33
1756,33
1771,24
1771,24
1785,25
1785,25
1798,33
1798,33
1812,31
1812,31
1827,34
1827,34
1842,23
1842,23
1858,32
1858,32
1872,29
1872,29
1886,29
1886,29
1900,28
1900,28
1914,33
1914,33
1914,33
1929,34
1929,34
1951,19
1956,156
1956,156
1969,9
1969,9
1984,30
1984,30
1999,16
1999,16
2016,28
2016,28
2034,29
2034,29
2054,26
2054,26
2079,23
2079,23
2104,22
2104,22
2126,21
2126,21
2149,23
2149,23
2172,16
2172,16
2196,15
2196,15
2219,21
2219,21
2238,23
2238,23
2265,22
2265,22
2288,23
2288,23
2288,23
2315,22
2315,22
2342,15
2346,161
2346,161
2368,6
2368,6
2395,23
2395,23
2436,12
2436,12
2478,12
2478,12
2524,11
2524,11
2558,16
2558,16
2587,17
2587,17
2614,17
2614,17
2643,15
2643,15
2682,7
2682,7
2710,15
2710,15
2737,12
2737,12
2767,10
2767,10
2796,16
2796,16
2824,14
2824,14
2853,21
2853,21
2853,21
2883,17
2883,17
2920,12
2923,180
2923,180
2953,4
2953,4
2995,9
2995,9
3025,19
3025,19
3054,10
3054,10
3093,11
3093,11
3132,15
3132,15
3165,13
3165,13
3197,9
3197,9
3230,16
3230,16
3267,11
3267,11
3304,11
3304,11
3338,11
3338,11
3370,8
3370,8
3403,9
3403,9
3441,9
3441,9
3478,11
3478,11
3478,11
3516,13
3516,13
3550,8
3555,147
3555,147
3580,5
3580,5
3607,16
3607,16
3639,13
3639,13
3668,23
3668,23
3695,14
3695,14
3725,15
3725,15
3754,13
3754,13
3785,17
3785,17
3814,15
3814,15
3847,16
3847,16
3890,12
3890,12
3932,13
3932,13
3975,12
3975,12
3975,12
4015,7
4015,7
4057,9
4065,210
4065,210
4102,6
4102,6
4138,13
4138,13
4173,10
4173,10
4207,16
4207,16
4239,14
4239,14
4270,14
4270,14
4301,16
4301,16
4338,14
4338,14
4374,14
4374,14
4410,11
4410,11
4450,11
4450,11
4487,12
4487,12
4524,14
4524,14
4567,12
4567,12
4608,13
4608,13
4645,11
4645,11
4689,10
4689,10
4732,12
4732,12
4769,14
4769,14
4799,13
4799,13
4831,17
4831,17
4861,15
4861,15
4893,15
4893,15
4926,16
4926,16
4959,19
4959,19
4992,14
4992,14
5027,17
5027,17
5055,18
5055,18
5089,17
5089,17
5120,17
5120,17
5146,19
5146,19
5171,21
5171,21
5198,21
5198,21
5224,14
5224,14
5252,14
5252,14
5281,16
5281,16
5311,10
5311,10
5344,15
5344,15
5344,15
5383,14
5383,14
5424,14
5424,14
5467,12
5467,12
5513,9
5513,9
5562,10
5562,10
5611,16
5618,192
5618,192
5655,4
5655,4
5690,13
5690,13
5721,14
5721,14
5754,13
5754,13
5792,15
5792,15
5835,12
5835,12
5876,10
5876,10
5915,14
5915,14
5949,13
5949,13
5985,14
5985,14
6019,13
6019,13
6052,12
6052,12
6084,13
6084,13
6116,13
