Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,103.25
0.0,0.0,100,100,100
77.0,0.0,100,100,100
77.0,0.0,100,100,0.05
131.0,21.0,100,100.0,0.05
131.0,21.0,100,100.0,100.45
144.0,42.0,100,100.0,100.45
144.0,42.0,100,100.0,99.25
330.0,0.0,100,100.0,99.25
330.0,0.0,100,100.0,100.45
374.0,4.0,100,100.0,100.45
374.0,4.0,100,100.0,101.25
392.0,4.0,100,100.0,101.25
392.0,4.0,100,100.0,102.45
414.0,3.0,100,100.0,102.45
414.0,3.0,100,100.0,101.65
439.0,3.0,100,100.0,101.65
439.0,3.0,100,100.0,102.45
471.0,1.0,100,100.0,102.45
471.0,1.0,100,100.0,103.65
501.0,2.0,100,100.0,103.65
501.0,2.0,100,100.0,104.85
543.0,1.0,100,100.0,104.85
543.0,1.0,100,100.0,105.65
567.0,3.0,100,100.0,105.65
567.0,3.0,100,100.0,106.85
625.0,1.0,100,100.0,106.85
625.0,1.0,100,100.0,101.65
679.0,2.0,100,100.0,101.65
679.0,2.0,100,100.0,102.85
719.0,65.0,100.0,100.0,102.85
719.0,65.0,100.0,100.0,102.85
735.0,39.0,100.0,100.0,102.85
735.0,39.0,100.0,100.0,99.65
761.0,24.0,100.0,100.0,99.65
761.0,24.0,100.0,100.0,99.25
767.0,16.0,100.0,100.0,99.25
767.0,16.0,100.0,100.0,99.65
800.0,16.0,100.0,100.0,99.65
800.0,16.0,100.0,100.0,99.65
834.0,15.0,100.0,25.0,99.65
834.0,15.0,100.0,25.0,100.05
897.0,1.0,100.0,100.0,100.05
897.0,1.0,100.0,100.0,101.25
953.0,10.0,100.0,100.0,101.25
953.0,10.0,100.0,100.0,101.25
977.0,6.0,100.0,100.0,101.25
977.0,6.0,100.0,100.0,102.05
1006.0,6.0,100.0,100.0,102.05
1006.0,6.0,100.0,100.0,102.85
1032.0,3.0,100.0,100.0,102.85
1032.0,3.0,100.0,100.0,103.65
1053.0,5.0,100.0,100.0,103.65
1053.0,5.0,100.0,100.0,104.45
1084.0,3.0,100.0,100.0,104.45
