Time,GC Util
0,0
0,0
23,0
23,0
44,15
44,15
84,4
84,4
198,1
198,1
295,1
295,1
312,4
312,4
322,8
322,8
335,7
335,7
352,5
352,5
379,2
379,2
407,3
407,3
443,2
443,2
474,3
474,3
529,1
529,1
575,3
575,3
596,62
596,62
607,21
607,21
623,29
623,29
632,46
632,46
648,12
648,12
661,15
661,15
695,4
695,4
715,9
715,9
743,7
743,7
748,36
748,36
789,13
789,13
826,6
826,6
855,17
855,17
896,3
896,3
948,2
948,2
948,2
1007,2
1013,65
1013,65
1065,3
1065,3
1106,2
1106,2
1135,5
1135,5
1167,4
1167,4
1190,8
1190,8
1207,10
1207,10
1222,12
1222,12
1241,9
1241,9
1241,9
1267,16
1272,115
1272,115
1293,5
1293,5
1314,8
1314,8
1333,6
1333,6
1356,15
1356,15
1376,8
1376,8
1398,20
1398,20
1425,4
1425,4
1425,4
1450,17
1450,17
1477,21
1482,128
1482,128
1515,7
1515,7
1538,4
1538,4
1565,6
1565,6
1589,3
1589,3
1623,3
1623,3
1642,6
1642,6
1670,3
1670,3
1702,3
1702,3
1720,7
1720,7
1752,5
1752,5
1752,5
1779,3
1779,3
1799,5
1803,124
1803,124
1836,6
1836,6
1866,3
1866,3
1885,6
1885,6
1913,4
1913,4
1944,3
1944,3
1962,5
1962,5
1990,3
1990,3
2013,4
2013,4
2034,5
2034,5
2063,3
2063,3
2063,3
2096,6
2114,129
2114,129
2141,7
2141,7
2167,22
2167,22
2189,6
2189,6
2220,4
2220,4
2243,23
2243,23
2271,4
2271,4
2293,4
2293,4
2324,4
2324,4
2345,6
2345,6
2373,5
2373,5
2403,3
2403,3
2421,6
2421,6
2451,5
2451,5
2481,3
2481,3
2505,6
2505,6
2530,4
2530,4
2560,5
2560,5
2583,6
2583,6
2623,9
2623,9
2647,8
2647,8
2683,2
2683,2
2710,4
2710,4
2726,6
2726,6
2758,3
2758,3
2782,5
2782,5
2814,6
2814,6
2853,2
2853,2
2876,4
2876,4
2915,3
2915,3
2944,7
2944,7
2964,10
2964,10
3011,2
3011,2
3031,5
3031,5
3068,3
3068,3
3093,4
3093,4
3114,9
3114,9
3150,4
3150,4
3178,22
3178,22
3219,12
3219,12
3253,3
3253,3
3285,18
3285,18
3318,3
3318,3
3354,4
3354,4
3388,2
3388,2
3425,2
3425,2
3460,3
3460,3
3492,12
3492,12
3540,5
3540,5
3562,4
3562,4
3609,2
3609,2
3637,3
3637,3
3676,2
3676,2
3717,2
3717,2
3756,3
3756,3
3790,5
3790,5
3827,2
3827,2
3864,2
3864,2
3914,2
3914,2
3941,8
3941,8
3986,1
3986,1
4016,2
4016,2
4056,2
4056,2
4090,2
4090,2
