Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
1481.0,31.0,100.0,100.0,100
1481.0,31.0,100.0,100.0,100
2168.0,43.0,101.56,100.0,100
2168.0,43.0,101.56,100.0,100
2431.0,26.0,103.12,100.0,100
2431.0,26.0,103.12,100.0,100
5326.0,25.0,104.69,100.0,100
5326.0,25.0,104.69,100.0,100
5492.0,24.0,106.25,100.0,100
5492.0,24.0,106.25,100.0,100
5642.0,26.0,107.81,100.0,100
5642.0,26.0,107.81,100.0,100
5746.0,26.0,109.38,100.0,100
5746.0,26.0,109.38,100.0,100
5813.0,31.0,110.94,100.0,100
5813.0,31.0,110.94,100.0,100
5892.0,31.0,112.5,100.0,100
5892.0,31.0,112.5,100.0,100
5964.0,36.0,114.06,25.0,100
5964.0,36.0,114.06,25.0,100
6004.0,29.0,115.62,100.0,100
6004.0,29.0,115.62,100.0,100
6095.0,27.0,117.19,25.0,100
6095.0,27.0,117.19,25.0,100
6132.0,34.0,118.75,100.0,100
6132.0,34.0,118.75,100.0,100
6173.0,50.0,120.31,100.0,100
6173.0,50.0,120.31,100.0,100
6258.0,24.0,121.88,100.0,100
6258.0,24.0,121.88,100.0,100
6327.0,22.0,123.44,100.0,100
6327.0,22.0,123.44,100.0,100
6361.0,21.0,125.0,100.0,100
6361.0,21.0,125.0,100.0,100
6404.0,21.0,126.56,100.0,100
6404.0,21.0,126.56,100.0,100
6474.0,28.0,128.12,100.0,100
6474.0,28.0,128.12,100.0,100
6526.0,29.0,129.69,100.0,100
6526.0,29.0,129.69,100.0,100
6578.0,30.0,131.25,100.0,100
6578.0,30.0,131.25,100.0,100
6617.0,26.0,132.81,100.0,100
6617.0,26.0,132.81,100.0,100
6635.0,35.0,134.38,100.0,100
6635.0,35.0,134.38,100.0,100
6668.0,27.0,135.94,25.0,100
6668.0,27.0,135.94,25.0,100
6709.0,32.0,137.5,100.0,100
6709.0,32.0,137.5,100.0,100
6709.0,32.0,137.5,100.0,100
6709.0,32.0,137.5,100.0,100
6764.0,28.0,139.06,100.0,100
6764.0,28.0,139.06,100.0,100
6764.0,28.0,139.06,100.0,100
6764.0,28.0,139.06,100.0,100
6786.0,33.0,140.62,100.0,100
6786.0,33.0,140.62,100.0,100
6786.0,33.0,140.62,100.0,100
6786.0,33.0,140.62,100.0,100
6821.0,22.0,142.19,100.0,100
6821.0,22.0,142.19,100.0,100
6884.0,33.0,143.75,100.0,100
6884.0,33.0,143.75,100.0,100
6884.0,33.0,143.75,100.0,100
6884.0,33.0,143.75,100.0,100
6992.0,27.0,145.31,100.0,100
6992.0,27.0,145.31,100.0,100
6992.0,27.0,145.31,100.0,100
6992.0,27.0,145.31,100.0,100
7021.0,33.0,146.88,25.0,100
7021.0,33.0,146.88,25.0,100
7090.0,29.0,148.44,25.0,100
7090.0,29.0,148.44,25.0,100
7090.0,29.0,148.44,25.0,100
7090.0,29.0,148.44,25.0,100
7131.0,28.0,150.0,100.0,100
7131.0,28.0,150.0,100.0,100
7131.0,28.0,150.0,100.0,100
7131.0,28.0,150.0,100.0,100
7174.0,28.0,151.56,100.0,100
7174.0,28.0,151.56,100.0,100
7237.0,33.0,153.12,100.0,100
7237.0,33.0,153.12,100.0,100
7237.0,33.0,153.12,100.0,100
7237.0,33.0,153.12,100.0,100
7289.0,30.0,154.69,100.0,100
7289.0,30.0,154.69,100.0,100
7289.0,30.0,154.69,100.0,100
7289.0,30.0,154.69,100.0,100
7331.0,115.0,156.25,100.0,100
7331.0,115.0,156.25,100.0,100
7331.0,115.0,156.25,100.0,100
7331.0,115.0,156.25,100.0,100
7390.0,29.0,157.81,100.0,100
7390.0,29.0,157.81,100.0,100
7390.0,29.0,157.81,100.0,100
7390.0,29.0,157.81,100.0,100
7418.0,29.0,159.38,25.0,100
7418.0,29.0,159.38,25.0,100
7418.0,29.0,159.38,25.0,100
7418.0,29.0,159.38,25.0,100
7440.0,25.0,160.94,100.0,100
7440.0,25.0,160.94,100.0,100
7440.0,25.0,160.94,100.0,100
7440.0,25.0,160.94,100.0,100
7482.0,30.0,162.5,100.0,100
7482.0,30.0,162.5,100.0,100
7482.0,30.0,162.5,100.0,100
7482.0,30.0,162.5,100.0,100
7508.0,26.0,164.06,100.0,100
7508.0,26.0,164.06,100.0,100
7508.0,26.0,164.06,100.0,100
7508.0,26.0,164.06,100.0,100
7544.0,33.0,165.62,100.0,100
7544.0,33.0,165.62,100.0,100
7544.0,33.0,165.62,100.0,100
7544.0,33.0,165.62,100.0,100
7567.0,29.0,167.19,100.0,100
7567.0,29.0,167.19,100.0,100
7567.0,29.0,167.19,100.0,100
7567.0,29.0,167.19,100.0,100
7611.0,31.0,168.75,25.0,100
7611.0,31.0,168.75,25.0,100
7611.0,31.0,168.75,25.0,100
7611.0,31.0,168.75,25.0,100
7644.0,32.0,170.31,100.0,100
7644.0,32.0,170.31,100.0,100
7644.0,32.0,170.31,100.0,100
7644.0,32.0,170.31,100.0,100
7669.0,28.0,171.88,100.0,100
7669.0,28.0,171.88,100.0,100
7669.0,28.0,171.88,100.0,100
7669.0,28.0,171.88,100.0,100
7696.0,26.0,173.44,100.0,100
7696.0,26.0,173.44,100.0,100
7696.0,26.0,173.44,100.0,100
7696.0,26.0,173.44,100.0,100
7739.0,31.0,175.0,100.0,100
7739.0,31.0,175.0,100.0,100
7739.0,31.0,175.0,100.0,100
7739.0,31.0,175.0,100.0,100
7778.0,31.0,176.56,100.0,100
7778.0,31.0,176.56,100.0,100
7778.0,31.0,176.56,100.0,100
7778.0,31.0,176.56,100.0,100
7813.0,28.0,178.12,25.0,100
7813.0,28.0,178.12,25.0,100
7813.0,28.0,178.12,25.0,100
7813.0,28.0,178.12,25.0,100
7854.0,29.0,179.69,100.0,100
7854.0,29.0,179.69,100.0,100
7854.0,29.0,179.69,100.0,100
7854.0,29.0,179.69,100.0,100
7875.0,36.0,181.25,100.0,100
7875.0,36.0,181.25,100.0,100
7929.0,33.0,182.81,100.0,100
7929.0,33.0,182.81,100.0,100
7929.0,33.0,182.81,100.0,100
7929.0,33.0,182.81,100.0,100
7960.0,31.0,184.38,100.0,100
7960.0,31.0,184.38,100.0,100
7960.0,31.0,184.38,100.0,100
7960.0,31.0,184.38,100.0,100
7993.0,34.0,185.94,100.0,100
7993.0,34.0,185.94,100.0,100
7993.0,34.0,185.94,100.0,100
7993.0,34.0,185.94,100.0,100
8036.0,25.0,187.5,100.0,100
8036.0,25.0,187.5,100.0,100
8036.0,25.0,187.5,100.0,100
8036.0,25.0,187.5,100.0,100
8081.0,30.0,189.06,25.0,100
8081.0,30.0,189.06,25.0,100
8081.0,30.0,189.06,25.0,100
8081.0,30.0,189.06,25.0,100
8109.0,30.0,190.62,100.0,100
8109.0,30.0,190.62,100.0,100
8158.0,34.0,192.19,100.0,100
8158.0,34.0,192.19,100.0,100
8158.0,34.0,192.19,100.0,100
8158.0,34.0,192.19,100.0,100
8258.0,27.0,193.75,100.0,100
8258.0,27.0,193.75,100.0,100
8413.0,26.0,195.31,100.0,100
8413.0,26.0,195.31,100.0,100
8413.0,26.0,195.31,100.0,100
8413.0,26.0,195.31,100.0,100
8665.0,26.0,196.88,100.0,100
8665.0,26.0,196.88,100.0,100
8665.0,26.0,196.88,100.0,100
8665.0,26.0,196.88,100.0,100
8781.0,21.0,198.44,100.0,100
8781.0,21.0,198.44,100.0,100
8781.0,21.0,198.44,100.0,100
8781.0,21.0,198.44,100.0,100
8903.0,16.0,200.0,100.0,100
8903.0,16.0,200.0,100.0,100
8903.0,16.0,200.0,100.0,100
8903.0,16.0,200.0,100.0,100
8967.0,14.0,201.56,100.0,100
8967.0,14.0,201.56,100.0,100
8967.0,14.0,201.56,100.0,100
8967.0,14.0,201.56,100.0,100
9022.0,11.0,203.12,100.0,100
9022.0,11.0,203.12,100.0,100
9022.0,11.0,203.12,100.0,100
9022.0,11.0,203.12,100.0,100
9071.0,9.0,204.69,100.0,100
9071.0,9.0,204.69,100.0,100
9071.0,9.0,204.69,100.0,100
9071.0,9.0,204.69,100.0,100
9120.0,8.0,206.25,100.0,100
9120.0,8.0,206.25,100.0,100
9120.0,8.0,206.25,100.0,100
9120.0,8.0,206.25,100.0,100
9170.0,7.0,207.81,100.0,100
9170.0,7.0,207.81,100.0,100
9170.0,7.0,207.81,100.0,100
9170.0,7.0,207.81,100.0,100
9223.0,8.0,209.38,100.0,100
9223.0,8.0,209.38,100.0,100
9223.0,8.0,209.38,100.0,100
9223.0,8.0,209.38,100.0,100
9279.0,6.0,210.94,100.0,100
9279.0,6.0,210.94,100.0,100
9279.0,6.0,210.94,100.0,100
9279.0,6.0,210.94,100.0,100
9360.0,11.0,212.5,100.0,100
9360.0,11.0,212.5,100.0,100
9360.0,11.0,212.5,100.0,100
9360.0,11.0,212.5,100.0,100
9440.0,10.0,214.06,100.0,100
9440.0,10.0,214.06,100.0,100
9440.0,10.0,214.06,100.0,100
9440.0,10.0,214.06,100.0,100
9502.0,5.0,215.62,100.0,100
9502.0,5.0,215.62,100.0,100
9502.0,5.0,215.62,100.0,100
9502.0,5.0,215.62,100.0,100
9531.0,18.0,217.19,100.0,100
9531.0,18.0,217.19,100.0,100
9531.0,18.0,217.19,100.0,100
9531.0,18.0,217.19,100.0,100
9560.0,18.0,218.75,100.0,100
9560.0,18.0,218.75,100.0,100
9560.0,18.0,218.75,100.0,100
9560.0,18.0,218.75,100.0,100
9590.0,17.0,220.31,100.0,100
9590.0,17.0,220.31,100.0,100
9590.0,17.0,220.31,100.0,100
9590.0,17.0,220.31,100.0,100
9620.0,17.0,221.88,100.0,100
9620.0,17.0,221.88,100.0,100
9620.0,17.0,221.88,100.0,100
9620.0,17.0,221.88,100.0,100
9650.0,17.0,223.44,100.0,100
9650.0,17.0,223.44,100.0,100
9650.0,17.0,223.44,100.0,100
9650.0,17.0,223.44,100.0,100
9680.0,16.0,225.0,100.0,100
9680.0,16.0,225.0,100.0,100
9680.0,16.0,225.0,100.0,100
9680.0,16.0,225.0,100.0,100
9710.0,15.0,226.56,100.0,100
9710.0,15.0,226.56,100.0,100
9710.0,15.0,226.56,100.0,100
9710.0,15.0,226.56,100.0,100
9746.0,24.0,228.12,100.0,100
9746.0,24.0,228.12,100.0,100
9746.0,24.0,228.12,100.0,100
9746.0,24.0,228.12,100.0,100
9786.0,10.0,229.69,100.0,100
9786.0,10.0,229.69,100.0,100
9786.0,10.0,229.69,100.0,100
9786.0,10.0,229.69,100.0,100
9823.0,23.0,231.25,100.0,100
9823.0,23.0,231.25,100.0,100
9823.0,23.0,231.25,100.0,100
9823.0,23.0,231.25,100.0,100
9910.0,4.0,232.81,100.0,100
9910.0,4.0,232.81,100.0,100
9910.0,4.0,232.81,100.0,100
9910.0,4.0,232.81,100.0,100
9946.0,22.0,234.38,100.0,100
9946.0,22.0,234.38,100.0,100
9946.0,22.0,234.38,100.0,100
9946.0,22.0,234.38,100.0,100
9983.0,18.0,235.94,100.0,100
9983.0,18.0,235.94,100.0,100
9983.0,18.0,235.94,100.0,100
9983.0,18.0,235.94,100.0,100
10021.0,22.0,237.5,100.0,100
10021.0,22.0,237.5,100.0,100
10021.0,22.0,237.5,100.0,100
10021.0,22.0,237.5,100.0,100
10057.0,15.0,239.06,100.0,100
10057.0,15.0,239.06,100.0,100
10057.0,15.0,239.06,100.0,100
10057.0,15.0,239.06,100.0,100
10089.0,14.0,240.62,100.0,100
