Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
383.0,27.0,100.0,100.0,100
383.0,27.0,100.0,100.0,100
412.0,44.0,101.56,100.0,100
412.0,44.0,101.56,100.0,100
588.0,53.0,103.12,100.0,100
588.0,53.0,103.12,100.0,100
700.0,72.0,104.69,100.0,100
700.0,72.0,104.69,100.0,100
725.0,45.0,106.25,100.0,100
725.0,45.0,106.25,100.0,100
822.0,25.0,107.81,25.0,100
822.0,25.0,107.81,25.0,100
854.0,34.0,109.38,100.0,100
854.0,34.0,109.38,100.0,100
871.0,73.0,110.94,100.0,100
871.0,73.0,110.94,100.0,100
889.0,77.0,112.5,100.0,100
889.0,77.0,112.5,100.0,100
910.0,71.0,114.06,100.0,100
910.0,71.0,114.06,100.0,100
926.0,30.0,115.62,100.0,100
926.0,30.0,115.62,100.0,100
948.0,31.0,117.19,100.0,100
948.0,31.0,117.19,100.0,100
968.0,41.0,118.75,100.0,100
968.0,41.0,118.75,100.0,100
984.0,21.0,120.31,100.0,100
984.0,21.0,120.31,100.0,100
993.0,28.0,121.88,25.0,100
993.0,28.0,121.88,25.0,100
1009.0,23.0,123.44,100.0,100
1009.0,23.0,123.44,100.0,100
1026.0,25.0,125.0,100.0,100
1026.0,25.0,125.0,100.0,100
1045.0,79.0,126.56,100.0,100
1045.0,79.0,126.56,100.0,100
1063.0,78.0,128.12,100.0,100
1063.0,78.0,128.12,100.0,100
1088.0,49.0,129.69,100.0,100
1088.0,49.0,129.69,100.0,100
1102.0,25.0,131.25,25.0,100
1102.0,25.0,131.25,25.0,100
1123.0,62.0,132.81,100.0,100
1123.0,62.0,132.81,100.0,100
1142.0,72.0,134.38,100.0,100
1142.0,72.0,134.38,100.0,100
1154.0,22.0,135.94,100.0,100
1154.0,22.0,135.94,100.0,100
1168.0,25.0,137.5,100.0,100
1168.0,25.0,137.5,100.0,100
1180.0,26.0,139.06,100.0,100
1180.0,26.0,139.06,100.0,100
1198.0,66.0,140.62,100.0,100
1198.0,66.0,140.62,100.0,100
1211.0,20.0,142.19,100.0,100
1211.0,20.0,142.19,100.0,100
1225.0,67.0,143.75,100.0,100
1225.0,67.0,143.75,100.0,100
1238.0,75.0,145.31,100.0,100
1238.0,75.0,145.31,100.0,100
1252.0,62.0,146.88,100.0,100
1252.0,62.0,146.88,100.0,100
1268.0,20.0,148.44,100.0,100
1268.0,20.0,148.44,100.0,100
1287.0,60.0,150.0,100.0,100
1287.0,60.0,150.0,100.0,100
1302.0,60.0,151.56,100.0,100
1302.0,60.0,151.56,100.0,100
1316.0,24.0,153.12,100.0,100
1316.0,24.0,153.12,100.0,100
1334.0,75.0,154.69,100.0,100
1334.0,75.0,154.69,100.0,100
1352.0,76.0,156.25,100.0,100
1352.0,76.0,156.25,100.0,100
1364.0,22.0,157.81,100.0,100
1364.0,22.0,157.81,100.0,100
1378.0,66.0,159.38,100.0,100
1378.0,66.0,159.38,100.0,100
1399.0,73.0,160.94,100.0,100
1399.0,73.0,160.94,100.0,100
1417.0,68.0,162.5,100.0,100
1417.0,68.0,162.5,100.0,100
1431.0,20.0,164.06,100.0,100
1431.0,20.0,164.06,100.0,100
1449.0,73.0,165.62,100.0,100
1449.0,73.0,165.62,100.0,100
1464.0,92.0,167.19,100.0,100
1464.0,92.0,167.19,100.0,100
1480.0,58.0,168.75,100.0,100
1480.0,58.0,168.75,100.0,100
1493.0,22.0,170.31,100.0,100
1493.0,22.0,170.31,100.0,100
1510.0,91.0,171.88,100.0,100
1510.0,91.0,171.88,100.0,100
1528.0,75.0,173.44,100.0,100
1528.0,75.0,173.44,100.0,100
1542.0,87.0,175.0,100.0,100
1542.0,87.0,175.0,100.0,100
1555.0,22.0,176.56,100.0,100
1555.0,22.0,176.56,100.0,100
1574.0,74.0,178.12,100.0,100
1574.0,74.0,178.12,100.0,100
1588.0,21.0,179.69,100.0,100
1588.0,21.0,179.69,100.0,100
1603.0,64.0,181.25,100.0,100
1603.0,64.0,181.25,100.0,100
1621.0,57.0,182.81,100.0,100
1621.0,57.0,182.81,100.0,100
1634.0,73.0,184.38,100.0,100
1634.0,73.0,184.38,100.0,100
1652.0,75.0,185.94,100.0,100
1652.0,75.0,185.94,100.0,100
1664.0,19.0,187.5,100.0,100
1664.0,19.0,187.5,100.0,100
1675.0,24.0,189.06,100.0,100
1675.0,24.0,189.06,100.0,100
1694.0,68.0,190.62,100.0,100
1694.0,68.0,190.62,100.0,100
1708.0,17.0,192.19,100.0,100
1708.0,17.0,192.19,100.0,100
1725.0,58.0,193.75,100.0,100
1725.0,58.0,193.75,100.0,100
1745.0,64.0,195.31,100.0,100
1745.0,64.0,195.31,100.0,100
1759.0,20.0,196.88,100.0,100
1759.0,20.0,196.88,100.0,100
1771.0,26.0,198.44,100.0,100
1771.0,26.0,198.44,100.0,100
1794.0,74.0,200.0,100.0,100
1794.0,74.0,200.0,100.0,100
1811.0,21.0,201.56,100.0,100
1811.0,21.0,201.56,100.0,100
1833.0,74.0,203.12,100.0,100
1833.0,74.0,203.12,100.0,100
1851.0,67.0,204.69,100.0,100
1851.0,67.0,204.69,100.0,100
1869.0,60.0,206.25,100.0,100
1869.0,60.0,206.25,100.0,100
1887.0,59.0,207.81,100.0,100
1887.0,59.0,207.81,100.0,100
1918.0,22.0,209.38,100.0,100
1918.0,22.0,209.38,100.0,100
1945.0,65.0,210.94,100.0,100
1945.0,65.0,210.94,100.0,100
1972.0,75.0,212.5,100.0,100
1972.0,75.0,212.5,100.0,100
1992.0,19.0,214.06,100.0,100
1992.0,19.0,214.06,100.0,100
2015.0,62.0,215.62,100.0,100
2015.0,62.0,215.62,100.0,100
2036.0,30.0,217.19,100.0,100
2036.0,30.0,217.19,100.0,100
2054.0,91.0,218.75,100.0,100
2054.0,91.0,218.75,100.0,100
2080.0,68.0,220.31,100.0,100
2080.0,68.0,220.31,100.0,100
2102.0,72.0,221.88,100.0,100
2102.0,72.0,221.88,100.0,100
2121.0,21.0,223.44,100.0,100
2121.0,21.0,223.44,100.0,100
2148.0,68.0,225.0,100.0,100
2148.0,68.0,225.0,100.0,100
2172.0,66.0,226.56,100.0,100
2172.0,66.0,226.56,100.0,100
2190.0,25.0,228.12,100.0,100
2190.0,25.0,228.12,100.0,100
2212.0,69.0,229.69,100.0,100
2212.0,69.0,229.69,100.0,100
2234.0,70.0,231.25,100.0,100
2234.0,70.0,231.25,100.0,100
2251.0,21.0,232.81,100.0,100
2251.0,21.0,232.81,100.0,100
2267.0,22.0,234.38,100.0,100
2267.0,22.0,234.38,100.0,100
2285.0,52.0,235.94,100.0,100
2285.0,52.0,235.94,100.0,100
2300.0,27.0,237.5,100.0,100
2300.0,27.0,237.5,100.0,100
2316.0,22.0,239.06,100.0,100
2316.0,22.0,239.06,100.0,100
2330.0,23.0,240.62,100.0,100
2330.0,23.0,240.62,100.0,100
2342.0,27.0,242.19,100.0,100
2342.0,27.0,242.19,100.0,100
2360.0,59.0,243.75,100.0,100
2360.0,59.0,243.75,100.0,100
2380.0,69.0,245.31,100.0,100
2380.0,69.0,245.31,100.0,100
2394.0,23.0,246.88,100.0,100
2394.0,23.0,246.88,100.0,100
2411.0,62.0,248.44,100.0,100
2411.0,62.0,248.44,100.0,100
2426.0,19.0,250.0,100.0,100
2426.0,19.0,250.0,100.0,100
2443.0,68.0,251.56,100.0,100
2443.0,68.0,251.56,100.0,100
2464.0,71.0,253.12,100.0,100
2464.0,71.0,253.12,100.0,100
2484.0,71.0,254.69,100.0,100
2484.0,71.0,254.69,100.0,100
2498.0,25.0,256.25,100.0,100
2498.0,25.0,256.25,100.0,100
2516.0,79.0,257.81,100.0,100
2516.0,79.0,257.81,100.0,100
2534.0,82.0,259.38,100.0,100
2534.0,82.0,259.38,100.0,100
2550.0,84.0,260.94,100.0,100
2550.0,84.0,260.94,100.0,100
2568.0,96.0,262.5,100.0,100
2568.0,96.0,262.5,100.0,100
2586.0,92.0,264.06,100.0,100
2586.0,92.0,264.06,100.0,100
2602.0,20.0,265.62,100.0,100
2602.0,20.0,265.62,100.0,100
2618.0,93.0,267.19,100.0,100
2618.0,93.0,267.19,100.0,100
2635.0,87.0,268.75,100.0,100
2635.0,87.0,268.75,100.0,100
2651.0,21.0,270.31,100.0,100
2651.0,21.0,270.31,100.0,100
2665.0,23.0,271.88,100.0,100
2665.0,23.0,271.88,100.0,100
2681.0,86.0,273.44,100.0,100
2681.0,86.0,273.44,100.0,100
2701.0,65.0,275.0,100.0,100
2701.0,65.0,275.0,100.0,100
2715.0,21.0,276.56,100.0,100
2715.0,21.0,276.56,100.0,100
2730.0,82.0,278.12,100.0,100
2730.0,82.0,278.12,100.0,100
2750.0,71.0,279.69,100.0,100
2750.0,71.0,279.69,100.0,100
2766.0,82.0,281.25,100.0,100
2766.0,82.0,281.25,100.0,100
2794.0,92.0,282.81,100.0,100
2794.0,92.0,282.81,100.0,100
2814.0,26.0,284.38,100.0,100
2814.0,26.0,284.38,100.0,100
2834.0,90.0,285.94,100.0,100
2834.0,90.0,285.94,100.0,100
2855.0,79.0,287.5,100.0,100
2855.0,79.0,287.5,100.0,100
2875.0,80.0,289.06,100.0,100
2875.0,80.0,289.06,100.0,100
2894.0,85.0,290.62,100.0,100
2894.0,85.0,290.62,100.0,100
2915.0,65.0,292.19,100.0,100
2915.0,65.0,292.19,100.0,100
2950.0,85.0,293.75,100.0,100
2950.0,85.0,293.75,100.0,100
2977.0,71.0,295.31,100.0,100
2977.0,71.0,295.31,100.0,100
2996.0,93.0,296.88,100.0,100
2996.0,93.0,296.88,100.0,100
3018.0,75.0,298.44,100.0,100
3018.0,75.0,298.44,100.0,100
3040.0,89.0,300.0,100.0,100
3040.0,89.0,300.0,100.0,100
3064.0,79.0,301.56,100.0,100
3064.0,79.0,301.56,100.0,100
3085.0,95.0,303.12,100.0,100
3085.0,95.0,303.12,100.0,100
3104.0,89.0,304.69,100.0,100
3104.0,89.0,304.69,100.0,100
3124.0,81.0,306.25,100.0,100
3124.0,81.0,306.25,100.0,100
3143.0,93.0,307.81,100.0,100
3143.0,93.0,307.81,100.0,100
3163.0,95.0,309.38,100.0,100
3163.0,95.0,309.38,100.0,100
3182.0,95.0,310.94,100.0,100
3182.0,95.0,310.94,100.0,100
3201.0,93.0,312.5,100.0,100
3201.0,93.0,312.5,100.0,100
3221.0,87.0,314.06,100.0,100
3221.0,87.0,314.06,100.0,100
3241.0,93.0,315.62,100.0,100
3241.0,93.0,315.62,100.0,100
3261.0,88.0,317.19,100.0,100
3261.0,88.0,317.19,100.0,100
3278.0,27.0,318.75,25.0,100
3278.0,27.0,318.75,25.0,100
3297.0,94.0,320.31,100.0,100
3297.0,94.0,320.31,100.0,100
3318.0,90.0,321.88,100.0,100
3318.0,90.0,321.88,100.0,100
3335.0,26.0,323.44,25.0,100
3335.0,26.0,323.44,25.0,100
3356.0,67.0,325.0,100.0,100
3356.0,67.0,325.0,100.0,100
3377.0,81.0,326.56,100.0,100
3377.0,81.0,326.56,100.0,100
3394.0,25.0,328.12,25.0,100
3394.0,25.0,328.12,25.0,100
3415.0,96.0,329.69,100.0,100
3415.0,96.0,329.69,100.0,100
3437.0,105.0,331.25,100.0,100
3437.0,105.0,331.25,100.0,100
3460.0,87.0,332.81,100.0,100
3460.0,87.0,332.81,100.0,100
3483.0,95.0,334.38,100.0,100
3483.0,95.0,334.38,100.0,100
