Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
467.0,32.0,100.0,100.0,100
467.0,32.0,100.0,100.0,100
692.0,27.0,101.56,100.0,100
692.0,27.0,101.56,100.0,100
900.0,15.0,103.12,100.0,100
900.0,15.0,103.12,100.0,100
1029.0,11.0,104.69,100.0,100
1029.0,11.0,104.69,100.0,100
1113.0,9.0,106.25,100.0,100
1113.0,9.0,106.25,100.0,100
1194.0,11.0,107.81,100.0,100
1194.0,11.0,107.81,100.0,100
1257.0,11.0,109.38,100.0,100
1257.0,11.0,109.38,100.0,100
1327.0,11.0,110.94,100.0,100
1327.0,11.0,110.94,100.0,100
1401.0,0.0,112.5,100.0,100
1401.0,0.0,112.5,100.0,100
1473.0,45.0,114.06,25.0,100
1473.0,45.0,114.06,25.0,100
1573.0,0.0,115.62,25.0,100
1573.0,0.0,115.62,25.0,100
1643.0,0.0,117.19,100.0,100
1643.0,0.0,117.19,100.0,100
1721.0,0.0,118.75,100.0,100
1721.0,0.0,118.75,100.0,100
1782.0,12.0,120.31,100.0,100
1782.0,12.0,120.31,100.0,100
1845.0,11.0,121.88,100.0,100
1845.0,11.0,121.88,100.0,100
1923.0,12.0,123.44,100.0,100
1923.0,12.0,123.44,100.0,100
2001.0,0.0,125.0,100.0,100
2001.0,0.0,125.0,100.0,100
2078.0,42.0,126.56,100.0,100
2078.0,42.0,126.56,100.0,100
2161.0,0.0,128.12,25.0,100
2161.0,0.0,128.12,25.0,100
2234.0,0.0,129.69,25.0,100
2234.0,0.0,129.69,25.0,100
2317.0,14.0,131.25,100.0,100
2317.0,14.0,131.25,100.0,100
2396.0,0.0,132.81,100.0,100
2396.0,0.0,132.81,100.0,100
2497.0,0.0,134.38,25.0,100
2497.0,0.0,134.38,25.0,100
2591.0,36.0,135.94,100.0,100
2591.0,36.0,135.94,100.0,100
2687.0,15.0,137.5,100.0,100
2687.0,15.0,137.5,100.0,100
2765.0,0.0,139.06,100.0,100
2765.0,0.0,139.06,100.0,100
2868.0,44.0,140.62,100.0,100
2868.0,44.0,140.62,100.0,100
2951.0,0.0,142.19,25.0,100
2951.0,0.0,142.19,25.0,100
3050.0,47.0,143.75,100.0,100
3050.0,47.0,143.75,100.0,100
3129.0,46.0,145.31,100.0,100
3129.0,46.0,145.31,100.0,100
3209.0,0.0,146.88,25.0,100
3209.0,0.0,146.88,25.0,100
3296.0,45.0,148.44,100.0,100
3296.0,45.0,148.44,100.0,100
3381.0,45.0,150.0,100.0,100
3381.0,45.0,150.0,100.0,100
3458.0,0.0,151.56,25.0,100
3458.0,0.0,151.56,25.0,100
3543.0,44.0,153.12,100.0,100
3543.0,44.0,153.12,100.0,100
3619.0,42.0,154.69,100.0,100
3619.0,42.0,154.69,100.0,100
3704.0,0.0,156.25,25.0,100
3704.0,0.0,156.25,25.0,100
3788.0,45.0,157.81,100.0,100
3788.0,45.0,157.81,100.0,100
3876.0,39.0,159.38,100.0,100
3876.0,39.0,159.38,100.0,100
3964.0,0.0,160.94,25.0,100
3964.0,0.0,160.94,25.0,100
4052.0,0.0,162.5,25.0,100
4052.0,0.0,162.5,25.0,100
4137.0,46.0,164.06,100.0,100
4137.0,46.0,164.06,100.0,100
4226.0,0.0,165.62,25.0,100
4226.0,0.0,165.62,25.0,100
4315.0,44.0,167.19,100.0,100
4315.0,44.0,167.19,100.0,100
4411.0,120.0,168.75,100.0,100
4411.0,120.0,168.75,100.0,100
4519.0,0.0,170.31,100.0,100
4519.0,0.0,170.31,100.0,100
4613.0,0.0,171.88,100.0,100
4613.0,0.0,171.88,100.0,100
4704.0,44.0,173.44,100.0,100
4704.0,44.0,173.44,100.0,100
4807.0,0.0,175.0,100.0,100
4807.0,0.0,175.0,100.0,100
4902.0,0.0,176.56,100.0,100
4902.0,0.0,176.56,100.0,100
5001.0,51.0,178.12,100.0,100
5001.0,51.0,178.12,100.0,100
5098.0,0.0,179.69,25.0,100
5098.0,0.0,179.69,25.0,100
5208.0,45.0,181.25,100.0,100
5208.0,45.0,181.25,100.0,100
5308.0,43.0,182.81,100.0,100
5308.0,43.0,182.81,100.0,100
5406.0,0.0,184.38,25.0,100
5406.0,0.0,184.38,25.0,100
5515.0,43.0,185.94,100.0,100
5515.0,43.0,185.94,100.0,100
5630.0,42.0,187.5,100.0,100
5630.0,42.0,187.5,100.0,100
5743.0,0.0,189.06,100.0,100
5743.0,0.0,189.06,100.0,100
5843.0,13.0,190.62,100.0,100
5843.0,13.0,190.62,100.0,100
5954.0,0.0,192.19,100.0,100
5954.0,0.0,192.19,100.0,100
6062.0,0.0,193.75,100.0,100
6062.0,0.0,193.75,100.0,100
6189.0,45.0,195.31,25.0,100
6189.0,45.0,195.31,25.0,100
6320.0,37.0,196.88,100.0,100
6320.0,37.0,196.88,100.0,100
6428.0,0.0,198.44,25.0,100
6428.0,0.0,198.44,25.0,100
6551.0,0.0,200.0,25.0,100
6551.0,0.0,200.0,25.0,100
6656.0,0.0,201.56,100.0,100
6656.0,0.0,201.56,100.0,100
6779.0,53.0,203.12,25.0,100
6779.0,53.0,203.12,25.0,100
6893.0,0.0,204.69,25.0,100
6893.0,0.0,204.69,25.0,100
6999.0,0.0,206.25,100.0,100
6999.0,0.0,206.25,100.0,100
7124.0,106.0,207.81,25.0,100
7124.0,106.0,207.81,25.0,100
7246.0,13.0,209.38,100.0,100
7246.0,13.0,209.38,100.0,100
7368.0,12.0,210.94,100.0,100
7368.0,12.0,210.94,100.0,100
7489.0,12.0,212.5,100.0,100
7489.0,12.0,212.5,100.0,100
7621.0,0.0,214.06,100.0,100
7621.0,0.0,214.06,100.0,100
7747.0,43.0,215.62,100.0,100
7747.0,43.0,215.62,100.0,100
7884.0,0.0,217.19,25.0,100
7884.0,0.0,217.19,25.0,100
8002.0,0.0,218.75,25.0,100
8002.0,0.0,218.75,25.0,100
8139.0,0.0,220.31,100.0,100
8139.0,0.0,220.31,100.0,100
8266.0,12.0,221.88,100.0,100
8266.0,12.0,221.88,100.0,100
8397.0,0.0,223.44,100.0,100
8397.0,0.0,223.44,100.0,100
8536.0,46.0,225.0,100.0,100
8536.0,46.0,225.0,100.0,100
8667.0,12.0,226.56,100.0,100
8667.0,12.0,226.56,100.0,100
8792.0,0.0,228.12,25.0,100
8792.0,0.0,228.12,25.0,100
8935.0,45.0,229.69,100.0,100
8935.0,45.0,229.69,100.0,100
9060.0,12.0,231.25,100.0,100
9060.0,12.0,231.25,100.0,100
9191.0,0.0,232.81,100.0,100
9191.0,0.0,232.81,100.0,100
9337.0,0.0,234.38,100.0,100
9337.0,0.0,234.38,100.0,100
9482.0,0.0,235.94,100.0,100
9482.0,0.0,235.94,100.0,100
9622.0,0.0,237.5,100.0,100
9622.0,0.0,237.5,100.0,100
9777.0,47.0,239.06,100.0,100
9777.0,47.0,239.06,100.0,100
9910.0,0.0,240.62,25.0,100
9910.0,0.0,240.62,25.0,100
10059.0,0.0,242.19,25.0,100
10059.0,0.0,242.19,25.0,100
10195.0,14.0,243.75,100.0,100
10195.0,14.0,243.75,100.0,100
10349.0,0.0,245.31,100.0,100
10349.0,0.0,245.31,100.0,100
10496.0,12.0,246.88,100.0,100
10496.0,12.0,246.88,100.0,100
10658.0,51.0,248.44,100.0,100
10658.0,51.0,248.44,100.0,100
10812.0,0.0,250.0,25.0,100
10812.0,0.0,250.0,25.0,100
10959.0,40.0,251.56,100.0,100
10959.0,40.0,251.56,100.0,100
11105.0,48.0,253.12,100.0,100
11105.0,48.0,253.12,100.0,100
11246.0,0.0,254.69,25.0,100
11246.0,0.0,254.69,25.0,100
11397.0,0.0,256.25,25.0,100
11397.0,0.0,256.25,25.0,100
11553.0,30.0,257.81,100.0,100
11553.0,30.0,257.81,100.0,100
11702.0,0.0,259.38,25.0,100
11702.0,0.0,259.38,25.0,100
11855.0,0.0,260.94,100.0,100
11855.0,0.0,260.94,100.0,100
12014.0,48.0,262.5,100.0,100
12014.0,48.0,262.5,100.0,100
12178.0,0.0,264.06,25.0,100
12178.0,0.0,264.06,25.0,100
12337.0,48.0,265.62,100.0,100
12337.0,48.0,265.62,100.0,100
12490.0,13.0,267.19,100.0,100
12490.0,13.0,267.19,100.0,100
12645.0,12.0,268.75,100.0,100
12645.0,12.0,268.75,100.0,100
12803.0,0.0,270.31,100.0,100
12803.0,0.0,270.31,100.0,100
12964.0,51.0,271.88,100.0,100
12964.0,51.0,271.88,100.0,100
13114.0,0.0,273.44,25.0,100
13114.0,0.0,273.44,25.0,100
13272.0,0.0,275.0,25.0,100
13272.0,0.0,275.0,25.0,100
13440.0,0.0,276.56,100.0,100
13440.0,0.0,276.56,100.0,100
13598.0,0.0,278.12,100.0,100
13598.0,0.0,278.12,100.0,100
13761.0,0.0,279.69,25.0,100
13761.0,0.0,279.69,25.0,100
13923.0,49.0,281.25,100.0,100
13923.0,49.0,281.25,100.0,100
14093.0,0.0,282.81,100.0,100
14093.0,0.0,282.81,100.0,100
14245.0,61.0,284.38,25.0,100
14245.0,61.0,284.38,25.0,100
14415.0,54.0,285.94,100.0,100
14415.0,54.0,285.94,100.0,100
14592.0,0.0,287.5,25.0,100
14592.0,0.0,287.5,25.0,100
14761.0,0.0,289.06,25.0,100
14761.0,0.0,289.06,25.0,100
14928.0,0.0,290.62,100.0,100
14928.0,0.0,290.62,100.0,100
15087.0,60.0,292.19,25.0,100
15087.0,60.0,292.19,25.0,100
15253.0,0.0,293.75,25.0,100
15253.0,0.0,293.75,25.0,100
15434.0,45.0,295.31,100.0,100
15434.0,45.0,295.31,100.0,100
15608.0,0.0,296.88,25.0,100
15608.0,0.0,296.88,25.0,100
15776.0,0.0,298.44,25.0,100
15776.0,0.0,298.44,25.0,100
15974.0,78.0,300.0,100.0,100
15974.0,78.0,300.0,100.0,100
16157.0,17.0,301.56,100.0,100
16157.0,17.0,301.56,100.0,100
16332.0,0.0,303.12,100.0,100
16332.0,0.0,303.12,100.0,100
16512.0,118.0,304.69,100.0,100
16512.0,118.0,304.69,100.0,100
16680.0,0.0,306.25,100.0,100
16680.0,0.0,306.25,100.0,100
16856.0,15.0,307.81,100.0,100
16856.0,15.0,307.81,100.0,100
17052.0,0.0,309.38,100.0,100
17052.0,0.0,309.38,100.0,100
17227.0,16.0,310.94,100.0,100
17227.0,16.0,310.94,100.0,100
17420.0,15.0,312.5,100.0,100
17420.0,15.0,312.5,100.0,100
17617.0,15.0,314.06,100.0,100
17617.0,15.0,314.06,100.0,100
17805.0,14.0,315.62,100.0,100
17805.0,14.0,315.62,100.0,100
18015.0,0.0,317.19,25.0,100
18015.0,0.0,317.19,25.0,100
18213.0,0.0,318.75,100.0,100
18213.0,0.0,318.75,100.0,100
18388.0,14.0,320.31,100.0,100
18388.0,14.0,320.31,100.0,100
18581.0,0.0,321.88,25.0,100
18581.0,0.0,321.88,25.0,100
18776.0,15.0,323.44,100.0,100
18776.0,15.0,323.44,100.0,100
18964.0,0.0,325.0,25.0,100
18964.0,0.0,325.0,25.0,100
19168.0,54.0,326.56,25.0,100
19168.0,54.0,326.56,25.0,100
19371.0,0.0,328.12,100.0,100
19371.0,0.0,328.12,100.0,100
19578.0,0.0,329.69,25.0,100
19578.0,0.0,329.69,25.0,100
19773.0,16.0,331.25,100.0,100
19773.0,16.0,331.25,100.0,100
19978.0,0.0,332.81,100.0,100
19978.0,0.0,332.81,100.0,100
20176.0,15.0,334.38,100.0,100
