Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,102.45
0.0,0.0,100,100,100
82.0,0.0,100,100,100
82.0,0.0,100,100,0.05
181.0,11.0,100,100.0,0.05
181.0,11.0,100,100.0,101.25
1144.0,0.0,100,100.0,101.25
1144.0,0.0,100,100.0,103.25
1209.0,3.0,100,100.0,103.25
1209.0,3.0,100,100.0,104.85
3087.0,0.0,100,100.0,104.85
3087.0,0.0,100,100.0,106.45
5520.0,0.0,100,100.0,106.45
5520.0,0.0,100,100.0,108.45
8646.0,0.0,100,100.0,108.45
8646.0,0.0,100,100.0,102.45
11544.0,87.0,100.0,100.0,102.45
11544.0,87.0,100.0,100.0,102.45
11619.0,7.0,100.0,100.0,102.45
11619.0,7.0,100.0,100.0,83.65
11676.0,6.0,100.0,100.0,83.65
11676.0,6.0,100.0,100.0,102.05
11886.0,1.0,100.0,100.0,102.05
11886.0,1.0,100.0,100.0,103.65
12040.0,2.0,100.0,100.0,103.65
12040.0,2.0,100.0,100.0,105.25
12137.0,3.0,100.0,100.0,105.25
12137.0,3.0,100.0,100.0,106.85
12170.0,8.0,100.0,100.0,106.85
12170.0,8.0,100.0,100.0,107.65
12195.0,11.0,100.0,100.0,107.65
12195.0,11.0,100.0,100.0,108.45
12586.0,0.0,100.0,100.0,108.45
12586.0,0.0,100.0,100.0,102.45
12793.0,1.0,100.0,100.0,102.45
12793.0,1.0,100.0,100.0,104.05
13074.0,1.0,100.0,100.0,104.05
13074.0,1.0,100.0,100.0,105.65
13415.0,0.0,100.0,100.0,105.65
13415.0,0.0,100.0,100.0,107.65
13714.0,0.0,100.0,100.0,107.65
13714.0,0.0,100.0,100.0,109.25
14087.0,0.0,100.0,100.0,109.25
14087.0,0.0,100.0,100.0,111.25
14449.0,0.0,100.0,100.0,111.25
14449.0,0.0,100.0,100.0,102.45
14813.0,0.0,100.0,100.0,102.45
14813.0,0.0,100.0,100.0,104.05
15198.0,0.0,100.0,100.0,104.05
15198.0,0.0,100.0,100.0,106.05
15579.0,0.0,100.0,100.0,106.05
15579.0,0.0,100.0,100.0,107.65
15959.0,0.0,100.0,100.0,107.65
15959.0,0.0,100.0,100.0,109.65
16327.0,0.0,100.0,100.0,109.65
16327.0,0.0,100.0,100.0,111.25
16667.0,0.0,100.0,100.0,111.25
16667.0,0.0,100.0,100.0,102.45
17027.0,0.0,100.0,100.0,102.45
17027.0,0.0,100.0,100.0,104.05
17077.0,11.0,103.12,100.0,104.05
17077.0,11.0,103.12,100.0,104.05
17573.0,2.0,103.12,100.0,104.05
17573.0,2.0,103.12,100.0,95.65
18054.0,0.0,103.12,100.0,95.65
18054.0,0.0,103.12,100.0,97.25
18554.0,0.0,103.12,100.0,97.25
18554.0,0.0,103.12,100.0,98.85
19048.0,0.0,103.12,100.0,98.85
19048.0,0.0,103.12,100.0,102.45
19530.0,0.0,103.12,100.0,102.45
19530.0,0.0,103.12,100.0,104.05
