Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,105.65
0.0,0.0,100,100,100
69.0,0.0,100,100,100
69.0,0.0,100,100,0.05
112.0,26.0,100,100.0,0.05
112.0,26.0,100,100.0,100.05
124.0,44.0,100,100.0,100.05
124.0,44.0,100,100.0,98.05
319.0,0.0,100,25.0,98.05
319.0,0.0,100,25.0,99.65
2833.0,0.0,100,100.0,99.65
2833.0,0.0,100,100.0,101.65
5898.0,0.0,100,100.0,101.65
5898.0,0.0,100,100.0,103.25
10448.0,0.0,100,100.0,103.25
10448.0,0.0,100,100.0,102.45
12863.0,0.0,100,100.0,102.45
12863.0,0.0,100,100.0,104.05
12897.0,39.0,100.0,25.0,104.05
12897.0,39.0,100.0,25.0,104.05
12957.0,8.0,100.0,100.0,104.05
12957.0,8.0,100.0,100.0,101.65
12977.0,5.0,100.0,100.0,101.65
12977.0,5.0,100.0,100.0,102.85
13000.0,4.0,100.0,100.0,102.85
13000.0,4.0,100.0,100.0,104.45
13044.0,1.0,100.0,100.0,104.45
13044.0,1.0,100.0,100.0,106.05
13104.0,1.0,100.0,100.0,106.05
13104.0,1.0,100.0,100.0,107.65
13162.0,1.0,100.0,100.0,107.65
13162.0,1.0,100.0,100.0,109.65
13203.0,2.0,100.0,100.0,109.65
13203.0,2.0,100.0,100.0,102.05
13241.0,14.0,100.0,100.0,102.05
13241.0,14.0,100.0,100.0,102.85
13300.0,8.0,100.0,100.0,102.85
13300.0,8.0,100.0,100.0,103.65
13354.0,10.0,100.0,100.0,103.65
13354.0,10.0,100.0,100.0,104.85
