Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
23292.0,42.0,100.0,100.0,100
23292.0,42.0,100.0,100.0,100
37580.0,143.0,102.34,100.0,100
37580.0,143.0,102.34,100.0,100
39932.0,63.0,104.69,100.0,100
39932.0,63.0,104.69,100.0,100
40960.0,50.0,107.03,100.0,100
40960.0,50.0,107.03,100.0,100
41130.0,46.0,109.38,100.0,100
41130.0,46.0,109.38,100.0,100
41304.0,57.0,111.72,100.0,100
41304.0,57.0,111.72,100.0,100
41409.0,65.0,114.06,100.0,100
41409.0,65.0,114.06,100.0,100
41502.0,59.0,116.41,100.0,100
41502.0,59.0,116.41,100.0,100
41621.0,59.0,118.75,100.0,100
41621.0,59.0,118.75,100.0,100
41678.0,72.0,121.09,100.0,100
41678.0,72.0,121.09,100.0,100
41763.0,52.0,123.44,100.0,100
41763.0,52.0,123.44,100.0,100
41856.0,28.0,125.78,100.0,100
41856.0,28.0,125.78,100.0,100
41968.0,47.0,128.12,100.0,100
41968.0,47.0,128.12,100.0,100
42096.0,24.0,130.47,100.0,100
42096.0,24.0,130.47,100.0,100
42321.0,23.0,132.81,100.0,100
42321.0,23.0,132.81,100.0,100
42451.0,24.0,135.16,100.0,100
42451.0,24.0,135.16,100.0,100
42451.0,24.0,135.16,100.0,100
42451.0,24.0,135.16,100.0,100
42487.0,45.0,137.5,100.0,100
42487.0,45.0,137.5,100.0,100
42487.0,45.0,137.5,100.0,100
42487.0,45.0,137.5,100.0,100
42518.0,44.0,139.84,100.0,100
42518.0,44.0,139.84,100.0,100
42518.0,44.0,139.84,100.0,100
42518.0,44.0,139.84,100.0,100
42548.0,47.0,142.19,100.0,100
42548.0,47.0,142.19,100.0,100
