Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
327.0,39.0,100.0,100.0,100
327.0,39.0,100.0,100.0,100
588.0,59.0,103.91,100.0,100
588.0,59.0,103.91,100.0,100
669.0,35.0,107.81,100.0,100
669.0,35.0,107.81,100.0,100
754.0,51.0,111.72,100.0,100
754.0,51.0,111.72,100.0,100
791.0,52.0,115.62,100.0,100
791.0,52.0,115.62,100.0,100
819.0,47.0,119.53,100.0,100
819.0,47.0,119.53,100.0,100
847.0,52.0,123.44,100.0,100
847.0,52.0,123.44,100.0,100
878.0,50.0,127.34,100.0,100
878.0,50.0,127.34,100.0,100
915.0,50.0,131.25,100.0,100
915.0,50.0,131.25,100.0,100
953.0,52.0,135.16,100.0,100
953.0,52.0,135.16,100.0,100
994.0,50.0,139.06,100.0,100
994.0,50.0,139.06,100.0,100
1027.0,49.0,142.97,100.0,100
1027.0,49.0,142.97,100.0,100
1058.0,49.0,146.88,100.0,100
1058.0,49.0,146.88,100.0,100
