Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
23722.0,62.0,100.0,100.0,100
23722.0,62.0,100.0,100.0,100
41328.0,46.0,102.34,100.0,100
41328.0,46.0,102.34,100.0,100
43427.0,55.0,104.69,100.0,100
43427.0,55.0,104.69,100.0,100
44376.0,28.0,107.03,100.0,100
44376.0,28.0,107.03,100.0,100
44556.0,42.0,109.38,100.0,100
44556.0,42.0,109.38,100.0,100
44717.0,29.0,111.72,100.0,100
44717.0,29.0,111.72,100.0,100
44823.0,28.0,114.06,100.0,100
44823.0,28.0,114.06,100.0,100
44910.0,26.0,116.41,100.0,100
44910.0,26.0,116.41,100.0,100
45061.0,31.0,118.75,100.0,100
45061.0,31.0,118.75,100.0,100
45112.0,37.0,121.09,100.0,100
45112.0,37.0,121.09,100.0,100
45209.0,44.0,123.44,100.0,100
45209.0,44.0,123.44,100.0,100
45310.0,25.0,125.78,25.0,100
45310.0,25.0,125.78,25.0,100
45406.0,64.0,128.12,100.0,100
45406.0,64.0,128.12,100.0,100
45500.0,33.0,130.47,100.0,100
45500.0,33.0,130.47,100.0,100
45683.0,35.0,132.81,100.0,100
45683.0,35.0,132.81,100.0,100
45732.0,23.0,135.16,100.0,100
45732.0,23.0,135.16,100.0,100
45771.0,38.0,137.5,100.0,100
45771.0,38.0,137.5,100.0,100
45807.0,45.0,139.84,100.0,100
45807.0,45.0,139.84,100.0,100
45841.0,37.0,142.19,100.0,100
45841.0,37.0,142.19,100.0,100
