,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
1,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
2,33.0,100.0,JDK3-2-1,563.0,pmd,100.0,100.0
3,33.0,100.0,JDK3-2-1,563.0,pmd,100.0,100.0
4,45.0,100.0,JDK3-2-1,797.0,pmd,101.56,100.0
5,45.0,100.0,JDK3-2-1,797.0,pmd,101.56,100.0
6,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
7,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
8,29.0,100.0,JDK3-2-1,556.0,pmd,100.0,100.0
9,29.0,100.0,JDK3-2-1,556.0,pmd,100.0,100.0
10,41.0,100.0,JDK3-2-1,773.0,pmd,101.56,100.0
11,41.0,100.0,JDK3-2-1,773.0,pmd,101.56,100.0
12,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
13,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
14,75.0,100.0,JDK3-2-1,820.0,pmd,100.0,25.0
15,75.0,100.0,JDK3-2-1,820.0,pmd,100.0,25.0
16,0.0,100.0,JDK3-2-1,1193.0,pmd,101.56,25.0
17,0.0,100.0,JDK3-2-1,1193.0,pmd,101.56,25.0
18,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
19,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
20,39.0,100.0,JDK3-2-1,687.0,pmd,100.0,100.0
21,39.0,100.0,JDK3-2-1,687.0,pmd,100.0,100.0
22,52.0,100.0,JDK3-2-1,938.0,pmd,101.56,25.0
23,52.0,100.0,JDK3-2-1,938.0,pmd,101.56,25.0
24,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
25,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
26,25.0,100.0,JDK3-2-1,578.0,pmd,100.0,100.0
27,25.0,100.0,JDK3-2-1,578.0,pmd,100.0,100.0
28,42.0,100.0,JDK3-2-1,793.0,pmd,101.56,100.0
29,42.0,100.0,JDK3-2-1,793.0,pmd,101.56,100.0
30,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
31,0.0,100.0,JDK3-2-1,0.0,pmd,100.0,100.0
32,30.0,100.0,JDK3-2-1,899.0,pmd,100.0,100.0
33,30.0,100.0,JDK3-2-1,899.0,pmd,100.0,100.0
34,40.0,100.0,JDK3-2-1,1158.0,pmd,101.56,100.0
35,40.0,100.0,JDK3-2-1,1158.0,pmd,101.56,100.0
36,30.0,100.0,JDK3-2-1,1870.0,pmd,103.12,100.0
37,30.0,100.0,JDK3-2-1,1870.0,pmd,103.12,100.0
