Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
66.0,0.0,100,100,0
88.0,17.0,100,100,0
100.0,15.0,100,100,0
147.0,3.0,100,100,0
273.0,1.0,100,100,0
360.0,0.0,100,100,0
448.0,0.0,100,100,0
536.0,0.0,100,100,0
571.0,1.0,100,100,0
572.0,80.0,100,100,0
573.0,71.0,100,100,0
574.0,71.0,100,100,0
575.0,65.0,100,100,0
576.0,42.0,100,100,0
576.0,43.0,100,100,0
577.0,42.0,100,100,0
578.0,42.0,100,100,0
579.0,40.0,100,100,0
579.0,41.0,100,100,0
580.0,42.0,100,100,0
581.0,42.0,100,100,0
582.0,42.0,100,100,0
582.0,41.0,100,100,0
583.0,42.0,100,100,0
584.0,40.0,100,100,0
587.0,67.0,100,100,0
764.0,1.0,100,100,0
811.0,1.0,100,100,0
877.0,1.0,100,100,0
938.0,1.0,100,100,0
1227.0,0.0,100,100,0
1253.0,4.0,100,100,0
1270.0,36.0,100,100,0
1277.0,47.0,100,100,0
1300.0,32.0,100,100,0
1321.0,20.0,100,100,0
1347.0,26.0,100,100,0
1383.0,7.0,100,100,0
1405.0,20.0,100,100,0
1428.0,19.0,100,100,0
1457.0,13.0,100,100,0
1491.0,14.0,100,100,0
1507.0,26.0,100,100,0
1526.0,17.0,100,100,0
1554.0,16.0,100,100,0
1585.0,13.0,100,100,0
1604.0,25.0,100,100,0
1638.0,15.0,100,100,0
1653.0,38.0,100,100,0
1693.0,12.0,100,100,0
1725.0,17.0,100,100,0
1748.0,8.0,100,100,0
1756.0,173.0,100,100,0
1775.0,13.0,100,100,0
1795.0,9.0,100,100,0
1812.0,10.0,100,100,0
1833.0,8.0,100,100,0
1853.0,22.0,100,100,0
1869.0,14.0,100,100,0
1877.0,56.0,100,100,0
1888.0,64.0,100,100,0
1910.0,39.0,100,100,0
1926.0,58.0,100,100,0
1948.0,25.0,100,100,0
1958.0,187.0,100,100,0
1971.0,20.0,100,100,0
1985.0,47.0,100,100,0
2015.0,27.0,100,100,0
2041.0,27.0,100,100,0
2064.0,37.0,100,100,0
2081.0,213.0,100,100,0
2104.0,14.0,100,100,0
2142.0,32.0,100,100,0
2177.0,183.0,100,100,0
2194.0,16.0,100,100,0
2205.0,270.0,100,100,0
2235.0,2.0,100,100,0
2256.0,23.0,100,100,0
2292.0,20.0,100,100,0
2330.0,24.0,100,100,0
2356.0,27.0,100,100,0
2392.0,26.0,100,100,0
2436.0,12.0,100,100,0
2535.0,3.0,100,100,0
2571.0,13.0,100,100,0
0.0,0.0,100,100,0
68.0,0.0,100,100,0
88.0,21.0,100,100,0
101.0,12.0,100,100,0
143.0,4.0,100,100,0
289.0,1.0,100,100,0
373.0,0.0,100,100,0
464.0,0.0,100,100,0
563.0,0.0,100,100,0
601.0,1.0,100,100,0
602.0,76.0,100,100,0
603.0,70.0,100,100,0
604.0,70.0,100,100,0
605.0,64.0,100,100,0
606.0,48.0,100,100,0
607.0,44.0,100,100,0
607.0,43.0,100,100,0
608.0,42.0,100,100,0
609.0,41.0,100,100,0
610.0,42.0,100,100,0
610.0,42.0,100,100,0
611.0,42.0,100,100,0
