Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100.0,100.0,102.05
0.0,0.0,100.0,100.0,100.0
78.0,0.0,100.0,100.0,100.0
78.0,0.0,100.0,100.0,0.05
107.0,37.0,100.0,100.0,0.05
107.0,37.0,100.0,100.0,99.65
120.0,41.0,100.0,100.0,99.65
120.0,41.0,100.0,100.0,98.45
132.0,12.0,100.0,100.0,98.45
132.0,12.0,100.0,100.0,98.85
250.0,1.0,100.0,100.0,98.85
250.0,1.0,100.0,100.0,100.05
330.0,1.0,100.0,100.0,100.05
330.0,1.0,100.0,100.0,101.25
358.0,5.0,100.0,100.0,101.25
358.0,5.0,100.0,100.0,101.65
371.0,12.0,100.0,100.0,101.65
371.0,12.0,100.0,100.0,102.05
398.0,2.0,100.0,100.0,102.05
398.0,2.0,100.0,100.0,102.85
410.0,3.0,100.0,100.0,102.85
410.0,3.0,100.0,100.0,104.05
420.0,3.0,100.0,100.0,104.05
420.0,3.0,100.0,100.0,104.85
431.0,26.0,101.56,100.0,104.85
431.0,26.0,101.56,100.0,104.85
450.0,44.0,101.56,100.0,104.85
450.0,44.0,101.56,100.0,96.85
495.0,2.0,101.56,100.0,96.85
495.0,2.0,101.56,100.0,97.65
541.0,3.0,101.56,100.0,97.65
541.0,3.0,101.56,100.0,98.85
564.0,4.0,101.56,100.0,98.85
564.0,4.0,101.56,100.0,101.65
580.0,4.0,101.56,100.0,101.65
580.0,4.0,101.56,100.0,102.45
592.0,25.0,101.56,100.0,102.45
592.0,25.0,101.56,100.0,102.05
607.0,18.0,101.56,100.0,102.05
607.0,18.0,101.56,100.0,102.45
626.0,12.0,101.56,100.0,102.45
626.0,12.0,101.56,100.0,102.85
634.0,13.0,101.56,100.0,102.85
634.0,13.0,101.56,100.0,103.25
694.0,1.0,101.56,100.0,103.25
694.0,1.0,101.56,100.0,101.65
710.0,21.0,112.5,100.0,101.65
710.0,21.0,112.5,100.0,101.65
716.0,152.0,112.5,100.0,101.65
716.0,152.0,112.5,100.0,93.65
722.0,9.0,112.5,100.0,93.65
722.0,9.0,112.5,100.0,94.05
738.0,2.0,112.5,100.0,94.05
738.0,2.0,112.5,100.0,95.25
754.0,16.0,112.5,100.0,95.25
754.0,16.0,112.5,100.0,95.25
773.0,9.0,112.5,100.0,95.25
773.0,9.0,112.5,100.0,101.25
788.0,13.0,112.5,100.0,101.25
788.0,13.0,112.5,100.0,101.65
817.0,18.0,117.19,100.0,101.65
817.0,18.0,117.19,100.0,101.65
818.0,633.0,117.19,100.0,101.65
818.0,633.0,117.19,100.0,62.85
826.0,6.0,117.19,100.0,62.85
826.0,6.0,117.19,100.0,63.65
833.0,9.0,117.19,100.0,63.65
833.0,9.0,117.19,100.0,64.45
841.0,8.0,117.19,100.0,64.45
841.0,8.0,117.19,100.0,101.25
850.0,25.0,117.19,100.0,101.25
850.0,25.0,117.19,100.0,100.85
860.0,24.0,117.19,100.0,100.85
860.0,24.0,117.19,100.0,100.85
868.0,12.0,117.19,100.0,100.85
868.0,12.0,117.19,100.0,101.25
874.0,15.0,117.19,100.0,101.25
874.0,15.0,117.19,100.0,101.65
879.0,22.0,117.19,100.0,101.65
879.0,22.0,117.19,100.0,101.25
883.0,21.0,117.19,100.0,101.25
883.0,21.0,117.19,100.0,100.45
887.0,28.0,117.19,100.0,100.45
887.0,28.0,117.19,100.0,100.05
891.0,21.0,117.19,100.0,100.05
891.0,21.0,117.19,100.0,100.05
898.0,52.0,117.19,100.0,100.05
898.0,52.0,117.19,100.0,98.05
904.0,19.0,117.19,100.0,98.05
904.0,19.0,117.19,100.0,98.45
913.0,21.0,140.62,100.0,98.45
913.0,21.0,140.62,100.0,98.45
918.0,98.0,140.62,100.0,98.45
918.0,98.0,140.62,100.0,96.05
924.0,14.0,140.62,100.0,96.05
924.0,14.0,140.62,100.0,96.45
933.0,10.0,140.62,100.0,96.45
933.0,10.0,140.62,100.0,97.25
