Time,GC Util
0,0
0,0
636,77
636,77
640,65
642,88
643,76
644,83
646,78
647,94
648,77
649,100
651,81
653,116
655,87
656,121
658,88
659,115
661,87
662,122
665,83
666,94
668,85
669,120
672,86
673,124
676,86
677,81
679,80
681,121
683,82
684,120
687,84
688,86
691,88
692,141
694,87
695,129
697,91
698,106
701,88
702,156
704,85
705,123
707,90
708,103
711,90
712,160
713,87
715,111
718,88
719,102
722,85
723,176
725,84
726,147
728,80
730,136
732,82
733,162
735,83
737,118
740,84
741,125
743,89
744,156
746,86
747,148
750,91
751,117
753,89
754,170
757,91
758,107
760,82
761,124
767,4
767,4
1287,131
2276,0
2279,154
2369,1
2371,131
2401,6
2403,16
2403,16
2434,12
2434,12
2467,110
2467,110
2487,96
2487,96
2521,12
2521,12
2537,14
2537,14
2550,12
2550,12
2580,15
2580,15
2616,15
2616,15
2659,249
2683,7
2686,228
2704,16
2708,10
2708,10
2752,79
2752,79
2804,245
2836,7
2840,204
2874,3
2877,211
2899,14
2902,89
2902,89
2932,73
2932,73
2966,88
2966,88
3007,143
3007,143
3007,143
3007,143
3039,200
3039,200
3097,161
3097,161
3161,219
3161,219
3231,236
3231,236
3307,209
3307,209
3381,240
3381,240
3435,218
3435,218
3510,137
3510,137
3569,148
3569,148
3649,166
3649,166
3719,201
3719,201
3780,206
3780,206
3869,236
3869,236
3966,218
0,0
0,0
471,81
471,81
475,54
476,95
478,75
479,85
480,79
482,87
483,75
484,112
485,80
486,93
488,84
489,123
491,87
492,112
494,84
496,106
498,77
499,106
501,87
502,111
505,87
506,86
508,87
510,106
512,82
513,150
516,85
517,136
520,86
521,92
524,83
525,155
527,84
528,138
530,82
532,139
534,79
535,129
538,86
539,92
541,81
542,145
544,88
545,133
548,92
549,98
551,86
552,138
554,79
555,122
558,87
559,90
561,86
562,157
564,88
565,122
568,89
569,143
571,84
572,141
574,83
575,115
578,82
579,95
582,83
583,148
585,88
586,131
589,85
590,105
592,85
593,175
595,85
596,195
603,3
603,3
1036,83
1843,0
1845,86
1901,3
1908,126
1951,5
1955,26
1955,26
1967,157
1967,157
1978,139
1978,139
2002,144
2002,144
2028,159
2028,159
2073,152
2073,152
2125,190
2154,2
2157,205
2182,10
2186,259
2204,11
2208,130
2208,130
2260,151
2260,151
2303,168
2303,168
2354,246
2390,5
2396,228
2421,9
2427,86
2427,86
2450,89
2450,89
2476,91
2476,91
2513,172
2513,172
2550,166
2550,166
2590,168
2590,168
2623,164
2623,164
2676,157
2676,157
2676,157
2676,157
2748,93
2748,93
2835,220
2835,220
2921,249
2921,249
3022,203
3022,203
3086,159
3086,159
3159,146
3159,146
3227,205
3227,205
3312,184
3312,184
