,GC Util,GCInterval,JVM,Time,benchmark,heapSize,numThreads
0,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
1,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
2,35.0,100.0,JDK3-2-3,649.0,avrora,100.0,100.0
3,35.0,100.0,JDK3-2-3,649.0,avrora,100.0,100.0
4,57.0,100.0,JDK3-2-3,1643.0,avrora,101.56,100.0
5,57.0,100.0,JDK3-2-3,1643.0,avrora,101.56,100.0
6,33.0,100.0,JDK3-2-3,3751.0,avrora,103.12,100.0
7,33.0,100.0,JDK3-2-3,3751.0,avrora,103.12,100.0
8,47.0,100.0,JDK3-2-3,5794.0,avrora,104.69,100.0
9,47.0,100.0,JDK3-2-3,5794.0,avrora,104.69,100.0
10,97.0,100.0,JDK3-2-3,7734.0,avrora,106.25,100.0
11,97.0,100.0,JDK3-2-3,7734.0,avrora,106.25,100.0
12,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
13,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
14,32.0,100.0,JDK3-2-3,804.0,avrora,100.0,100.0
15,32.0,100.0,JDK3-2-3,804.0,avrora,100.0,100.0
16,19.0,100.0,JDK3-2-3,1907.0,avrora,101.56,100.0
17,19.0,100.0,JDK3-2-3,1907.0,avrora,101.56,100.0
18,54.0,100.0,JDK3-2-3,4067.0,avrora,103.12,100.0
19,54.0,100.0,JDK3-2-3,4067.0,avrora,103.12,100.0
20,87.0,100.0,JDK3-2-3,6019.0,avrora,104.69,100.0
21,87.0,100.0,JDK3-2-3,6019.0,avrora,104.69,100.0
22,87.0,100.0,JDK3-2-3,7910.0,avrora,106.25,100.0
23,87.0,100.0,JDK3-2-3,7910.0,avrora,106.25,100.0
24,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
25,0.0,100.0,JDK3-2-3,0.0,avrora,100.0,100.0
26,35.0,100.0,JDK3-2-3,665.0,avrora,100.0,100.0
27,35.0,100.0,JDK3-2-3,665.0,avrora,100.0,100.0
28,53.0,100.0,JDK3-2-3,1643.0,avrora,101.56,100.0
29,53.0,100.0,JDK3-2-3,1643.0,avrora,101.56,100.0
30,49.0,100.0,JDK3-2-3,3804.0,avrora,103.12,100.0
31,49.0,100.0,JDK3-2-3,3804.0,avrora,103.12,100.0
32,106.0,100.0,JDK3-2-3,5835.0,avrora,104.69,100.0
