Time,GC Util
0,0
0,0
370,24
370,24
558,15
558,15
627,27
627,27
679,167
725,31
763,156
763,156
808,39
808,39
853,162
884,125
995,195
995,195
1077,54
1077,54
1166,52
1166,52
1264,51
1264,51
1334,235
1394,48
1435,126
1435,126
1504,52
1504,52
1596,53
1596,53
1657,224
1709,160
1783,144
1783,144
1856,164
1856,164
2005,64
2005,64
2147,70
2147,70
2270,65
2270,65
2327,236
2410,184
2478,158
2478,158
2573,66
2573,66
2713,63
2713,63
2906,66
2906,66
3085,66
3085,66
3258,55
3258,55
3451,63
3451,63
3615,60
3615,60
3807,64
3807,64
3997,61
3997,61
4186,62
4186,62
4381,62
4381,62
4591,65
4591,65
4777,58
4777,58
5008,62
5008,62
5242,54
5242,54
5473,50
5473,50
5704,62
5704,62
5923,61
5923,61
6149,60
6149,60
6413,65
6413,65
6675,63
6675,63
6925,56
6925,56
7185,53
7185,53
7467,54
7467,54
7720,55
7720,55
7975,62
7975,62
8243,55
8243,55
8512,61
8512,61
8782,59
8782,59
9059,68
9059,68
9350,56
9350,56
9663,57
9663,57
9956,65
9956,65
10262,61
10262,61
10566,64
10566,64
10877,62
10877,62
11197,63
11197,63
11538,61
11538,61
11879,55
11879,55
12209,65
12209,65
12538,57
