Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,109.65
0.0,0.0,100,100,100
76.0,0.0,100,100,100
76.0,0.0,100,100,0.05
130.0,21.0,100,100.0,0.05
130.0,21.0,100,100.0,101.65
356.0,2.0,100,100.0,101.65
356.0,2.0,100,100.0,104.05
413.0,3.0,100,100.0,104.05
413.0,3.0,100,100.0,106.05
557.0,1.0,100,100.0,106.05
557.0,1.0,100,100.0,108.45
629.0,1.0,100,100.0,108.45
629.0,1.0,100,100.0,110.45
709.0,0.0,100,100.0,110.45
709.0,0.0,100,100.0,102.85
815.0,31.0,100.0,100.0,102.85
815.0,31.0,100.0,100.0,102.85
866.0,9.0,100.0,100.0,102.85
866.0,9.0,100.0,100.0,106.05
923.0,1.0,100.0,100.0,106.05
923.0,1.0,100.0,100.0,102.85
1282.0,0.0,100.0,100.0,102.85
1282.0,0.0,100.0,100.0,105.25
1297.0,14.0,100.0,100.0,105.25
1297.0,14.0,100.0,100.0,106.85
1425.0,1.0,100.0,100.0,106.85
1425.0,1.0,100.0,100.0,108.85
1457.0,6.0,100.0,100.0,108.85
1457.0,6.0,100.0,100.0,110.85
1493.0,2.0,100.0,100.0,110.85
1493.0,2.0,100.0,100.0,113.25
1724.0,1.0,100.0,100.0,113.25
1724.0,1.0,100.0,100.0,102.85
1917.0,2.0,100.0,100.0,102.85
1917.0,2.0,100.0,100.0,104.85
2365.0,1.0,100.0,100.0,104.85
2365.0,1.0,100.0,100.0,107.25
2917.0,0.0,100.0,100.0,107.25
2917.0,0.0,100.0,100.0,109.65
3523.0,0.0,100.0,100.0,109.65
3523.0,0.0,100.0,100.0,112.05
4077.0,0.0,100.0,100.0,112.05
4077.0,0.0,100.0,100.0,114.05
4732.0,0.0,100.0,100.0,114.05
4732.0,0.0,100.0,100.0,102.85
5403.0,0.0,100.0,100.0,102.85
5403.0,0.0,100.0,100.0,105.25
5981.0,0.0,100.0,100.0,105.25
5981.0,0.0,100.0,100.0,107.65
6609.0,0.0,100.0,100.0,107.65
6609.0,0.0,100.0,100.0,109.65
7094.0,0.0,100.0,100.0,109.65
7094.0,0.0,100.0,100.0,112.05
7653.0,0.0,100.0,100.0,112.05
7653.0,0.0,100.0,100.0,114.45
8300.0,0.0,100.0,100.0,114.45
8300.0,0.0,100.0,100.0,102.85
8832.0,0.0,100.0,100.0,102.85
8832.0,0.0,100.0,100.0,105.25
9416.0,0.0,100.0,100.0,105.25
9416.0,0.0,100.0,100.0,107.65
10024.0,0.0,100.0,100.0,107.65
10024.0,0.0,100.0,100.0,109.65
10584.0,0.0,100.0,100.0,109.65
10584.0,0.0,100.0,100.0,112.05
11280.0,0.0,100.0,100.0,112.05
11280.0,0.0,100.0,100.0,114.45
11941.0,0.0,100.0,100.0,114.45
11941.0,0.0,100.0,100.0,102.85
12607.0,0.0,100.0,100.0,102.85
12607.0,0.0,100.0,100.0,105.25
13328.0,0.0,100.0,100.0,105.25
13328.0,0.0,100.0,100.0,107.65
13918.0,0.0,100.0,100.0,107.65
13918.0,0.0,100.0,100.0,109.65
14593.0,0.0,100.0,100.0,109.65
14593.0,0.0,100.0,100.0,112.05
15294.0,0.0,100.0,100.0,112.05
15294.0,0.0,100.0,100.0,114.45
15974.0,0.0,100.0,100.0,114.45
15974.0,0.0,100.0,100.0,102.85
16688.0,0.0,100.0,100.0,102.85
16688.0,0.0,100.0,100.0,105.25
17387.0,0.0,100.0,100.0,105.25
17387.0,0.0,100.0,100.0,107.65
18047.0,0.0,100.0,100.0,107.65
18047.0,0.0,100.0,100.0,109.65
18769.0,0.0,101.56,100.0,109.65
18769.0,0.0,101.56,100.0,109.65
19578.0,3.0,101.56,100.0,109.65
19578.0,3.0,101.56,100.0,95.25
20381.0,0.0,101.56,100.0,95.25
20381.0,0.0,101.56,100.0,102.85
21185.0,0.0,101.56,100.0,102.85
21185.0,0.0,101.56,100.0,105.25
22057.0,0.0,101.56,100.0,105.25
22057.0,0.0,101.56,100.0,107.65
22914.0,0.0,101.56,100.0,107.65
22914.0,0.0,101.56,100.0,109.65
23697.0,0.0,101.56,100.0,109.65
23697.0,0.0,101.56,100.0,112.05
24566.0,0.0,101.56,100.0,112.05
24566.0,0.0,101.56,100.0,114.45
25432.0,0.0,101.56,100.0,114.45
25432.0,0.0,101.56,100.0,102.85
26265.0,0.0,101.56,100.0,102.85
26265.0,0.0,101.56,100.0,105.25
27086.0,0.0,101.56,100.0,105.25
27086.0,0.0,101.56,100.0,107.65
