Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
80.0,0.0,100,100,0
111.0,12.0,100,100,0
123.0,14.0,100,100,0
253.0,1.0,100,100,0
358.0,1.0,100,100,0
503.0,0.0,100,100,0
643.0,0.0,100,100,0
740.0,0.0,100,100,0
741.0,68.0,100,100,0
742.0,64.0,100,100,0
744.0,69.0,100,100,0
744.0,37.0,100,100,0
745.0,37.0,100,100,0
746.0,37.0,100,100,0
747.0,36.0,100,100,0
748.0,36.0,100,100,0
749.0,36.0,100,100,0
750.0,36.0,100,100,0
751.0,36.0,100,100,0
751.0,36.0,100,100,0
752.0,35.0,100,100,0
753.0,34.0,100,100,0
754.0,35.0,100,100,0
757.0,69.0,100,100,0
968.0,0.0,100,100,0
1018.0,1.0,100,100,0
1091.0,1.0,100,100,0
1313.0,0.0,100,100,0
1511.0,0.0,100,100,0
1541.0,4.0,100,100,0
1555.0,39.0,100,100,0
1566.0,46.0,100,100,0
1587.0,30.0,100,100,0
1601.0,31.0,100,100,0
1621.0,34.0,100,100,0
1659.0,11.0,100,100,0
1694.0,11.0,100,100,0
1706.0,31.0,100,100,0
1734.0,16.0,100,100,0
1782.0,11.0,100,100,0
1821.0,16.0,100,100,0
1858.0,18.0,100,100,0
1882.0,29.0,100,100,0
1889.0,125.0,100,100,0
1933.0,3.0,100,100,0
1961.0,18.0,100,100,0
1990.0,18.0,100,100,0
2013.0,26.0,100,100,0
2041.0,12.0,100,100,0
2064.0,15.0,100,100,0
2082.0,16.0,100,100,0
2099.0,15.0,100,100,0
2114.0,31.0,100,100,0
2132.0,30.0,100,100,0
2140.0,106.0,100,100,0
2154.0,52.0,100,100,0
2170.0,148.0,100,100,0
2185.0,26.0,100,100,0
2203.0,46.0,100,100,0
2225.0,39.0,100,100,0
2255.0,32.0,100,100,0
2270.0,155.0,100,100,0
2291.0,26.0,100,100,0
2313.0,55.0,100,100,0
2340.0,49.0,100,100,0
2352.0,167.0,100,100,0
2371.0,24.0,100,100,0
2393.0,62.0,100,100,0
2407.0,154.0,100,100,0
2447.0,12.0,100,100,0
2474.0,58.0,100,100,0
2512.0,28.0,100,100,0
2588.0,113.0,100,100,0
2650.0,8.0,100,100,0
2727.0,10.0,100,100,0
