Time,GC Util
0,0
0,0
20,0
20,0
41,17
41,17
57,10
57,10
109,3
109,3
253,1
253,1
345,0
345,0
452,0
452,0
549,0
549,0
565,4
565,4
566,74
566,74
567,68
567,68
568,72
568,72
569,59
569,59
570,67
570,67
571,43
571,43
572,42
572,42
572,42
572,42
573,41
573,41
574,42
574,42
575,41
575,41
575,42
575,42
576,42
576,42
577,40
577,40
578,42
578,42
578,42
578,42
581,70
581,70
739,0
739,0
776,1
776,1
833,1
833,1
864,3
864,3
1168,0
1168,0
1177,17
1177,17
1185,13
1185,13
1193,21
1193,21
1197,44
1197,44
1200,59
1200,59
1215,18
1215,18
1225,22
1225,22
1236,17
1236,17
1244,46
1244,46
1251,30
1251,30
1262,22
1262,22
1269,30
1269,30
1293,124
1293,124
1306,23
1306,23
1322,18
1322,18
1344,18
1344,18
1368,10
1368,10
1387,18
1387,18
1401,24
1401,24
1418,14
1418,14
1433,15
1433,15
1445,21
1445,21
1459,26
1459,26
1459,26
1474,28
1474,28
1496,17
1496,17
1506,43
1506,43
1519,28
1519,28
1537,18
1537,18
1556,17
1564,147
1564,147
1577,30
1577,30
1592,29
1592,29
1605,26
1605,26
1616,30
1616,30
1628,33
1628,33
1636,45
1636,45
1642,91
1642,91
1642,91
1654,90
1664,157
1664,157
1676,17
1676,17
1691,55
1691,55
1691,55
1707,51
1720,192
1720,192
1736,14
1736,14
1754,46
1754,46
1784,149
1784,149
1802,33
1802,33
1816,62
1816,62
1816,62
1830,71
1845,197
1845,197
1866,17
1866,17
1881,54
1881,54
1910,40
1910,40
1969,154
1969,154
2013,27
2013,27
2047,37
2047,37
2086,28
2086,28
2128,11
2128,11
2193,8
