Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,111.25
0.0,0.0,100,100,100
84.0,0.0,100,100,100
84.0,0.0,100,100,0.05
120.0,35.0,100,100.0,0.05
120.0,35.0,100,100.0,101.25
133.0,47.0,100,100.0,101.25
133.0,47.0,100,100.0,100.45
290.0,1.0,100,100.0,100.45
290.0,1.0,100,100.0,104.85
355.0,3.0,100,100.0,104.85
355.0,3.0,100,100.0,109.25
376.0,4.0,100,100.0,109.25
376.0,4.0,100,100.0,113.25
393.0,6.0,100,100.0,113.25
393.0,6.0,100,100.0,104.45
420.0,4.0,100,100.0,104.45
420.0,4.0,100,100.0,108.85
442.0,2.0,100,100.0,108.85
442.0,2.0,100,100.0,113.25
479.0,1.0,100,100.0,113.25
479.0,1.0,100,100.0,117.65
521.0,2.0,100,100.0,117.65
521.0,2.0,100,100.0,122.05
549.0,3.0,100,100.0,122.05
549.0,3.0,100,100.0,126.05
608.0,1.0,100,100.0,126.05
608.0,1.0,100,100.0,105.25
659.0,2.0,100,100.0,105.25
659.0,2.0,100,100.0,109.65
698.0,74.0,100.0,100.0,109.65
698.0,74.0,100.0,100.0,109.65
725.0,21.0,100.0,100.0,109.65
725.0,21.0,100.0,100.0,102.85
735.0,51.0,100.0,100.0,102.85
735.0,51.0,100.0,100.0,101.65
738.0,46.0,100.0,100.0,101.65
738.0,46.0,100.0,100.0,100.85
743.0,38.0,100.0,100.0,100.85
743.0,38.0,100.0,100.0,101.25
772.0,6.0,100.0,100.0,101.25
772.0,6.0,100.0,100.0,104.85
788.0,10.0,100.0,100.0,104.85
788.0,10.0,100.0,100.0,108.45
818.0,7.0,100.0,100.0,108.45
818.0,7.0,100.0,100.0,104.45
869.0,5.0,100.0,100.0,104.45
869.0,5.0,100.0,100.0,108.45
890.0,16.0,100.0,100.0,108.45
890.0,16.0,100.0,100.0,111.25
923.0,14.0,100.0,100.0,111.25
923.0,14.0,100.0,100.0,114.05
932.0,18.0,100.0,100.0,114.05
932.0,18.0,100.0,100.0,116.85
943.0,15.0,100.0,100.0,116.85
943.0,15.0,100.0,100.0,119.65
964.0,57.0,100.0,100.0,119.65
964.0,57.0,100.0,100.0,98.85
982.0,12.0,100.0,100.0,98.85
982.0,12.0,100.0,100.0,102.05
1008.0,7.0,100.0,100.0,102.05
1008.0,7.0,100.0,100.0,105.65
1026.0,46.0,130.47,100.0,105.65
1026.0,46.0,130.47,100.0,105.65
1053.0,42.0,130.47,100.0,105.65
1053.0,42.0,130.47,100.0,59.25
1092.0,4.0,130.47,100.0,59.25
1092.0,4.0,130.47,100.0,63.65
1112.0,8.0,130.47,100.0,63.65
1112.0,8.0,130.47,100.0,104.45
1124.0,15.0,130.47,100.0,104.45
1124.0,15.0,130.47,100.0,107.25
1160.0,32.0,135.94,100.0,107.25
1160.0,32.0,135.94,100.0,107.25
1179.0,93.0,135.94,100.0,107.25
1179.0,93.0,135.94,100.0,81.25
1189.0,20.0,135.94,100.0,81.25
1189.0,20.0,135.94,100.0,83.65
1219.0,5.0,135.94,100.0,83.65
1219.0,5.0,135.94,100.0,87.65
1246.0,9.0,135.94,100.0,87.65
1246.0,9.0,135.94,100.0,104.05
1270.0,8.0,135.94,100.0,104.05
1270.0,8.0,135.94,100.0,108.05
1285.0,10.0,135.94,100.0,108.05
1285.0,10.0,135.94,100.0,111.25
1296.0,57.0,138.28,100.0,111.25
1296.0,57.0,138.28,100.0,111.25
1315.0,41.0,138.28,100.0,111.25
1315.0,41.0,138.28,100.0,58.45
1339.0,8.0,138.28,100.0,58.45
1339.0,8.0,138.28,100.0,62.05
1363.0,10.0,138.28,100.0,62.05
1363.0,10.0,138.28,100.0,104.05
1394.0,7.0,138.28,100.0,104.05
1394.0,7.0,138.28,100.0,108.05
1423.0,5.0,138.28,100.0,108.05
1423.0,5.0,138.28,100.0,112.05
1435.0,30.0,140.62,100.0,112.05
1435.0,30.0,140.62,100.0,112.05
1461.0,29.0,140.62,100.0,112.05
1461.0,29.0,140.62,100.0,76.85
1474.0,12.0,140.62,100.0,76.85
1474.0,12.0,140.62,100.0,80.05
1525.0,3.0,140.62,100.0,80.05
1525.0,3.0,140.62,100.0,104.85
1561.0,21.0,140.62,100.0,104.85
1561.0,21.0,140.62,100.0,107.25
1587.0,9.0,140.62,100.0,107.25
1587.0,9.0,140.62,100.0,110.45
1612.0,9.0,140.62,100.0,110.45
1612.0,9.0,140.62,100.0,114.05
1626.0,28.0,153.12,100.0,114.05
1626.0,28.0,153.12,100.0,114.05
1656.0,23.0,153.12,100.0,114.05
1656.0,23.0,153.12,100.0,81.65
1674.0,13.0,153.12,100.0,81.65
1674.0,13.0,153.12,100.0,103.65
1722.0,3.0,153.12,100.0,103.65
1722.0,3.0,153.12,100.0,108.05
1743.0,9.0,153.12,100.0,108.05
1743.0,9.0,153.12,100.0,111.65
1761.0,10.0,153.12,100.0,111.65
1761.0,10.0,153.12,100.0,114.85
1788.0,6.0,153.12,100.0,114.85
1788.0,6.0,153.12,100.0,118.85
1801.0,73.0,155.47,100.0,118.85
1801.0,73.0,155.47,100.0,118.85
1831.0,24.0,155.47,100.0,118.85
1831.0,24.0,155.47,100.0,102.45
1864.0,5.0,155.47,100.0,102.45
1864.0,5.0,155.47,100.0,106.45
1884.0,9.0,155.47,100.0,106.45
1884.0,9.0,155.47,100.0,110.05
1899.0,10.0,155.47,100.0,110.05
1899.0,10.0,155.47,100.0,113.65
1924.0,8.0,155.47,100.0,113.65
1924.0,8.0,155.47,100.0,117.25
1955.0,5.0,155.47,100.0,117.25
1955.0,5.0,155.47,100.0,121.25
1984.0,7.0,155.47,100.0,121.25
1984.0,7.0,155.47,100.0,104.45
2023.0,36.0,157.81,100.0,104.45
2023.0,36.0,157.81,100.0,104.45
2047.0,57.0,157.81,100.0,104.45
2047.0,57.0,157.81,100.0,98.85
2056.0,16.0,157.81,100.0,98.85
2056.0,16.0,157.81,100.0,101.65
2095.0,6.0,157.81,100.0,101.65
2095.0,6.0,157.81,100.0,105.25
2118.0,7.0,157.81,100.0,105.25
2118.0,7.0,157.81,100.0,109.25
2140.0,8.0,157.81,100.0,109.25
2140.0,8.0,157.81,100.0,104.45
2162.0,7.0,157.81,100.0,104.45
2162.0,7.0,157.81,100.0,108.05
2218.0,3.0,157.81,100.0,108.05
2218.0,3.0,157.81,100.0,112.45
2258.0,6.0,157.81,100.0,112.45
2258.0,6.0,157.81,100.0,116.45
2272.0,71.0,166.41,100.0,116.45
2272.0,71.0,166.41,100.0,116.45
2310.0,20.0,166.41,100.0,116.45
2310.0,20.0,166.41,100.0,50.85
2336.0,6.0,166.41,100.0,50.85
2336.0,6.0,166.41,100.0,104.45
2368.0,6.0,166.41,100.0,104.45
2368.0,6.0,166.41,100.0,108.45
2410.0,4.0,166.41,100.0,108.45
2410.0,4.0,166.41,100.0,112.45
2439.0,6.0,166.41,100.0,112.45
2439.0,6.0,166.41,100.0,116.45
2459.0,10.0,166.41,100.0,116.45
2459.0,10.0,166.41,100.0,120.05
2501.0,22.0,166.41,100.0,120.05
2501.0,22.0,166.41,100.0,122.05
2517.0,50.0,175.0,12.5,122.05
2517.0,50.0,175.0,12.5,122.05
2559.0,18.0,175.0,100.0,122.05
2559.0,18.0,175.0,100.0,102.05
2586.0,8.0,175.0,100.0,102.05
2586.0,8.0,175.0,100.0,105.65
2625.0,6.0,175.0,100.0,105.65
2625.0,6.0,175.0,100.0,109.65
2659.0,6.0,175.0,100.0,109.65
2659.0,6.0,175.0,100.0,113.65
2704.0,3.0,175.0,100.0,113.65
2704.0,3.0,175.0,100.0,117.65
2730.0,6.0,175.0,100.0,117.65
2730.0,6.0,175.0,100.0,104.45
2759.0,6.0,175.0,100.0,104.45
2759.0,6.0,175.0,100.0,108.45
2798.0,4.0,175.0,100.0,108.45
2798.0,4.0,175.0,100.0,112.45
2808.0,33.0,177.34,100.0,112.45
2808.0,33.0,177.34,100.0,112.45
2837.0,24.0,177.34,100.0,112.45
2837.0,24.0,177.34,100.0,75.25
2875.0,10.0,177.34,100.0,75.25
2875.0,10.0,177.34,100.0,78.85
2908.0,6.0,177.34,100.0,78.85
2908.0,6.0,177.34,100.0,104.45
2962.0,4.0,177.34,100.0,104.45
2962.0,4.0,177.34,100.0,108.85
2993.0,4.0,177.34,100.0,108.85
2993.0,4.0,177.34,100.0,112.85
3028.0,5.0,177.34,100.0,112.85
3028.0,5.0,177.34,100.0,116.85
3065.0,7.0,177.34,100.0,116.85
3065.0,7.0,177.34,100.0,120.85
3099.0,8.0,177.34,100.0,120.85
3099.0,8.0,177.34,100.0,124.45
3116.0,84.0,185.16,100.0,124.45
3116.0,84.0,185.16,100.0,124.45
3156.0,19.0,185.16,100.0,124.45
3156.0,19.0,185.16,100.0,98.05
3186.0,10.0,185.16,100.0,98.05
3186.0,10.0,185.16,100.0,101.25
3220.0,9.0,185.16,100.0,101.25
3220.0,9.0,185.16,100.0,104.85
3250.0,6.0,185.16,100.0,104.85
3250.0,6.0,185.16,100.0,108.85
3286.0,13.0,185.16,100.0,108.85
3286.0,13.0,185.16,100.0,112.05
3336.0,6.0,185.16,100.0,112.05
3336.0,6.0,185.16,100.0,104.45
3375.0,9.0,185.16,100.0,104.45
3375.0,9.0,185.16,100.0,108.05
3413.0,5.0,185.16,100.0,108.05
