Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
458.0,37.0,100.0,100.0,100
458.0,37.0,100.0,100.0,100
674.0,34.0,101.56,100.0,100
674.0,34.0,101.56,100.0,100
811.0,0.0,103.12,100.0,100
811.0,0.0,103.12,100.0,100
941.0,22.0,104.69,100.0,100
941.0,22.0,104.69,100.0,100
1001.0,82.0,106.25,100.0,100
1001.0,82.0,106.25,100.0,100
1083.0,21.0,107.81,100.0,100
1083.0,21.0,107.81,100.0,100
1134.0,21.0,109.38,100.0,100
1134.0,21.0,109.38,100.0,100
1209.0,25.0,110.94,100.0,100
1209.0,25.0,110.94,100.0,100
1290.0,74.0,112.5,100.0,100
1290.0,74.0,112.5,100.0,100
1364.0,24.0,114.06,100.0,100
1364.0,24.0,114.06,100.0,100
1436.0,24.0,115.62,100.0,100
1436.0,24.0,115.62,100.0,100
1534.0,25.0,117.19,100.0,100
1534.0,25.0,117.19,100.0,100
1626.0,24.0,118.75,100.0,100
1626.0,24.0,118.75,100.0,100
1704.0,25.0,120.31,100.0,100
1704.0,25.0,120.31,100.0,100
1789.0,25.0,121.88,100.0,100
1789.0,25.0,121.88,100.0,100
1882.0,34.0,123.44,100.0,100
1882.0,34.0,123.44,100.0,100
1979.0,71.0,125.0,100.0,100
1979.0,71.0,125.0,100.0,100
1979.0,71.0,125.0,100.0,100
1979.0,71.0,125.0,100.0,100
2076.0,0.0,126.56,100.0,100
2076.0,0.0,126.56,100.0,100
2076.0,0.0,126.56,100.0,100
2076.0,0.0,126.56,100.0,100
2144.0,0.0,128.12,100.0,100
2144.0,0.0,128.12,100.0,100
2144.0,0.0,128.12,100.0,100
2144.0,0.0,128.12,100.0,100
2250.0,0.0,129.69,12.5,100
2250.0,0.0,129.69,12.5,100
2250.0,0.0,129.69,12.5,100
2250.0,0.0,129.69,12.5,100
2348.0,59.0,131.25,100.0,100
2348.0,59.0,131.25,100.0,100
2440.0,25.0,132.81,100.0,100
2440.0,25.0,132.81,100.0,100
2440.0,25.0,132.81,100.0,100
2440.0,25.0,132.81,100.0,100
2543.0,27.0,134.38,100.0,100
2543.0,27.0,134.38,100.0,100
2543.0,27.0,134.38,100.0,100
2543.0,27.0,134.38,100.0,100
2639.0,101.0,135.94,100.0,100
2639.0,101.0,135.94,100.0,100
2639.0,101.0,135.94,100.0,100
2639.0,101.0,135.94,100.0,100
2735.0,0.0,137.5,100.0,100
2735.0,0.0,137.5,100.0,100
2735.0,0.0,137.5,100.0,100
2735.0,0.0,137.5,100.0,100
2847.0,74.0,139.06,12.5,100
2847.0,74.0,139.06,12.5,100
2847.0,74.0,139.06,12.5,100
2847.0,74.0,139.06,12.5,100
2955.0,0.0,140.62,12.5,100
2955.0,0.0,140.62,12.5,100
2955.0,0.0,140.62,12.5,100
2955.0,0.0,140.62,12.5,100
3060.0,43.0,142.19,100.0,100
3060.0,43.0,142.19,100.0,100
3060.0,43.0,142.19,100.0,100
3060.0,43.0,142.19,100.0,100
3276.0,36.0,143.75,100.0,100
3276.0,36.0,143.75,100.0,100
3276.0,36.0,143.75,100.0,100
3276.0,36.0,143.75,100.0,100
3380.0,97.0,145.31,100.0,100
3380.0,97.0,145.31,100.0,100
3380.0,97.0,145.31,100.0,100
3380.0,97.0,145.31,100.0,100
3481.0,0.0,146.88,100.0,100
3481.0,0.0,146.88,100.0,100
3615.0,77.0,148.44,100.0,100
3615.0,77.0,148.44,100.0,100
3615.0,77.0,148.44,100.0,100
3615.0,77.0,148.44,100.0,100
3715.0,0.0,150.0,100.0,100
3715.0,0.0,150.0,100.0,100
3715.0,0.0,150.0,100.0,100
3715.0,0.0,150.0,100.0,100
3825.0,29.0,151.56,100.0,100
3825.0,29.0,151.56,100.0,100
3825.0,29.0,151.56,100.0,100
3825.0,29.0,151.56,100.0,100
3939.0,0.0,153.12,100.0,100
3939.0,0.0,153.12,100.0,100
3939.0,0.0,153.12,100.0,100
3939.0,0.0,153.12,100.0,100
4049.0,26.0,154.69,100.0,100
4049.0,26.0,154.69,100.0,100
4049.0,26.0,154.69,100.0,100
4049.0,26.0,154.69,100.0,100
4156.0,26.0,156.25,100.0,100
4156.0,26.0,156.25,100.0,100
4156.0,26.0,156.25,100.0,100
4156.0,26.0,156.25,100.0,100
4258.0,27.0,157.81,100.0,100
4258.0,27.0,157.81,100.0,100
4258.0,27.0,157.81,100.0,100
4258.0,27.0,157.81,100.0,100
4376.0,29.0,159.38,100.0,100
4376.0,29.0,159.38,100.0,100
4376.0,29.0,159.38,100.0,100
4376.0,29.0,159.38,100.0,100
4487.0,58.0,160.94,12.5,100
4487.0,58.0,160.94,12.5,100
4617.0,25.0,162.5,100.0,100
4617.0,25.0,162.5,100.0,100
4617.0,25.0,162.5,100.0,100
4617.0,25.0,162.5,100.0,100
4723.0,87.0,164.06,12.5,100
4723.0,87.0,164.06,12.5,100
4723.0,87.0,164.06,12.5,100
4723.0,87.0,164.06,12.5,100
4860.0,27.0,165.62,100.0,100
4860.0,27.0,165.62,100.0,100
4860.0,27.0,165.62,100.0,100
4860.0,27.0,165.62,100.0,100
4987.0,0.0,167.19,100.0,100
4987.0,0.0,167.19,100.0,100
4987.0,0.0,167.19,100.0,100
4987.0,0.0,167.19,100.0,100
5120.0,82.0,168.75,12.5,100
5120.0,82.0,168.75,12.5,100
5120.0,82.0,168.75,12.5,100
5120.0,82.0,168.75,12.5,100
5255.0,75.0,170.31,100.0,100
5255.0,75.0,170.31,100.0,100
5255.0,75.0,170.31,100.0,100
5255.0,75.0,170.31,100.0,100
5384.0,0.0,171.88,100.0,100
5384.0,0.0,171.88,100.0,100
5384.0,0.0,171.88,100.0,100
5384.0,0.0,171.88,100.0,100
5503.0,29.0,173.44,100.0,100
5503.0,29.0,173.44,100.0,100
5503.0,29.0,173.44,100.0,100
5503.0,29.0,173.44,100.0,100
5634.0,0.0,175.0,100.0,100
5634.0,0.0,175.0,100.0,100
5634.0,0.0,175.0,100.0,100
5634.0,0.0,175.0,100.0,100
5757.0,26.0,176.56,100.0,100
5757.0,26.0,176.56,100.0,100
5757.0,26.0,176.56,100.0,100
5757.0,26.0,176.56,100.0,100
5881.0,25.0,178.12,100.0,100
5881.0,25.0,178.12,100.0,100
5881.0,25.0,178.12,100.0,100
5881.0,25.0,178.12,100.0,100
6006.0,0.0,179.69,100.0,100
6006.0,0.0,179.69,100.0,100
6006.0,0.0,179.69,100.0,100
6006.0,0.0,179.69,100.0,100
6148.0,26.0,181.25,100.0,100
6148.0,26.0,181.25,100.0,100
6148.0,26.0,181.25,100.0,100
6148.0,26.0,181.25,100.0,100
6293.0,41.0,182.81,100.0,100
6293.0,41.0,182.81,100.0,100
6293.0,41.0,182.81,100.0,100
6293.0,41.0,182.81,100.0,100
6441.0,0.0,184.38,100.0,100
6441.0,0.0,184.38,100.0,100
6441.0,0.0,184.38,100.0,100
6441.0,0.0,184.38,100.0,100
6596.0,0.0,185.94,12.5,100
6596.0,0.0,185.94,12.5,100
6596.0,0.0,185.94,12.5,100
6596.0,0.0,185.94,12.5,100
6734.0,28.0,187.5,100.0,100
6734.0,28.0,187.5,100.0,100
6734.0,28.0,187.5,100.0,100
6734.0,28.0,187.5,100.0,100
6884.0,39.0,189.06,100.0,100
6884.0,39.0,189.06,100.0,100
6884.0,39.0,189.06,100.0,100
6884.0,39.0,189.06,100.0,100
7035.0,151.0,190.62,12.5,100
7035.0,151.0,190.62,12.5,100
7035.0,151.0,190.62,12.5,100
7035.0,151.0,190.62,12.5,100
7194.0,65.0,192.19,100.0,100
7194.0,65.0,192.19,100.0,100
7343.0,24.0,193.75,100.0,100
7343.0,24.0,193.75,100.0,100
7343.0,24.0,193.75,100.0,100
7343.0,24.0,193.75,100.0,100
7483.0,31.0,195.31,100.0,100
7483.0,31.0,195.31,100.0,100
7483.0,31.0,195.31,100.0,100
7483.0,31.0,195.31,100.0,100
7639.0,27.0,196.88,100.0,100
7639.0,27.0,196.88,100.0,100
7639.0,27.0,196.88,100.0,100
7639.0,27.0,196.88,100.0,100
7808.0,28.0,198.44,100.0,100
7808.0,28.0,198.44,100.0,100
7808.0,28.0,198.44,100.0,100
7808.0,28.0,198.44,100.0,100
7970.0,26.0,200.0,100.0,100
7970.0,26.0,200.0,100.0,100
7970.0,26.0,200.0,100.0,100
7970.0,26.0,200.0,100.0,100
8107.0,66.0,201.56,100.0,100
8107.0,66.0,201.56,100.0,100
8107.0,66.0,201.56,100.0,100
8107.0,66.0,201.56,100.0,100
8275.0,88.0,203.12,12.5,100
8275.0,88.0,203.12,12.5,100
8275.0,88.0,203.12,12.5,100
8275.0,88.0,203.12,12.5,100
8443.0,78.0,204.69,100.0,100
8443.0,78.0,204.69,100.0,100
8443.0,78.0,204.69,100.0,100
8443.0,78.0,204.69,100.0,100
8608.0,81.0,206.25,12.5,100
8608.0,81.0,206.25,12.5,100
8608.0,81.0,206.25,12.5,100
8608.0,81.0,206.25,12.5,100
8790.0,26.0,207.81,100.0,100
8790.0,26.0,207.81,100.0,100
8790.0,26.0,207.81,100.0,100
8790.0,26.0,207.81,100.0,100
8962.0,26.0,209.38,100.0,100
8962.0,26.0,209.38,100.0,100
8962.0,26.0,209.38,100.0,100
8962.0,26.0,209.38,100.0,100
9132.0,0.0,210.94,100.0,100
9132.0,0.0,210.94,100.0,100
9132.0,0.0,210.94,100.0,100
9132.0,0.0,210.94,100.0,100
9310.0,30.0,212.5,100.0,100
9310.0,30.0,212.5,100.0,100
9310.0,30.0,212.5,100.0,100
9310.0,30.0,212.5,100.0,100
9468.0,31.0,214.06,100.0,100
9468.0,31.0,214.06,100.0,100
9468.0,31.0,214.06,100.0,100
9468.0,31.0,214.06,100.0,100
9652.0,0.0,215.62,12.5,100
9652.0,0.0,215.62,12.5,100
9652.0,0.0,215.62,12.5,100
9652.0,0.0,215.62,12.5,100
9820.0,78.0,217.19,100.0,100
9820.0,78.0,217.19,100.0,100
9820.0,78.0,217.19,100.0,100
9820.0,78.0,217.19,100.0,100
9992.0,32.0,218.75,100.0,100
9992.0,32.0,218.75,100.0,100
9992.0,32.0,218.75,100.0,100
9992.0,32.0,218.75,100.0,100
10161.0,29.0,220.31,100.0,100
10161.0,29.0,220.31,100.0,100
10161.0,29.0,220.31,100.0,100
10161.0,29.0,220.31,100.0,100
10336.0,30.0,221.88,100.0,100
10336.0,30.0,221.88,100.0,100
10336.0,30.0,221.88,100.0,100
10336.0,30.0,221.88,100.0,100
10503.0,0.0,223.44,100.0,100
10503.0,0.0,223.44,100.0,100
10503.0,0.0,223.44,100.0,100
10503.0,0.0,223.44,100.0,100
10688.0,26.0,225.0,100.0,100
10688.0,26.0,225.0,100.0,100
10688.0,26.0,225.0,100.0,100
10688.0,26.0,225.0,100.0,100
10870.0,92.0,226.56,100.0,100
10870.0,92.0,226.56,100.0,100
10870.0,92.0,226.56,100.0,100
10870.0,92.0,226.56,100.0,100
11054.0,88.0,228.12,100.0,100
11054.0,88.0,228.12,100.0,100
11054.0,88.0,228.12,100.0,100
11054.0,88.0,228.12,100.0,100
11228.0,0.0,229.69,100.0,100
11228.0,0.0,229.69,100.0,100
11228.0,0.0,229.69,100.0,100
11228.0,0.0,229.69,100.0,100
11411.0,30.0,231.25,100.0,100
11411.0,30.0,231.25,100.0,100
11411.0,30.0,231.25,100.0,100
11411.0,30.0,231.25,100.0,100
11593.0,32.0,232.81,100.0,100
