Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,100
0.0,0.0,100,100,100
955.0,29.0,100.0,100.0,100
955.0,29.0,100.0,100.0,100
962.0,38.0,101.56,100.0,100
962.0,38.0,101.56,100.0,100
968.0,37.0,103.12,100.0,100
968.0,37.0,103.12,100.0,100
972.0,48.0,104.69,100.0,100
972.0,48.0,104.69,100.0,100
977.0,48.0,106.25,100.0,100
977.0,48.0,106.25,100.0,100
1747.0,98.0,107.81,100.0,100
1747.0,98.0,107.81,100.0,100
1922.0,88.0,109.38,12.5,100
1922.0,88.0,109.38,12.5,100
2068.0,19.0,110.94,100.0,100
2068.0,19.0,110.94,100.0,100
2212.0,59.0,112.5,100.0,100
2212.0,59.0,112.5,100.0,100
2329.0,0.0,114.06,100.0,100
2329.0,0.0,114.06,100.0,100
2384.0,0.0,115.62,100.0,100
2384.0,0.0,115.62,100.0,100
2468.0,102.0,117.19,100.0,100
2468.0,102.0,117.19,100.0,100
2514.0,11.0,118.75,12.5,100
2514.0,11.0,118.75,12.5,100
2566.0,0.0,120.31,100.0,100
2566.0,0.0,120.31,100.0,100
2620.0,0.0,121.88,100.0,100
2620.0,0.0,121.88,100.0,100
2674.0,21.0,123.44,100.0,100
2674.0,21.0,123.44,100.0,100
2716.0,0.0,125.0,12.5,100
2716.0,0.0,125.0,12.5,100
2769.0,0.0,126.56,100.0,100
2769.0,0.0,126.56,100.0,100
2807.0,10.0,128.12,100.0,100
2807.0,10.0,128.12,100.0,100
2848.0,0.0,129.69,12.5,100
2848.0,0.0,129.69,12.5,100
2901.0,0.0,131.25,100.0,100
2901.0,0.0,131.25,100.0,100
2943.0,10.0,132.81,100.0,100
2943.0,10.0,132.81,100.0,100
2998.0,25.0,134.38,100.0,100
2998.0,25.0,134.38,100.0,100
3061.0,0.0,135.94,100.0,100
3061.0,0.0,135.94,100.0,100
3116.0,7.0,137.5,100.0,100
3116.0,7.0,137.5,100.0,100
3166.0,0.0,139.06,12.5,100
3166.0,0.0,139.06,12.5,100
3227.0,18.0,140.62,100.0,100
3227.0,18.0,140.62,100.0,100
3294.0,16.0,142.19,100.0,100
3294.0,16.0,142.19,100.0,100
3349.0,0.0,143.75,12.5,100
3349.0,0.0,143.75,12.5,100
3403.0,5.0,145.31,100.0,100
3403.0,5.0,145.31,100.0,100
3465.0,16.0,146.88,100.0,100
3465.0,16.0,146.88,100.0,100
3525.0,11.0,148.44,100.0,100
3525.0,11.0,148.44,100.0,100
3601.0,98.0,150.0,100.0,100
3601.0,98.0,150.0,100.0,100
3662.0,8.0,151.56,100.0,100
3662.0,8.0,151.56,100.0,100
3721.0,5.0,153.12,100.0,100
3721.0,5.0,153.12,100.0,100
3794.0,6.0,154.69,100.0,100
3794.0,6.0,154.69,100.0,100
3857.0,5.0,156.25,100.0,100
3857.0,5.0,156.25,100.0,100
3925.0,0.0,157.81,100.0,100
3925.0,0.0,157.81,100.0,100
4009.0,6.0,159.38,100.0,100
4009.0,6.0,159.38,100.0,100
4076.0,5.0,160.94,100.0,100
4076.0,5.0,160.94,100.0,100
4101.0,8.0,162.5,12.5,100
4101.0,8.0,162.5,12.5,100
4140.0,18.0,164.06,100.0,100
4140.0,18.0,164.06,100.0,100
4210.0,4.0,165.62,100.0,100
4210.0,4.0,165.62,100.0,100
4244.0,15.0,167.19,100.0,100
4244.0,15.0,167.19,100.0,100
4324.0,9.0,168.75,100.0,100
4324.0,9.0,168.75,100.0,100
4402.0,95.0,170.31,100.0,100
4402.0,95.0,170.31,100.0,100
4480.0,0.0,171.88,100.0,100
4480.0,0.0,171.88,100.0,100
4552.0,6.0,173.44,100.0,100
4552.0,6.0,173.44,100.0,100
4642.0,0.0,175.0,12.5,100
4642.0,0.0,175.0,12.5,100
4713.0,4.0,176.56,100.0,100
4713.0,4.0,176.56,100.0,100
4796.0,13.0,178.12,100.0,100
4796.0,13.0,178.12,100.0,100
4875.0,94.0,179.69,100.0,100
4875.0,94.0,179.69,100.0,100
4948.0,3.0,181.25,100.0,100
4948.0,3.0,181.25,100.0,100
5021.0,4.0,182.81,100.0,100
5021.0,4.0,182.81,100.0,100
5057.0,39.0,184.38,100.0,100
5057.0,39.0,184.38,100.0,100
5109.0,0.0,185.94,12.5,100
5109.0,0.0,185.94,12.5,100
5152.0,21.0,187.5,100.0,100
5152.0,21.0,187.5,100.0,100
5241.0,0.0,189.06,100.0,100
5241.0,0.0,189.06,100.0,100
5315.0,0.0,190.62,100.0,100
5315.0,0.0,190.62,100.0,100
5394.0,4.0,192.19,100.0,100
5394.0,4.0,192.19,100.0,100
5475.0,6.0,193.75,100.0,100
5475.0,6.0,193.75,100.0,100
5565.0,0.0,195.31,100.0,100
5565.0,0.0,195.31,100.0,100
5643.0,3.0,196.88,100.0,100
5643.0,3.0,196.88,100.0,100
5742.0,93.0,198.44,100.0,100
5742.0,93.0,198.44,100.0,100
5827.0,4.0,200.0,100.0,100
5827.0,4.0,200.0,100.0,100
5911.0,4.0,201.56,100.0,100
5911.0,4.0,201.56,100.0,100
5986.0,5.0,203.12,100.0,100
5986.0,5.0,203.12,100.0,100
6081.0,0.0,204.69,100.0,100
6081.0,0.0,204.69,100.0,100
6178.0,8.0,206.25,100.0,100
6178.0,8.0,206.25,100.0,100
6266.0,3.0,207.81,100.0,100
6266.0,3.0,207.81,100.0,100
6365.0,0.0,209.38,100.0,100
6365.0,0.0,209.38,100.0,100
6459.0,7.0,210.94,100.0,100
6459.0,7.0,210.94,100.0,100
6553.0,5.0,212.5,100.0,100
6553.0,5.0,212.5,100.0,100
6641.0,6.0,214.06,100.0,100
6641.0,6.0,214.06,100.0,100
6747.0,4.0,215.62,100.0,100
6747.0,4.0,215.62,100.0,100
6842.0,3.0,217.19,100.0,100
6842.0,3.0,217.19,100.0,100
6903.0,0.0,218.75,12.5,100
6903.0,0.0,218.75,12.5,100
6986.0,4.0,220.31,100.0,100
6986.0,4.0,220.31,100.0,100
7089.0,3.0,221.88,100.0,100
7089.0,3.0,221.88,100.0,100
7187.0,8.0,223.44,100.0,100
7187.0,8.0,223.44,100.0,100
7240.0,6.0,225.0,100.0,100
7240.0,6.0,225.0,100.0,100
7324.0,16.0,226.56,100.0,100
7324.0,16.0,226.56,100.0,100
7425.0,3.0,228.12,100.0,100
7425.0,3.0,228.12,100.0,100
7463.0,15.0,229.69,100.0,100
7463.0,15.0,229.69,100.0,100
7512.0,16.0,231.25,100.0,100
7512.0,16.0,231.25,100.0,100
7619.0,0.0,232.81,100.0,100
7619.0,0.0,232.81,100.0,100
7738.0,4.0,234.38,100.0,100
7738.0,4.0,234.38,100.0,100
7855.0,95.0,235.94,100.0,100
7855.0,95.0,235.94,100.0,100
7966.0,0.0,237.5,12.5,100
7966.0,0.0,237.5,12.5,100
8078.0,94.0,239.06,100.0,100
8078.0,94.0,239.06,100.0,100
8188.0,3.0,240.62,100.0,100
8188.0,3.0,240.62,100.0,100
8305.0,9.0,242.19,100.0,100
8305.0,9.0,242.19,100.0,100
8406.0,4.0,243.75,100.0,100
8406.0,4.0,243.75,100.0,100
8496.0,4.0,245.31,100.0,100
8496.0,4.0,245.31,100.0,100
8597.0,3.0,246.88,100.0,100
8597.0,3.0,246.88,100.0,100
8688.0,6.0,248.44,100.0,100
8688.0,6.0,248.44,100.0,100
8787.0,3.0,250.0,100.0,100
8787.0,3.0,250.0,100.0,100
8880.0,94.0,251.56,100.0,100
8880.0,94.0,251.56,100.0,100
8973.0,5.0,253.12,100.0,100
8973.0,5.0,253.12,100.0,100
9081.0,0.0,254.69,100.0,100
9081.0,0.0,254.69,100.0,100
9159.0,7.0,256.25,100.0,100
9159.0,7.0,256.25,100.0,100
9228.0,6.0,257.81,100.0,100
9228.0,6.0,257.81,100.0,100
9306.0,0.0,259.38,12.5,100
9306.0,0.0,259.38,12.5,100
9407.0,2.0,260.94,100.0,100
9407.0,2.0,260.94,100.0,100
9540.0,2.0,262.5,100.0,100
9540.0,2.0,262.5,100.0,100
9622.0,2.0,264.06,100.0,100
9622.0,2.0,264.06,100.0,100
9704.0,2.0,265.62,12.5,100
9704.0,2.0,265.62,12.5,100
