Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
600.0,35.0,100,100,0
610.0,23.0,100,100,0
618.0,42.0,100,100,0
623.0,118.0,100,100,0
628.0,75.0,100,100,0
637.0,97.0,100,100,0
640.0,73.0,100,100,0
644.0,75.0,100,100,0
653.0,100.0,100,100,0
656.0,77.0,100,100,0
660.0,73.0,100,100,0
667.0,60.0,100,100,0
674.0,33.0,100,100,0
676.0,45.0,100,100,0
681.0,91.0,100,100,0
687.0,32.0,100,100,0
693.0,26.0,100,100,0
699.0,35.0,100,100,0
707.0,35.0,100,100,0
713.0,34.0,100,100,0
718.0,33.0,100,100,0
724.0,33.0,100,100,0
730.0,35.0,100,100,0
736.0,35.0,100,100,0
743.0,34.0,100,100,0
746.0,45.0,100,100,0
749.0,61.0,100,100,0
756.0,33.0,100,100,0
762.0,34.0,100,100,0
768.0,26.0,100,100,0
775.0,33.0,100,100,0
782.0,22.0,100,100,0
785.0,29.0,100,100,0
789.0,82.0,100,100,0
794.0,75.0,100,100,0
800.0,91.0,100,100,0
802.0,37.0,100,100,0
805.0,31.0,100,100,0
1283.0,33.0,100,100,0
2253.0,28.0,100,100,0
2342.0,189.0,100,100,0
2403.0,45.0,100,100,0
2489.0,165.0,100,100,0
2592.0,212.0,100,100,0
2693.0,132.0,100,100,0
2752.0,94.0,100,100,0
2838.0,94.0,100,100,0
2903.0,87.0,100,100,0
2946.0,259.0,100,100,0
2975.0,96.0,100,100,0
3015.0,84.0,100,100,0
3071.0,83.0,100,100,0
3118.0,81.0,100,100,0
3179.0,81.0,100,100,0
3245.0,106.0,100,100,0
3292.0,271.0,100,100,0
3351.0,223.0,100,100,0
3397.0,144.0,100,100,0
3448.0,100.0,100,100,0
3511.0,145.0,100,100,0
3582.0,143.0,100,100,0
3665.0,154.0,100,100,0
3756.0,175.0,100,100,0
3838.0,161.0,100,100,0
3948.0,157.0,100,100,0
4009.0,172.0,100,100,0
4086.0,204.0,100,100,0
4174.0,171.0,100,100,0
4244.0,150.0,100,100,0
4314.0,133.0,100,100,0
4414.0,168.0,100,100,0
