Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,119.25
0.0,0.0,100,100,100
130.0,0.0,100,100.0,100
130.0,0.0,100,100.0,105.25
217.0,10.0,100,100.0,105.25
217.0,10.0,100,100.0,108.85
488.0,0.0,100,100.0,108.85
488.0,0.0,100,100.0,113.25
521.0,5.0,100,100.0,113.25
521.0,5.0,100,100.0,117.25
694.0,1.0,100,100.0,117.25
694.0,1.0,100,100.0,121.65
794.0,0.0,100,100.0,121.65
794.0,0.0,100,100.0,105.25
935.0,0.0,100,100.0,105.25
935.0,0.0,100,100.0,109.65
1079.0,28.0,100.0,100.0,109.65
1079.0,28.0,100.0,100.0,109.65
1136.0,8.0,100.0,100.0,109.65
1136.0,8.0,100.0,100.0,104.45
1186.0,1.0,100.0,100.0,104.45
1186.0,1.0,100.0,100.0,108.85
1415.0,0.0,100.0,100.0,108.85
1415.0,0.0,100.0,100.0,113.25
2066.0,0.0,100.0,100.0,113.25
2066.0,0.0,100.0,100.0,118.05
2319.0,1.0,100.0,100.0,118.05
2319.0,1.0,100.0,100.0,122.45
2357.0,8.0,100.0,100.0,122.45
2357.0,8.0,100.0,100.0,126.05
2800.0,0.0,100.0,100.0,126.05
2800.0,0.0,100.0,100.0,105.25
2977.0,1.0,100.0,100.0,105.25
2977.0,1.0,100.0,100.0,109.65
3241.0,1.0,100.0,100.0,109.65
3241.0,1.0,100.0,100.0,114.05
3684.0,0.0,100.0,100.0,114.05
3684.0,0.0,100.0,100.0,118.85
3718.0,7.0,100.0,100.0,118.85
3718.0,7.0,100.0,100.0,122.85
3907.0,1.0,100.0,100.0,122.85
3907.0,1.0,100.0,100.0,127.25
3939.0,3.0,100.0,100.0,127.25
3939.0,3.0,100.0,100.0,104.85
3958.0,8.0,100.0,100.0,104.85
3958.0,8.0,100.0,100.0,108.45
3963.0,57.0,100.0,100.0,108.45
3963.0,57.0,100.0,100.0,106.45
3982.0,17.0,100.0,100.0,106.45
3982.0,17.0,100.0,100.0,109.25
3988.0,42.0,100.0,100.0,109.25
3988.0,42.0,100.0,100.0,108.85
4041.0,6.0,100.0,100.0,108.85
4041.0,6.0,100.0,100.0,112.85
4101.0,27.0,108.59,100.0,112.85
4101.0,27.0,108.59,100.0,112.85
4124.0,222.0,108.59,100.0,112.85
4124.0,222.0,108.59,100.0,81.25
4223.0,7.0,114.84,100.0,81.25
4223.0,7.0,114.84,100.0,81.25
5215.0,6.0,117.19,100.0,81.25
5215.0,6.0,117.19,100.0,81.25
5978.0,7.0,119.53,100.0,81.25
5978.0,7.0,119.53,100.0,81.25
6670.0,8.0,121.88,100.0,81.25
6670.0,8.0,121.88,100.0,81.25
7435.0,100.0,124.22,100.0,81.25
7435.0,100.0,124.22,100.0,81.25
8187.0,0.0,124.22,100.0,81.25
8187.0,0.0,124.22,100.0,103.65
8906.0,10.0,126.56,100.0,103.65
8906.0,10.0,126.56,100.0,103.65
9968.0,1.0,126.56,100.0,103.65
9968.0,1.0,126.56,100.0,105.25
10870.0,0.0,126.56,100.0,105.25
10870.0,0.0,126.56,100.0,109.65
12032.0,0.0,126.56,100.0,109.65
12032.0,0.0,126.56,100.0,114.45
13301.0,0.0,126.56,100.0,114.45
13301.0,0.0,126.56,100.0,118.85
