Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,123.65
0.0,0.0,100,100,100
74.0,0.0,100,100,100
74.0,0.0,100,100,0.05
107.0,39.0,100,100.0,0.05
107.0,39.0,100,100.0,100.85
119.0,47.0,100,100.0,100.85
119.0,47.0,100,100.0,99.65
336.0,0.0,100,100.0,99.65
336.0,0.0,100,100.0,106.45
547.0,0.0,100,100.0,106.45
547.0,0.0,100,100.0,113.25
724.0,0.0,100,100.0,113.25
724.0,0.0,100,100.0,120.45
901.0,0.0,100,100.0,120.45
901.0,0.0,100,100.0,107.65
1133.0,0.0,100,100.0,107.65
1133.0,0.0,100,100.0,114.45
1396.0,0.0,100,100.0,114.45
1396.0,0.0,100,100.0,121.25
1601.0,0.0,100,100.0,121.25
1601.0,0.0,100,100.0,128.45
1813.0,0.0,100,100.0,128.45
1813.0,0.0,100,100.0,135.25
1867.0,0.0,100,100.0,135.25
1867.0,0.0,100,100.0,142.05
1886.0,5.0,100,100.0,142.05
1886.0,5.0,100,100.0,106.85
1905.0,3.0,100,100.0,106.85
1905.0,3.0,100,100.0,113.25
1936.0,2.0,100,100.0,113.25
1936.0,2.0,100,100.0,119.65
1975.0,2.0,100,100.0,119.65
1975.0,2.0,100,100.0,126.05
2029.0,1.0,100,100.0,126.05
2029.0,1.0,100,100.0,132.85
2105.0,1.0,100,100.0,132.85
2105.0,1.0,100,100.0,139.65
2142.0,5.0,100,100.0,139.65
2142.0,5.0,100,100.0,106.85
3877.0,0.0,100,100.0,106.85
3877.0,0.0,100,100.0,113.65
4566.0,0.0,100,100.0,113.65
4566.0,0.0,100,100.0,120.45
4602.0,5.0,100,100.0,120.45
4602.0,5.0,100,100.0,126.45
4644.0,3.0,100,100.0,126.45
4644.0,3.0,100,100.0,132.85
4694.0,2.0,100,100.0,132.85
4694.0,2.0,100,100.0,139.65
4741.0,3.0,100,100.0,139.65
4741.0,3.0,100,100.0,106.85
4775.0,5.0,100,100.0,106.85
4775.0,5.0,100,100.0,113.25
4788.0,17.0,100,100.0,113.25
4788.0,17.0,100,100.0,117.25
4798.0,15.0,100,100.0,117.25
4798.0,15.0,100,100.0,121.25
4811.0,11.0,100,100.0,121.25
4811.0,11.0,100,100.0,126.45
4822.0,11.0,100,100.0,126.45
4822.0,11.0,100,100.0,131.25
4832.0,9.0,100,100.0,131.25
4832.0,9.0,100,100.0,106.05
4855.0,4.0,100,100.0,106.05
4855.0,4.0,100,100.0,112.05
4897.0,2.0,100,100.0,112.05
4897.0,2.0,100,100.0,118.85
4923.0,5.0,100,100.0,118.85
4923.0,5.0,100,100.0,124.85
4947.0,5.0,100,100.0,124.85
4947.0,5.0,100,100.0,130.85
4975.0,4.0,100,100.0,130.85
4975.0,4.0,100,100.0,137.25
5006.0,5.0,100,100.0,137.25
5006.0,5.0,100,100.0,106.85
5040.0,3.0,100,100.0,106.85
5040.0,3.0,100,100.0,113.25
5063.0,4.0,100,100.0,113.25
5063.0,4.0,100,100.0,119.25
5089.0,5.0,100,100.0,119.25
5089.0,5.0,100,100.0,125.25
5110.0,6.0,100,100.0,125.25
5110.0,6.0,100,100.0,131.25
5135.0,5.0,100,100.0,131.25
5135.0,5.0,100,100.0,137.25
5156.0,6.0,100,100.0,137.25
5156.0,6.0,100,100.0,106.45
5175.0,8.0,100,100.0,106.45
5175.0,8.0,100,100.0,112.05
5212.0,2.0,100,100.0,112.05
5212.0,2.0,100,100.0,118.45
5221.0,23.0,100,100.0,118.45
5221.0,23.0,100,100.0,121.65
5227.0,26.0,100,100.0,121.65
5227.0,26.0,100,100.0,124.05
5231.0,29.0,100,100.0,124.05
5231.0,29.0,100,100.0,126.05
5270.0,29.0,103.12,100.0,126.05
5270.0,29.0,103.12,100.0,126.05
5279.0,397.0,103.12,100.0,126.05
5279.0,397.0,103.12,100.0,40.85
5289.0,11.0,103.12,100.0,40.85
5289.0,11.0,103.12,100.0,45.65
5298.0,13.0,103.12,100.0,45.65
5298.0,13.0,103.12,100.0,50.45
5310.0,10.0,103.12,100.0,50.45
5310.0,10.0,103.12,100.0,55.65
5334.0,5.0,103.12,100.0,55.65
5334.0,5.0,103.12,100.0,61.65
5352.0,9.0,103.12,100.0,61.65
5352.0,9.0,103.12,100.0,106.05
5398.0,2.0,103.12,100.0,106.05
5398.0,2.0,103.12,100.0,112.45
5404.0,30.0,103.12,100.0,112.45
5404.0,30.0,103.12,100.0,114.45
5409.0,36.0,103.12,100.0,114.45
5409.0,36.0,103.12,100.0,114.85
5413.0,42.0,103.12,100.0,114.85
5413.0,42.0,103.12,100.0,114.45
5422.0,20.0,103.12,100.0,114.45
5422.0,20.0,103.12,100.0,118.05
5433.0,15.0,103.12,100.0,118.05
5433.0,15.0,103.12,100.0,104.85
5452.0,8.0,103.12,100.0,104.85
5452.0,8.0,103.12,100.0,110.45
5473.0,23.0,114.84,100.0,110.45
5473.0,23.0,114.84,100.0,110.45
5503.0,60.0,114.84,100.0,110.45
5503.0,60.0,114.84,100.0,92.85
5553.0,32.0,117.19,100.0,92.85
5553.0,32.0,117.19,100.0,92.85
5594.0,42.0,117.19,100.0,92.85
5594.0,42.0,117.19,100.0,103.65
5598.0,58.0,117.19,100.0,103.65
5598.0,58.0,117.19,100.0,100.45
5601.0,61.0,117.19,100.0,100.45
5601.0,61.0,117.19,100.0,96.85
5605.0,49.0,117.19,100.0,96.85
