Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,0
91.0,0.0,100,100,0
118.0,16.0,100,100,0
130.0,15.0,100,100,0
434.0,0.0,100,100,0
733.0,0.0,100,100,0
984.0,0.0,100,100,0
1183.0,0.0,100,100,0
1481.0,0.0,100,100,0
1806.0,0.0,100,100,0
2021.0,0.0,100,100,0
2329.0,0.0,100,100,0
2360.0,1.0,100,100,0
2380.0,4.0,100,100,0
2402.0,2.0,100,100,0
2441.0,1.0,100,100,0
2471.0,3.0,100,100,0
2530.0,1.0,100,100,0
2588.0,2.0,100,100,0
2629.0,4.0,100,100,0
5165.0,0.0,100,100,0
5211.0,11.0,100,100,0
5247.0,7.0,100,100,0
5291.0,4.0,100,100,0
5338.0,4.0,100,100,0
5392.0,2.0,100,100,0
5425.0,6.0,100,100,0
5438.0,14.0,100,100,0
5451.0,14.0,100,100,0
5463.0,7.0,100,100,0
5477.0,5.0,100,100,0
5502.0,3.0,100,100,0
5548.0,2.0,100,100,0
5575.0,5.0,100,100,0
5601.0,4.0,100,100,0
5632.0,5.0,100,100,0
5665.0,5.0,100,100,0
5688.0,5.0,100,100,0
5712.0,5.0,100,100,0
5734.0,7.0,100,100,0
5762.0,4.0,100,100,0
5785.0,6.0,100,100,0
5810.0,5.0,100,100,0
5842.0,3.0,100,100,0
5849.0,25.0,100,100,0
5857.0,23.0,100,100,0
5879.0,6.0,100,100,0
5909.0,3.0,100,100,0
5945.0,31.0,100,100,0
5966.0,12.0,100,100,0
6010.0,3.0,100,100,0
6039.0,6.0,100,100,0
6079.0,4.0,100,100,0
6082.0,48.0,100,100,0
6088.0,33.0,100,100,0
6095.0,85.0,100,100,0
6107.0,8.0,100,100,0
6130.0,5.0,100,100,0
6161.0,4.0,100,100,0
6214.0,14.0,100,100,0
6258.0,53.0,100,100,0
6263.0,54.0,100,100,0
6266.0,44.0,100,100,0
6270.0,50.0,100,100,0
6276.0,26.0,100,100,0
6282.0,18.0,100,100,0
6288.0,18.0,100,100,0
6296.0,14.0,100,100,0
6314.0,9.0,100,100,0
6362.0,2.0,100,100,0
6367.0,71.0,100,100,0
6372.0,41.0,100,100,0
6388.0,12.0,100,100,0
6412.0,103.0,100,100,0
6418.0,98.0,100,100,0
6438.0,10.0,100,100,0
6449.0,9.0,100,100,0
6455.0,35.0,100,100,0
6461.0,26.0,100,100,0
6471.0,71.0,100,100,0
6493.0,10.0,100,100,0
6512.0,17.0,100,100,0
6538.0,10.0,100,100,0
6547.0,25.0,100,100,0
6556.0,32.0,100,100,0
6569.0,22.0,100,100,0
6603.0,123.0,100,100,0
6650.0,7.0,100,100,0
6722.0,12.0,100,100,0
6731.0,25.0,100,100,0
6755.0,13.0,100,100,0
6786.0,3.0,100,100,0
6796.0,15.0,100,100,0
6808.0,18.0,100,100,0
6850.0,7.0,100,100,0
6869.0,12.0,100,100,0
6892.0,9.0,100,100,0
6920.0,26.0,100,100,0
6953.0,52.0,100,100,0
6981.0,10.0,100,100,0
6990.0,24.0,100,100,0
7001.0,23.0,100,100,0
7022.0,13.0,100,100,0
7034.0,15.0,100,100,0
7058.0,12.0,100,100,0
7066.0,16.0,100,100,0
7087.0,8.0,100,100,0
7102.0,9.0,100,100,0
7125.0,6.0,100,100,0
7139.0,12.0,100,100,0
7167.0,8.0,100,100,0
7186.0,5.0,100,100,0
7207.0,7.0,100,100,0
7225.0,8.0,100,100,0
7249.0,3.0,100,100,0
7263.0,13.0,100,100,0
7308.0,4.0,100,100,0
7321.0,11.0,100,100,0
7347.0,7.0,100,100,0
7364.0,9.0,100,100,0
7388.0,9.0,100,100,0
7403.0,10.0,100,100,0
7436.0,6.0,100,100,0
7527.0,1.0,100,100,0
7572.0,5.0,100,100,0
7762.0,1.0,100,100,0
7773.0,31.0,100,100,0
7916.0,43.0,100,100,0
7975.0,7.0,100,100,0
8024.0,7.0,100,100,0
8066.0,8.0,100,100,0
8110.0,7.0,100,100,0
8136.0,14.0,100,100,0
8160.0,17.0,100,100,0
8183.0,18.0,100,100,0
8205.0,18.0,100,100,0
8246.0,141.0,100,100,0
8266.0,47.0,100,100,0
8286.0,30.0,100,100,0
8308.0,32.0,100,100,0
8335.0,33.0,100,100,0
8372.0,19.0,100,100,0
8382.0,160.0,100,100,0
8421.0,10.0,100,100,0
8453.0,33.0,100,100,0
8485.0,24.0,100,100,0
8517.0,21.0,100,100,0
8605.0,119.0,100,100,0
8638.0,18.0,100,100,0
8717.0,14.0,100,100,0
8788.0,10.0,100,100,0
8884.0,3.0,100,100,0
8950.0,7.0,100,100,0
10108.0,0.0,100,100,0
10116.0,18.0,100,100,0
10122.0,25.0,100,100,0
10127.0,20.0,100,100,0
10132.0,23.0,100,100,0
10137.0,22.0,100,100,0
10141.0,24.0,100,100,0
10146.0,24.0,100,100,0
10150.0,24.0,100,100,0
10154.0,24.0,100,100,0
10159.0,26.0,100,100,0
10164.0,20.0,100,100,0
10168.0,22.0,100,100,0
10173.0,24.0,100,100,0
10177.0,21.0,100,100,0
10182.0,24.0,100,100,0
10186.0,24.0,100,100,0
