Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,103.65
0.0,0.0,100,100,100
76.0,0.0,100,100,100
76.0,0.0,100,100,0.05
109.0,42.0,100,100.0,0.05
109.0,42.0,100,100.0,100.45
122.0,43.0,100,100.0,100.45
122.0,43.0,100,100.0,100.05
186.0,2.0,100,100.0,100.05
186.0,2.0,100,100.0,104.45
252.0,3.0,100,100.0,104.45
252.0,3.0,100,100.0,108.85
344.0,1.0,100,100.0,108.85
344.0,1.0,100,100.0,113.25
369.0,9.0,100,100.0,113.25
369.0,9.0,100,100.0,104.05
377.0,28.0,100,100.0,104.05
377.0,28.0,100,100.0,105.65
402.0,4.0,100,100.0,105.65
402.0,4.0,100,100.0,109.65
413.0,4.0,100,100.0,109.65
413.0,4.0,100,100.0,114.05
423.0,4.0,100,100.0,114.05
423.0,4.0,100,100.0,118.05
435.0,34.0,103.12,100.0,118.05
435.0,34.0,103.12,100.0,118.05
456.0,40.0,103.12,100.0,118.05
456.0,40.0,103.12,100.0,97.25
537.0,1.0,103.12,100.0,97.25
537.0,1.0,103.12,100.0,101.65
565.0,5.0,103.12,100.0,101.65
565.0,5.0,103.12,100.0,105.65
582.0,7.0,103.12,100.0,105.65
582.0,7.0,103.12,100.0,104.45
591.0,14.0,103.12,100.0,104.45
591.0,14.0,103.12,100.0,107.25
600.0,57.0,103.12,100.0,107.25
600.0,57.0,103.12,100.0,105.25
611.0,39.0,103.12,100.0,105.25
611.0,39.0,103.12,100.0,105.65
663.0,1.0,103.12,100.0,105.65
663.0,1.0,103.12,100.0,110.05
698.0,2.0,103.12,100.0,110.05
698.0,2.0,103.12,100.0,114.45
704.0,21.0,103.12,100.0,114.45
704.0,21.0,103.12,100.0,102.85
711.0,7.0,103.12,100.0,102.85
711.0,7.0,103.12,100.0,106.45
728.0,3.0,103.12,100.0,106.45
728.0,3.0,103.12,100.0,110.85
752.0,8.0,103.12,100.0,110.85
752.0,8.0,103.12,100.0,114.45
768.0,60.0,117.97,100.0,114.45
768.0,60.0,117.97,100.0,114.45
777.0,103.0,117.97,100.0,114.45
777.0,103.0,117.97,100.0,63.25
790.0,17.0,117.97,100.0,63.25
790.0,17.0,117.97,100.0,103.25
810.0,39.0,128.12,100.0,103.25
810.0,39.0,128.12,100.0,103.25
843.0,129.0,130.47,100.0,103.25
843.0,129.0,130.47,100.0,103.25
857.0,31.0,130.47,100.0,103.25
857.0,31.0,130.47,100.0,76.85
882.0,17.0,130.47,100.0,76.85
882.0,17.0,130.47,100.0,79.65
902.0,49.0,135.94,100.0,79.65
902.0,49.0,135.94,100.0,79.65
909.0,189.0,135.94,100.0,79.65
909.0,189.0,135.94,100.0,83.25
933.0,57.0,138.28,100.0,83.25
933.0,57.0,138.28,100.0,83.25
940.0,202.0,138.28,100.0,83.25
940.0,202.0,138.28,100.0,70.05
945.0,45.0,138.28,100.0,70.05
945.0,45.0,138.28,100.0,69.65
