Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,102.45
0.0,0.0,100,100,100
78.0,0.0,100,100,100
78.0,0.0,100,100,0.05
136.0,19.0,100,100.0,0.05
136.0,19.0,100,100.0,101.65
149.0,42.0,100,100.0,101.65
149.0,42.0,100,100.0,101.65
313.0,1.0,100,100.0,101.65
313.0,1.0,100,100.0,104.05
367.0,3.0,100,100.0,104.05
367.0,3.0,100,100.0,106.05
392.0,3.0,100,100.0,106.05
392.0,3.0,100,100.0,108.05
408.0,5.0,100,100.0,108.05
408.0,5.0,100,100.0,102.45
434.0,3.0,100,100.0,102.45
434.0,3.0,100,100.0,104.85
461.0,2.0,100,100.0,104.85
461.0,2.0,100,100.0,106.85
494.0,1.0,100,100.0,106.85
494.0,1.0,100,100.0,109.25
538.0,1.0,100,100.0,109.25
538.0,1.0,100,100.0,111.65
563.0,3.0,100,100.0,111.65
563.0,3.0,100,100.0,113.65
618.0,1.0,100,100.0,113.65
618.0,1.0,100,100.0,102.85
669.0,2.0,100,100.0,102.85
669.0,2.0,100,100.0,104.85
708.0,70.0,100.0,100.0,104.85
708.0,70.0,100.0,100.0,104.85
725.0,36.0,100.0,100.0,104.85
725.0,36.0,100.0,100.0,100.85
736.0,23.0,100.0,100.0,100.85
736.0,23.0,100.0,100.0,101.65
739.0,46.0,100.0,100.0,101.65
739.0,46.0,100.0,100.0,101.65
753.0,62.0,100.0,100.0,101.65
753.0,62.0,100.0,100.0,100.05
782.0,6.0,100.0,100.0,100.05
782.0,6.0,100.0,100.0,102.05
795.0,11.0,100.0,100.0,102.05
795.0,11.0,100.0,100.0,103.65
823.0,7.0,100.0,100.0,103.65
823.0,7.0,100.0,100.0,102.45
875.0,3.0,100.0,100.0,102.45
875.0,3.0,100.0,100.0,104.45
891.0,13.0,100.0,100.0,104.45
891.0,13.0,100.0,100.0,106.05
944.0,5.0,100.0,100.0,106.05
944.0,5.0,100.0,100.0,108.05
956.0,14.0,100.0,100.0,108.05
956.0,14.0,100.0,100.0,109.65
974.0,19.0,100.0,100.0,109.65
974.0,19.0,100.0,100.0,110.85
999.0,15.0,125.78,100.0,110.85
999.0,15.0,125.78,100.0,110.85
1022.0,70.0,125.78,100.0,110.85
1022.0,70.0,125.78,100.0,96.85
1055.0,5.0,125.78,100.0,96.85
1055.0,5.0,125.78,100.0,98.85
1079.0,17.0,125.78,100.0,98.85
1079.0,17.0,125.78,100.0,102.05
1113.0,48.0,132.03,100.0,102.05
1113.0,48.0,132.03,100.0,102.05
1142.0,48.0,132.03,100.0,102.05
1142.0,48.0,132.03,100.0,94.05
1172.0,12.0,132.03,100.0,94.05
1172.0,12.0,132.03,100.0,95.65
1185.0,12.0,132.03,100.0,95.65
1185.0,12.0,132.03,100.0,97.25
1210.0,6.0,132.03,100.0,97.25
1210.0,6.0,132.03,100.0,99.25
1226.0,21.0,133.59,100.0,99.25
1226.0,21.0,133.59,100.0,99.25
1254.0,37.0,133.59,100.0,99.25
1254.0,37.0,133.59,100.0,102.05
1280.0,10.0,133.59,100.0,102.05
1280.0,10.0,133.59,100.0,103.65
1305.0,6.0,133.59,100.0,103.65
1305.0,6.0,133.59,100.0,105.65
1335.0,27.0,133.59,100.0,105.65
1335.0,27.0,133.59,100.0,106.45
1347.0,26.0,139.84,100.0,106.45
1347.0,26.0,139.84,100.0,106.45
1375.0,32.0,139.84,100.0,106.45
1375.0,32.0,139.84,100.0,101.25
1410.0,5.0,139.84,100.0,101.25
1410.0,5.0,139.84,100.0,103.25
1447.0,4.0,139.84,100.0,103.25
1447.0,4.0,139.84,100.0,105.25
1469.0,12.0,139.84,100.0,105.25
1469.0,12.0,139.84,100.0,106.85
1528.0,33.0,141.41,100.0,106.85
1528.0,33.0,141.41,100.0,106.85
1555.0,68.0,141.41,100.0,106.85
1555.0,68.0,141.41,100.0,92.05
1602.0,3.0,141.41,100.0,92.05
1602.0,3.0,141.41,100.0,102.85
1643.0,4.0,141.41,100.0,102.85
1643.0,4.0,141.41,100.0,104.85
1659.0,10.0,141.41,100.0,104.85
1659.0,10.0,141.41,100.0,106.45
1693.0,4.0,141.41,100.0,106.45
1693.0,4.0,141.41,100.0,108.45
1721.0,63.0,144.53,100.0,108.45
1721.0,63.0,144.53,100.0,108.45
1762.0,23.0,144.53,100.0,108.45
1762.0,23.0,144.53,100.0,84.85
1790.0,6.0,144.53,100.0,84.85
1790.0,6.0,144.53,100.0,102.45
1817.0,5.0,144.53,100.0,102.45
1817.0,5.0,144.53,100.0,104.45
1850.0,8.0,144.53,100.0,104.45
1850.0,8.0,144.53,100.0,106.45
1903.0,3.0,144.53,100.0,106.45
1903.0,3.0,144.53,100.0,108.45
1976.0,74.0,146.09,100.0,108.45
1976.0,74.0,146.09,100.0,108.45
1997.0,46.0,146.09,100.0,108.45
