Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,0,0,0
0,0,100,100,0
798.0,47.0,100,100,0
2956.0,90.0,100,100,0
3122.0,13.0,100,100,0
3646.0,10.0,100,100,0
6031.0,105.0,100,100,0
8028.0,72.0,100,100,0
10098.0,67.0,100,100,0
12141.0,64.0,100,100,0
13982.0,108.0,100,100,0
15644.0,109.0,100,100,0
17394.0,63.0,100,100,0
18981.0,62.0,100,100,0
20800.0,85.0,100,100,0
22562.0,57.0,100,100,0
24343.0,104.0,100,100,0
26202.0,113.0,100,100,0
27733.0,100.0,100,100,0
29328.0,64.0,100,100,0
29328.0,64.0,100,100,0
30734.0,70.0,100,100,0
32583.0,87.0,100,100,0
34328.0,75.0,100,100,0
36051.0,151.0,100,100,0
37886.0,92.0,100,100,0
39669.0,79.0,100,100,0
39669.0,79.0,100,100,0
41318.0,71.0,100,100,0
41318.0,71.0,100,100,0
42907.0,77.0,100,100,0
42907.0,77.0,100,100,0
44522.0,71.0,100,100,0
46233.0,79.0,100,100,0
48171.0,77.0,100,100,0
49906.0,164.0,100,100,0
51776.0,79.0,100,100,0
53625.0,70.0,100,100,0
55149.0,77.0,100,100,0
56876.0,78.0,100,100,0
58675.0,81.0,100,100,0
60356.0,71.0,100,100,0
62160.0,86.0,100,100,0
64083.0,78.0,100,100,0
66021.0,68.0,100,100,0
67948.0,65.0,100,100,0
69749.0,79.0,100,100,0
71675.0,88.0,100,100,0
71675.0,88.0,100,100,0
73459.0,77.0,100,100,0
75431.0,132.0,100,100,0
77342.0,86.0,100,100,0
79057.0,94.0,100,100,0
80997.0,127.0,100,100,0
82835.0,81.0,100,100,0
84830.0,79.0,100,100,0
86615.0,130.0,100,100,0
88448.0,164.0,100,100,0
90514.0,75.0,100,100,0
92523.0,145.0,100,100,0
94550.0,70.0,100,100,0
96288.0,85.0,100,100,0
98185.0,78.0,100,100,0
99960.0,200.0,100,100,0
102109.0,83.0,100,100,0
104014.0,88.0,100,100,0
106539.0,66.0,100,100,0
106539.0,66.0,100,100,0
108267.0,116.0,100,100,0
108267.0,116.0,100,100,0
110311.0,70.0,100,100,0
110311.0,70.0,100,100,0
112329.0,81.0,100,100,0
112329.0,81.0,100,100,0
114087.0,82.0,100,100,0
115954.0,85.0,100,100,0
117517.0,136.0,100,100,0
119107.0,82.0,100,100,0
120472.0,89.0,100,100,0
122128.0,75.0,100,100,0
123881.0,190.0,100,100,0
125759.0,148.0,100,100,0
127589.0,87.0,100,100,0
127589.0,87.0,100,100,0
129099.0,84.0,100,100,0
129099.0,84.0,100,100,0
130941.0,181.0,100,100,0
130941.0,181.0,100,100,0
133096.0,86.0,100,100,0
133096.0,86.0,100,100,0
134791.0,182.0,100,100,0
134791.0,182.0,100,100,0
136529.0,147.0,100,100,0
136529.0,147.0,100,100,0
138476.0,77.0,100,100,0
138476.0,77.0,100,100,0
140440.0,95.0,100,100,0
142213.0,86.0,100,100,0
144202.0,64.0,100,100,0
146157.0,166.0,100,100,0
148225.0,210.0,100,100,0
148225.0,210.0,100,100,0
149998.0,82.0,100,100,0
149998.0,82.0,100,100,0
151877.0,83.0,100,100,0
153880.0,194.0,100,100,0
155933.0,200.0,100,100,0
157650.0,162.0,100,100,0
159789.0,76.0,100,100,0
161692.0,77.0,100,100,0
163643.0,197.0,100,100,0
163643.0,197.0,100,100,0
165515.0,82.0,100,100,0
167864.0,83.0,100,100,0
169826.0,78.0,100,100,0
171997.0,173.0,100,100,0
171997.0,173.0,100,100,0
173503.0,153.0,100,100,0
175755.0,80.0,100,100,0
175755.0,80.0,100,100,0
177720.0,71.0,100,100,0
177720.0,71.0,100,100,0
179583.0,81.0,100,100,0
179583.0,81.0,100,100,0
181571.0,79.0,100,100,0
