Time,GC Util
0,0
0,0
708,28
708,28
2872,90
3000,2
3004,10
3004,10
3659,84
3659,84
6280,73
6280,73
8538,73
8538,73
10751,70
10751,70
12687,112
12687,112
14561,73
14561,73
16406,71
16406,71
18209,71
18209,71
20207,71
20207,71
22102,112
22102,112
23966,76
23966,76
25755,73
25755,73
27590,74
27590,74
29063,68
29063,68
30944,80
30944,80
32934,75
32934,75
34787,138
34787,138
36669,102
36669,102
36669,102
36669,102
38591,154
38591,154
40309,84
40309,84
42278,83
42278,83
43950,117
43950,117
45789,132
45789,132
47852,125
47852,125
49721,55
49721,55
51569,85
51569,85
53522,91
53522,91
55056,114
55056,114
55056,114
55056,114
57042,166
57042,166
57042,166
57042,166
58865,83
58865,83
58865,83
58865,83
60643,198
60643,198
60643,198
60643,198
62528,82
62528,82
62528,82
62528,82
64403,84
64403,84
64403,84
64403,84
66159,178
66159,178
66159,178
67964,85
67964,85
67964,85
67964,85
70095,191
70095,191
72014,80
72014,80
74235,88
74235,88
74235,88
74235,88
76378,157
76378,157
78102,74
78102,74
80251,83
80251,83
80251,83
80251,83
82263,79
82263,79
82263,79
82263,79
84505,74
84505,74
86410,155
86410,155
86410,155
86410,155
88418,67
88418,67
90619,77
90619,77
92862,74
92862,74
94990,82
94990,82
97186,157
97186,157
99307,76
99307,76
101493,84
101493,84
103659,129
103659,129
105941,119
105941,119
107918,77
107918,77
110256,170
110256,170
112575,88
112575,88
114690,82
114690,82
116663,85
116663,85
118307,137
118307,137
120260,75
120260,75
122342,84
122342,84
124449,134
124449,134
126469,80
126469,80
128441,72
128441,72
130727,189
130727,189
130727,189
130727,189
133067,83
133067,83
135228,155
135228,155
137620,31
137620,31
139801,74
139801,74
141947,203
141947,203
144054,74
144054,74
144054,74
144054,74
146385,175
146385,175
146385,175
146385,175
148406,82
148406,82
148406,82
148406,82
150390,83
150390,83
152504,196
152504,196
154631,112
154631,112
156757,115
156757,115
158953,86
158953,86
161183,302
161183,302
163107,305
163107,305
165414,71
165414,71
167635,85
167635,85
170034,128
170034,128
171718,183
171718,183
173917,219
173917,219
176184,194
176184,194
178349,78
178349,78
178349,78
178349,78
180476,84
