Time,GC Util
0,0
0,0
1531,73
1531,73
2186,60
2334,0
2337,74
5102,0
5105,80
5218,1
5222,72
5242,14
5247,2
5247,2
5378,87
5465,2
5469,87
5526,5
5533,92
5572,5
5577,86
5603,13
5607,90
5614,50
5621,2
5621,2
5714,77
5714,77
5765,61
5765,61
5861,115
5861,115
5896,136
5955,5
5966,4
5966,4
6037,168
6064,12
6068,168
6102,11
6106,170
6156,7
6163,140
6207,15
6212,170
6225,28
6231,63
6231,63
6259,78
6259,78
6259,78
6259,78
6317,79
6317,79
6347,104
6347,104
6347,104
6347,104
6417,81
6417,81
6509,147
6557,10
6562,172
6562,172
6594,6
6594,6
6600,181
6609,59
6614,63
6614,63
6681,52
6681,52
6735,39
6735,39
6770,40
6770,40
6770,40
6770,40
6797,165
6815,20
6820,43
6820,43
6820,43
6820,43
6854,123
6854,123
6854,123
6854,123
6886,53
6886,53
6918,57
6918,57
6950,62
6950,62
6972,86
6972,86
7011,54
7011,54
7011,54
7011,54
7041,59
7041,59
7066,116
7066,116
7066,116
7066,116
7095,51
7095,51
7119,43
7119,43
7172,106
7172,106
7196,107
7196,107
7227,165
7227,165
7252,166
7252,166
7278,110
7278,110
7310,92
7310,92
7377,254
7427,6
7432,19
7432,19
7557,258
7617,3
7620,330
7646,10
7650,22
7650,22
7716,73
7716,73
7764,124
7764,124
7810,159
7810,159
7862,339
7902,9
7907,312
7938,14
7942,345
7971,15
7976,194
7976,194
8016,175
8016,175
8016,175
8016,175
8068,228
8068,228
8068,228
8068,228
8131,351
8131,351
8195,349
8195,349
8251,359
8251,359
8300,363
8300,363
8344,13
8344,13
8344,13
8344,13
8527,191
8527,191
8527,191
8527,191
8681,188
8681,188
8681,188
8681,188
8867,67
8867,67
8867,67
8867,67
10066,366
10066,366
10087,45
10087,45
10096,60
10096,60
10096,60
10096,60
10121,182
10121,182
10121,182
10121,182
10141,109
10141,109
10141,109
10141,109
10166,156
10166,156
10166,156
10166,156
10190,104
10190,104
10190,104
10190,104
10212,104
10212,104
10212,104
10212,104
10233,92
10233,92
10233,92
10233,92
10254,99
10254,99
10254,99
10254,99
10275,108
10275,108
10275,108
10275,108
10296,109
10296,109
10296,109
10296,109
10317,98
10317,98
10317,98
10317,98
10339,127
10339,127
10339,127
10339,127
10361,121
10361,121
10361,121
10361,121
10382,99
10382,99
10382,99
10382,99
10408,112
10408,112
10408,112
10408,112
10429,166
10429,166
10429,166
10429,166
10451,110
10451,110
10451,110
10451,110
10474,117
10474,117
10474,117
10474,117
10494,98
10494,98
10494,98
10494,98
10515,96
10515,96
10515,96
10515,96
10535,103
10535,103
10535,103
10535,103
10560,79
10560,79
10560,79
10560,79
