Time,GC Util
0,0
0,0
611,73
611,73
616,67
617,83
618,72
620,62
621,78
623,74
624,77
626,78
627,74
628,76
630,68
632,70
633,73
634,85
637,81
638,111
641,83
642,144
645,89
646,76
649,84
651,124
653,83
655,116
657,83
659,114
662,85
663,95
665,85
667,94
669,84
671,115
674,84
675,66
678,76
679,99
681,86
683,105
686,85
687,81
689,83
691,94
693,130
694,145
695,139
697,105
698,158
700,108
701,119
702,127
704,134
705,128
706,143
708,98
709,151
710,136
712,157
713,111
715,144
716,95
717,145
719,121
720,159
721,118
722,126
724,74
725,137
726,87
727,155
728,109
730,152
731,103
733,157
734,123
736,5
736,5
1252,137
2270,0
2271,157
2297,6
2299,168
2333,1
2336,14
2336,14
2363,11
2363,11
2384,19
2384,19
2404,21
2404,21
2442,159
2442,159
2453,71
2453,71
2470,87
2470,87
2496,80
2496,80
2521,79
2521,79
2537,123
2537,123
2566,141
2566,141
2596,143
2596,143
2633,119
2633,119
2679,164
2679,164
2728,179
2728,179
2785,309
2831,7
2834,334
2857,16
2862,353
2883,14
2888,258
2888,258
2925,253
2925,253
2975,258
2975,258
2975,258
2975,258
3011,220
3011,220
3058,210
3058,210
3132,235
3132,235
3198,265
3198,265
3294,226
3294,226
3384,222
3384,222
3514,275
3514,275
3619,393
3619,393
3794,297
